Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
"BoJack Horseman: The BoJack Horseman Story, Chapter One",2014-08-22,1,1,7.1,tt3957774,BoJack Horseman,N
BoJack Hates the Troops,2014-08-22,1,2,7.7,tt3982374,BoJack Horseman,N
Prickly Muffin,2014-08-22,1,3,7.4,tt3981116,BoJack Horseman,N
Zoës and Zeldas,2014-08-22,1,4,7.5,tt3980964,BoJack Horseman,N
"Live Fast, Diane Nguyen",2014-08-22,1,5,7.4,tt3978916,BoJack Horseman,N
Our A-Story Is a 'D' Story,2014-08-22,1,6,7.9,tt3978918,BoJack Horseman,N
Say Anything,2014-08-22,1,7,8,tt3981398,BoJack Horseman,N
The Telescope,2014-08-22,1,8,8.6,tt3978922,BoJack Horseman,N
Horse Majeure,2014-08-22,1,9,7.9,tt3978928,BoJack Horseman,N
One Trick Pony,2014-08-22,1,10,7.7,tt3978930,BoJack Horseman,N
Downer Ending,2014-08-22,1,11,9.2,tt3978932,BoJack Horseman,N
Later,2014-08-22,1,12,8.4,tt3978934,BoJack Horseman,N
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,2014-12-19,2,0,7.2,tt4294938,BoJack Horseman,N
Brand New Couch,2015-07-17,2,1,8.1,tt4311472,BoJack Horseman,N
Yesterdayland,2015-07-17,2,2,7.8,tt4835722,BoJack Horseman,N
Still Broken,2015-07-17,2,3,8,tt4835724,BoJack Horseman,N
After the Party,2015-07-17,2,4,8,tt4835730,BoJack Horseman,N
Chickens,2015-07-17,2,5,7.9,tt4835728,BoJack Horseman,N
Higher Love,2015-07-17,2,6,7.6,tt4835732,BoJack Horseman,N
Hank After Dark,2015-07-17,2,7,8.3,tt4835738,BoJack Horseman,N
Let's Find Out,2015-07-17,2,8,8.8,tt4835736,BoJack Horseman,N
The Shot,2015-07-17,2,9,8.3,tt4835740,BoJack Horseman,N
Yes And,2015-07-17,2,10,8.5,tt4835746,BoJack Horseman,N
Escape from L.A.,2015-07-17,2,11,9.4,tt4835748,BoJack Horseman,N
Out to Sea,2015-07-17,2,12,8.5,tt4835752,BoJack Horseman,N
Start Spreading the News,2016-07-22,3,1,7.9,tt4896050,BoJack Horseman,N
The BoJack Horseman Show,2016-07-22,3,2,8.1,tt5218276,BoJack Horseman,N
BoJack Kills,2016-07-22,3,3,7.5,tt5218432,BoJack Horseman,N
Fish Out of Water,2016-07-22,3,4,9.6,tt5218434,BoJack Horseman,N
Love And/Or Marriage,2016-07-22,3,5,8.2,tt5218444,BoJack Horseman,N
Brrap Brrap Pew Pew,2016-07-22,3,6,8.2,tt5113952,BoJack Horseman,N
Stop the Presses,2016-07-22,3,7,8.3,tt5218452,BoJack Horseman,N
Old Acquaintance,2016-07-22,3,8,7.9,tt5218464,BoJack Horseman,N
Best Thing That Ever Happened,2016-07-22,3,9,8.5,tt5218468,BoJack Horseman,N
