Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Dexter,2006-10-01,1,1,8.8,tt0785280,Dexter,Y
Crocodile,2006-10-08,1,2,8.3,tt0757186,Dexter,Y
Popping Cherry,2006-10-15,1,3,8.4,tt0828745,Dexter,Y
Let's Give the Boy a Hand,2006-10-22,1,4,8.7,tt0824887,Dexter,Y
Love American Style,2006-10-29,1,5,8.5,tt0823912,Dexter,Y
Return to Sender,2006-11-05,1,6,9,tt0836899,Dexter,Y
Circle of Friends,2006-11-12,1,7,8.7,tt0859272,Dexter,Y
Shrink Wrap,2006-11-19,1,8,9,tt0859273,Dexter,Y
Father Knows Best,2006-11-26,1,9,8.6,tt0866567,Dexter,Y
Seeing Red,2006-12-03,1,10,9.2,tt0866568,Dexter,Y
Truth Be Told,2006-12-10,1,11,9.3,tt0866569,Dexter,Y
Born Free,2006-12-17,1,12,9.6,tt0877058,Dexter,Y
It's Alive!,2007-09-30,2,1,8.8,tt1013977,Dexter,Y
Waiting to Exhale,2007-10-07,2,2,8.6,tt1013981,Dexter,Y
An Inconvenient Lie,2007-10-14,2,3,8.7,tt1013982,Dexter,Y
See-Through,2007-10-21,2,4,8.4,tt1013983,Dexter,Y
The Dark Defender,2007-10-28,2,5,8.7,tt1013984,Dexter,Y
"Dex, Lies, and Videotape",2007-11-04,2,6,8.6,tt1013985,Dexter,Y
"That Night, a Forest Grew",2007-11-11,2,7,8.8,tt1013986,Dexter,Y
Morning Comes,2007-11-18,2,8,9.1,tt1013987,Dexter,Y
Resistance Is Futile,2007-11-25,2,9,9.4,tt1013988,Dexter,Y
There's Something About Harry,2007-12-02,2,10,9,tt1013978,Dexter,Y
Left Turn Ahead,2007-12-09,2,11,9,tt1013979,Dexter,Y
The British Invasion,2007-12-16,2,12,9.2,tt1013980,Dexter,Y
Our Father,2008-09-28,3,1,8.3,tt1242111,Dexter,Y
Finding Freebo,2008-10-05,3,2,8.4,tt1242115,Dexter,Y
The Lion Sleeps Tonight,2008-10-12,3,3,8.2,tt1242116,Dexter,Y
All in the Family,2008-10-19,3,4,8.1,tt1242117,Dexter,Y
Turning Biminese,2008-10-26,3,5,8.5,tt1242118,Dexter,Y
Sí Se Puede,2008-11-02,3,6,8.2,tt1242119,Dexter,Y
Easy As Pie,2008-11-09,3,7,8.5,tt1242120,Dexter,Y
The Damage A Man Can Do,2008-11-16,3,8,8.6,tt1242121,Dexter,Y
