Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Cold Snap,2021-11-07,1,1,8.9,tt13280064,Dexter: New Blood,Y
Storm of Fuck,2021-11-14,1,2,8.5,tt13280452,Dexter: New Blood,Y
Smoke Signals,2021-11-21,1,3,8.6,tt13280454,Dexter: New Blood,Y
H Is for Hero,2021-11-28,1,4,8.9,tt13280462,Dexter: New Blood,Y
Runaway,2021-12-05,1,5,9,tt13280464,Dexter: New Blood,Y
Too Many Tuna Sandwiches,2021-12-12,1,6,9.4,tt13280468,Dexter: New Blood,Y
Skin of Her Teeth,2021-12-19,1,7,9.1,tt13280470,Dexter: New Blood,Y
Unfair Game,2021-12-26,1,8,9.2,tt13280472,Dexter: New Blood,Y
The Family Business,2022-01-02,1,9,9.6,tt13280474,Dexter: New Blood,Y
Sins of the Father,2022-01-09,1,10,4.5,tt13280476,Dexter: New Blood,Y
