Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Horizons,2016-10-22,1,1,8,tt5753436,Dirk Gently's Holistic Detective Agency,N
Lost & Found,2016-10-29,1,2,8.1,tt5753452,Dirk Gently's Holistic Detective Agency,N
Rogue Wall Enthusiasts,2016-11-05,1,3,8.1,tt5753468,Dirk Gently's Holistic Detective Agency,N
Watkin,2016-11-12,1,4,8.2,tt5753470,Dirk Gently's Holistic Detective Agency,N
Very Erectus,2016-11-19,1,5,8.2,tt5753474,Dirk Gently's Holistic Detective Agency,N
Fix Everything,2016-11-26,1,6,8.5,tt5753484,Dirk Gently's Holistic Detective Agency,N
Weaponized Soul,2016-12-03,1,7,8.7,tt5753440,Dirk Gently's Holistic Detective Agency,N
Two Sane Guys Doing Normal Things,2016-12-10,1,8,8.8,tt5753444,Dirk Gently's Holistic Detective Agency,N
Space Rabbit,2017-10-14,2,1,7.8,tt6270840,Dirk Gently's Holistic Detective Agency,N
Fans of Wet Circles,2017-10-21,2,2,8.2,tt6547556,Dirk Gently's Holistic Detective Agency,N
Two Broken Fingers,2017-10-28,2,3,8.1,tt6954146,Dirk Gently's Holistic Detective Agency,N
The House Within a House,2017-11-04,2,4,8.4,tt6954148,Dirk Gently's Holistic Detective Agency,N
Shapes and Colors,2017-11-11,2,5,8.4,tt7127456,Dirk Gently's Holistic Detective Agency,N
Girl Power,2017-11-18,2,6,8.3,tt7126384,Dirk Gently's Holistic Detective Agency,N
That Is Not Miami,2017-11-25,2,7,8,tt7131502,Dirk Gently's Holistic Detective Agency,N
"Little Guy, Black Hair",2017-12-02,2,8,8.4,tt7134498,Dirk Gently's Holistic Detective Agency,N
Trouble Is Bad,2017-12-09,2,9,8.6,tt7313414,Dirk Gently's Holistic Detective Agency,N
Nice Jacket,2017-12-16,2,10,8.9,tt6427128,Dirk Gently's Holistic Detective Agency,N
