Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Rose,2005-03-26,01,01,7.5,tt0562992,Doctor Who,Y
The End of the World,2005-04-02,01,02,7.5,tt0562997,Doctor Who,Y
The Unquiet Dead,2005-04-09,01,03,7.5,tt0563001,Doctor Who,Y
Aliens of London,2005-04-16,01,04,7,tt0562985,Doctor Who,Y
World War Three,2005-04-23,01,05,7,tt0563003,Doctor Who,Y
Dalek,2005-04-30,01,06,8.7,tt0562988,Doctor Who,Y
The Long Game,2005-05-07,01,07,7.1,tt0562999,Doctor Who,Y
Father's Day,2005-05-14,01,08,8.4,tt0562989,Doctor Who,Y
The Empty Child,2005-05-21,01,09,9.2,tt0562996,Doctor Who,Y
The Doctor Dances,2005-05-28,01,10,9.1,tt0562995,Doctor Who,Y
Boom Town,2005-06-04,01,11,7.1,tt0562987,Doctor Who,Y
Bad Wolf,2005-06-11,01,12,8.7,tt0562986,Doctor Who,Y
The Parting of the Ways,2005-06-18,01,13,9.1,tt0563000,Doctor Who,Y
The Christmas Invasion,2005-12-25,02,00,8.1,tt0562994,Doctor Who,Y
New Earth,2006-04-15,02,01,7.4,tt0562990,Doctor Who,Y
Tooth and Claw,2006-04-22,02,02,7.8,tt0563002,Doctor Who,Y
School Reunion,2006-04-29,02,03,8.3,tt0562993,Doctor Who,Y
The Girl in the Fireplace,2006-05-06,02,04,9.3,tt0562998,Doctor Who,Y
Rise of the Cybermen,2006-05-13,02,05,7.8,tt0562991,Doctor Who,Y
The Age of Steel,2006-05-20,02,06,7.9,tt0756447,Doctor Who,Y
The Idiot's Lantern,2006-05-27,02,07,6.7,tt0756451,Doctor Who,Y
The Impossible Planet,2006-06-03,02,08,8.7,tt0772457,Doctor Who,Y
The Satan Pit,2006-06-10,02,09,8.9,tt0756448,Doctor Who,Y
Love & Monsters,2006-06-17,02,10,6.1,tt0766171,Doctor Who,Y
Fear Her,2006-06-24,02,11,5.9,tt0756446,Doctor Who,Y
Army of Ghosts,2006-07-01,02,12,8.5,tt0756449,Doctor Who,Y
Doomsday,2006-07-08,02,13,9.3,tt0756450,Doctor Who,Y
The Runaway Bride,2006-12-25,03,00,7.6,tt0827573,Doctor Who,Y
Smith and Jones,2007-03-31,03,01,8,tt0974728,Doctor Who,Y
The Shakespeare Code,2007-04-07,03,02,7.7,tt0974729,Doctor Who,Y
Gridlock,2007-04-14,03,03,8,tt1000253,Doctor Who,Y
Daleks in Manhattan,2007-04-21,03,04,7,tt0993186,Doctor Who,Y
Evolution of the Daleks,2007-04-28,03,05,6.9,tt0996572,Doctor Who,Y
The Lazarus Experiment,2007-05-05,03,06,6.6,tt1000257,Doctor Who,Y
42,2007-05-19,03,07,7.3,tt1000251,Doctor Who,Y
Human Nature,2007-05-26,03,08,9,tt1000254,Doctor Who,Y
The Family of Blood,2007-06-02,03,09,9.2,tt1000256,Doctor Who,Y
Blink,2007-06-09,03,10,9.8,tt1000252,Doctor Who,Y
Utopia,2007-06-16,03,11,8.7,tt1000259,Doctor Who,Y
The Sound of Drums,2007-06-23,03,12,8.7,tt1000258,Doctor Who,Y
Last of the Time Lords,2007-06-30,03,13,8.4,tt1000255,Doctor Who,Y
Time Crash,2007-11-16,?,?,8.5,tt1129418,Doctor Who,Y
Voyage of the Damned,2007-12-25,04,00,7.6,tt1061123,Doctor Who,Y
Partners in Crime,2008-04-05,04,01,7.8,tt1159991,Doctor Who,Y
The Fires of Pompeii,2008-04-12,04,02,8,tt1173173,Doctor Who,Y
Planet of the Ood,2008-04-19,04,03,8.1,tt1173174,Doctor Who,Y
The Sontaran Stratagem,2008-04-26,04,04,7.5,tt1159992,Doctor Who,Y
The Poison Sky,2008-05-03,04,05,7.5,tt1208127,Doctor Who,Y
The Doctor's Daughter,2008-05-10,04,06,7.6,tt1205439,Doctor Who,Y
The Unicorn and the Wasp,2008-05-17,04,07,7.7,tt1208130,Doctor Who,Y
Silence in the Library,2008-05-31,04,08,9.4,tt1208129,Doctor Who,Y
Forest of the Dead,2008-06-07,04,09,9.5,tt1205440,Doctor Who,Y
Midnight,2008-06-14,04,10,9.1,tt1208128,Doctor Who,Y
Turn Left,2008-06-21,04,11,8.9,tt1205436,Doctor Who,Y
The Stolen Earth,2008-06-28,04,12,9.1,tt1205437,Doctor Who,Y
Journey's End,2008-07-05,04,13,9.2,tt1205438,Doctor Who,Y
Music of the Spheres,2008-07-27,?,?,7.4,tt1270263,Doctor Who,Y
The Next Doctor,2008-12-25,?,?,7.4,tt1321969,Doctor Who,Y
Planet of the Dead,2009-04-11,?,?,7.4,tt1337072,Doctor Who,Y
The Waters of Mars,2009-11-15,?,?,8.8,tt1413314,Doctor Who,Y
A Ghost Story for Christmas,2009-12-24,?,?,7.2,tt5040646,Doctor Who,YT
The End of Time: Part One,2009-12-25,?,?,8.2,tt1415016,Doctor Who,Y
The End of Time: Part Two,2010-01-01,?,?,8.9,tt1415017,Doctor Who,Y
The Eleventh Hour,2010-04-03,05,01,8.8,tt1577256,Doctor Who,Y
The Beast Below,2010-04-10,05,02,7.6,tt1577257,Doctor Who,Y
Victory of the Daleks,2010-04-17,05,03,6.7,tt1577258,Doctor Who,Y
The Time of Angels,2010-04-24,05,04,8.7,tt1577259,Doctor Who,Y
Flesh and Stone,2010-05-01,05,05,8.6,tt1589021,Doctor Who,Y
The Vampires of Venice,2010-05-08,05,06,7,tt1591787,Doctor Who,Y
Amy's Choice,2010-05-15,05,07,8.2,tt1591788,Doctor Who,Y
The Hungry Earth,2010-05-22,05,08,7.3,tt1591789,Doctor Who,Y
Cold Blood,2010-05-29,05,09,7.4,tt1591790,Doctor Who,Y
Vincent and the Doctor,2010-06-05,05,10,9.3,tt1591786,Doctor Who,Y
The Lodger,2010-06-12,05,11,8.2,tt1607757,Doctor Who,Y
The Pandorica Opens,2010-06-19,05,12,9.1,tt1607758,Doctor Who,Y
The Big Bang,2010-06-26,05,13,9.1,tt1607759,Doctor Who,Y
A Christmas Carol,2010-12-25,06,00,8.6,tt1672218,Doctor Who,Y
Space,2011-03-18,?,?,8.4,tt1861312,Doctor Who,YT
Time,2011-03-18,?,?,8.4,tt1861312,Doctor Who,YT
Prequel to the Impossible Astronaut,2011-03-25,?,?,8,tt2911106,Doctor Who,YT
The Impossible Astronaut,2011-04-23,06,01,8.9,tt1723888,Doctor Who,Y
Day of the Moon,2011-04-30,06,02,8.8,tt1723889,Doctor Who,Y
Prequel to the Curse of the Black Spot,2011-04-30,?,?,6.9,tt2911108,Doctor Who,YT
The Curse of the Black Spot,2011-05-07,06,03,6.7,tt1721225,Doctor Who,Y
The Doctor's Wife,2011-05-14,06,04,9,tt1721226,Doctor Who,Y
The Rebel Flesh,2011-05-21,06,05,7.2,tt1777783,Doctor Who,Y
The Almost People,2011-05-28,06,06,7.4,tt1777782,Doctor Who,Y
Prequel to A Good Man Goes to War,2011-05-28,?,?,7.5,tt2023919,Doctor Who,YT
A Good Man Goes to War,2011-06-04,06,07,9.1,tt1777781,Doctor Who,Y
Prequel to Let's Kill Hitler,2011-08-15,?,?,7.5,tt2023920,Doctor Who,YT
Let's Kill Hitler,2011-08-27,06,08,8,tt1795142,Doctor Who,Y
Night Terrors,2011-09-03,06,09,7.2,tt1795143,Doctor Who,Y
The Girl Who Waited,2011-09-10,06,10,8.5,tt1795139,Doctor Who,Y
The God Complex,2011-09-17,06,11,8.1,tt1795140,Doctor Who,Y
Closing Time,2011-09-24,06,12,7.6,tt1795141,Doctor Who,Y
Prequel to the Wedding of River Song,2011-09-24,?,?,7.4,tt2911110,Doctor Who,YT
The Wedding of River Song,2011-10-01,06,13,8.5,tt1824359,Doctor Who,Y
"Prequel to the Doctor, the Widow, and the Wardrobe",2011-12-06,?,?,7.2,tt2911112,Doctor Who,YT
"The Doctor, the Widow and the Wardrobe",2011-12-25,07,00,7.2,tt1998643,Doctor Who,Y
Pond Life: Part 1: April,2012-08-27,?,?,7.8,tt2378236,Doctor Who,YT
Pond Life: Part 2: May,2012-08-28,?,?,8,tt2378244,Doctor Who,YT
Pond Life: Part 3: June,2012-08-29,?,?,7.7,tt2378252,Doctor Who,YT
Pond Life: Part 4: July,2012-08-30,?,?,8,tt2378254,Doctor Who,YT
Pond Life: Part 5: August,2012-08-31,?,?,7.8,tt2378260,Doctor Who,YT
Asylum of the Daleks,2012-09-01,07,01,8.6,tt2402301,Doctor Who,Y
Prequel to Asylum of the Daleks,2012-09-02,?,?,7.7,tt4286990,Doctor Who,L
Dinosaurs on a Spaceship,2012-09-08,07,02,7.4,tt2317659,Doctor Who,Y
A Town Called Mercy,2012-09-15,07,03,7.3,tt2340501,Doctor Who,Y
The Making of the Gunslinger,2012-09-16,?,?,6.9,tt4286996,Doctor Who,YT
The Power of Three,2012-09-22,07,04,7.5,tt2399633,Doctor Who,Y
The Angels Take Manhattan,2012-09-29,07,05,9,tt2378951,Doctor Who,Y
The Great Detective,2012-11-16,?,?,7.5,tt2736758,Doctor Who,YT
Vastra Investigates: A Christmas Prequel,2012-12-17,?,?,7.5,tt2579624,Doctor Who,YT
The Snowmen,2012-12-25,07,06,8.4,tt2380513,Doctor Who,Y
The Bells of Saint John: A Prequel,2013-03-23,?,?,7.9,tt4287020,Doctor Who,YT
The Battle of Demon's Run: Two days Later,2013-03-25,?,?,7.7,tt4287028,Doctor Who,L
The Bells of Saint John,2013-03-30,07,07,7.9,tt2222152,Doctor Who,Y
The Rings of Akhaten,2013-04-06,07,08,7.3,tt2284610,Doctor Who,Y
Cold War,2013-04-13,07,09,7.2,tt2267312,Doctor Who,Y
Hide,2013-04-20,07,10,7.7,tt2267332,Doctor Who,Y
Journey to the Centre of the TARDIS,2013-04-27,07,11,7.4,tt2267326,Doctor Who,Y
The Crimson Horror,2013-05-04,07,12,7.3,tt2204480,Doctor Who,Y
Nightmare in Silver,2013-05-11,07,13,7.3,tt2267338,Doctor Who,Y
"She Said, He Said: A Prequel",2013-05-11,?,?,7.5,tt4287038,Doctor Who,YT
The Name of the Doctor,2013-05-18,07,14,9,tt2267346,Doctor Who,Y
Clarence and the Wispermen,2013-05-26,?,?,7,tt4287046,Doctor Who,YT
Clara and the Tardis,2013-09-24,?,?,7.9,tt4579746,Doctor Who,YT
Rain Gods,2013-09-24,?,?,7.5,tt4942126,Doctor Who,YT
The Inforarium,2013-09-24,?,?,7.6,tt4942130,Doctor Who,YT
The Night of the Doctor,2013-11-14,?,?,9.1,tt3332546,Doctor Who,Y
The Day of the Doctor,2013-11-23,?,?,9.4,tt2779318,Doctor Who,Y
The Time of the Doctor,2013-12-25,08,00,8.4,tt2986512,Doctor Who,Y
Deep Breath,2014-08-23,08,01,7.9,tt3469416,Doctor Who,Y
Into the Dalek,2014-08-30,08,02,7.6,tt3737226,Doctor Who,Y
Robot of Sherwood,2014-09-06,08,03,7,tt3714112,Doctor Who,Y
Listen,2014-09-13,08,04,8.9,tt3745430,Doctor Who,Y
Time Heist,2014-09-20,08,05,7.9,tt3845940,Doctor Who,Y
The Caretaker,2014-09-27,08,06,7.3,tt3845938,Doctor Who,Y
Kill the Moon,2014-10-04,08,07,6.8,tt3787384,Doctor Who,Y
Mummy on the Orient Express,2014-10-11,08,08,8.5,tt3787400,Doctor Who,Y
Flatline,2014-10-18,08,09,8.4,tt3834038,Doctor Who,Y
In the Forest of the Night,2014-10-25,08,10,6,tt3834040,Doctor Who,Y
Dark Water,2014-11-01,08,11,8.6,tt3834042,Doctor Who,Y
Death in Heaven,2014-11-08,08,12,7.8,tt3834044,Doctor Who,Y
Last Christmas,2014-12-25,09,00,8.2,tt4050552,Doctor Who,Y
Prologue,2015-09-11,?,?,7.9,tt5020110,Doctor Who,YT
The Doctor's Meditation,2015-09-15,?,?,7.7,tt5027504,Doctor Who,L
The Magician's Apprentice,2015-09-19,09,01,8.4,tt4289846,Doctor Who,Y
