Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Pilot,2006-07-18,1,1,8.1,tt0466369,Eureka,Y
Many Happy Returns,2006-07-25,1,2,7.7,tt0822122,Eureka,Y
Before I Forget,2006-08-01,1,3,7.8,tt0822121,Eureka,Y
Alienated,2006-08-08,1,4,7.5,tt0841235,Eureka,Y
Invincible,2006-08-15,1,5,7.9,tt0805757,Eureka,Y
Dr. Nobel,2006-08-22,1,6,8,tt0822123,Eureka,Y
Blink,2006-08-29,1,7,7.6,tt0849936,Eureka,Y
Right as Raynes,2006-09-05,1,8,7.8,tt0853529,Eureka,Y
Primal,2006-09-12,1,9,7.6,tt0853527,Eureka,Y
Purple Haze,2006-09-19,1,10,8,tt0853528,Eureka,Y
H.O.U.S.E. Rules,2006-09-26,1,11,8.3,tt0853526,Eureka,Y
Once in a Lifetime,2006-10-03,1,12,8.6,tt0859973,Eureka,Y
Phoenix Rising,2007-07-10,2,1,8,tt1058924,Eureka,Y
"Try, Try Again",2007-07-17,2,2,7.9,tt1060051,Eureka,Y
Unpredictable,2007-07-24,2,3,7.7,tt1060052,Eureka,Y
Games People Play,2007-07-31,2,4,8.1,tt1060053,Eureka,Y
"Duck, Duck Goose",2007-08-07,2,5,7.8,tt1060054,Eureka,Y
Noche de suenos,2007-08-14,2,6,8.2,tt1060055,Eureka,Y
Family Reunion,2007-08-21,2,7,7.8,tt1060056,Eureka,Y
E=MC...?,2007-08-28,2,8,8,tt1060057,Eureka,Y
Sight Unseen,2007-09-04,2,9,8,tt1060058,Eureka,Y
God Is in the Details,2007-09-11,2,10,6.9,tt1060047,Eureka,Y
Maneater,2007-09-18,2,11,8.1,tt1060048,Eureka,Y
All That Glitters,2007-09-25,2,12,7.5,tt1060049,Eureka,Y
A Night in Global Dynamics,2007-10-02,2,13,8,tt1060050,Eureka,Y
Bad to the Drone,2008-07-29,3,1,7.6,tt1232280,Eureka,Y
What About Bob?,2008-08-05,3,2,7.7,tt1232285,Eureka,Y
Best in Faux,2008-08-12,3,3,7.6,tt1232286,Eureka,Y
I Do Over,2008-08-19,3,4,8.9,tt1232287,Eureka,Y
Show Me the Mummy,2008-08-26,3,5,7.7,tt1232288,Eureka,Y
Phased and Confused,2008-09-09,3,6,7.8,tt1232289,Eureka,Y
Here Come the Suns,2008-09-16,3,7,7.8,tt1232290,Eureka,Y
From Fear to Eternity,2008-09-23,3,8,8.2,tt1232291,Eureka,Y
"Welcome Back, Carter",2009-07-10,3,9,8.3,tt1232281,Eureka,Y
Your Face or Mine,2009-07-17,3,10,7.9,tt1307022,Eureka,Y
Insane in the P-Brane,2009-07-24,3,11,7.9,tt1232282,Eureka,Y
It's Not Easy Being Green,2009-07-31,3,12,7.8,tt1232283,Eureka,Y
If You Build It...,2009-08-07,3,13,8,tt1232284,Eureka,Y
Ship Happens,2009-08-14,3,14,7.6,tt1489349,Eureka,Y
Shower the People,2009-08-21,3,15,7.9,tt1489350,Eureka,Y
You Don't Know Jack,2009-08-28,3,16,7.1,tt1490124,Eureka,Y
Have an Ice Day,2009-09-11,3,17,7.8,tt1489348,Eureka,Y
"What Goes Around, Comes Around",2009-09-18,3,18,8.1,tt1489351,Eureka,Y
Founder's Day,2010-07-09,4,1,8.9,tt1658962,Eureka,Y
A New World,2010-07-16,4,2,8.4,tt1673009,Eureka,Y
All the Rage,2010-07-23,4,3,7.8,tt1667523,Eureka,Y
The Story of O2,2010-07-30,4,4,7.7,tt1673010,Eureka,Y
Crossing Over,2010-08-06,4,5,8.1,tt1658963,Eureka,Y
Momstrosity,2010-08-13,4,6,7.6,tt1673011,Eureka,Y
Stoned,2010-08-20,4,7,7.6,tt1668018,Eureka,Y
The Ex-Files,2010-08-27,4,8,8.3,tt1672220,Eureka,Y
I'll Be Seeing You,2010-09-10,4,9,8.4,tt1668017,Eureka,Y
O Little Town...,2010-12-07,4,10,8,tt1672219,Eureka,Y
Liftoff,2011-07-11,4,11,8.1,tt1710296,Eureka,Y
Reprise,2011-07-18,4,12,8,tt1710297,Eureka,Y
Glimpse,2011-07-25,4,13,8,tt1733832,Eureka,Y
Up in the Air,2011-08-01,4,14,7.9,tt1732856,Eureka,Y
Omega Girls,2011-08-08,4,15,7.9,tt1740597,Eureka,Y
Of Mites and Men,2011-08-15,4,16,8,tt1740902,Eureka,Y
Clash of the Titans,2011-08-22,4,17,7.5,tt1740903,Eureka,Y
This One Time at Space Camp...,2011-08-29,4,18,8,tt1740598,Eureka,Y
One Small Step...,2011-09-12,4,19,7.8,tt1757105,Eureka,Y
One Giant Leap...,2011-09-19,4,20,8.5,tt1757104,Eureka,Y
Do You See What I See,2011-12-06,4,21,8.3,tt2034296,Eureka,Y
Lost,2012-04-16,5,1,8.6,tt1894826,Eureka,Y
The Real Thing,2012-04-23,5,2,8.4,tt2013488,Eureka,Y
Force Quit,2012-04-30,5,3,8.6,tt2013486,Eureka,Y
Friendly Fire,2012-05-07,5,4,7.7,tt2013487,Eureka,Y
Jack of All Trades,2012-05-14,5,5,8.5,tt1965662,Eureka,Y
Worst Case Scenario,2012-05-21,5,6,7.9,tt2015622,Eureka,Y
Ex Machina,2012-06-04,5,7,8,tt2015623,Eureka,Y
In Too Deep,2012-06-11,5,8,8.1,tt2015624,Eureka,Y
Smarter Carter,2012-06-18,5,9,8.1,tt1998658,Eureka,Y
The Honeymooners,2012-06-25,5,10,7.7,tt2034300,Eureka,Y
"Mirror, Mirror",2012-07-02,5,11,8.1,tt2034299,Eureka,Y
Double Take,2012-07-09,5,12,8.3,tt2034297,Eureka,Y
Just Another Day...,2012-07-16,5,13,9,tt2034298,Eureka,Y
