Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Pilot,2008-09-09,1,1,8.2,tt1248537,Fringe,Y
The Same Old Story,2008-09-16,1,2,7.7,tt1248542,Fringe,Y
The Ghost Network,2008-09-23,1,3,7.9,tt1248543,Fringe,Y
The Arrival,2008-09-30,1,4,8.3,tt1248544,Fringe,Y
Power Hungry,2008-10-14,1,5,7.6,tt1248545,Fringe,Y
The Cure,2008-10-21,1,6,7.8,tt1248546,Fringe,Y
In Which We Meet Mr. Jones,2008-11-11,1,7,8.1,tt1248547,Fringe,Y
The Equation,2008-11-18,1,8,8,tt1248548,Fringe,Y
The Dreamscape,2008-11-25,1,9,8,tt1248549,Fringe,Y
Safe,2008-12-02,1,10,8.6,tt1248538,Fringe,Y
Bound,2009-01-20,1,11,8.5,tt1248539,Fringe,Y
The No-Brainer,2009-01-27,1,12,7.7,tt1248540,Fringe,Y
The Transformation,2009-02-03,1,13,8.3,tt1248541,Fringe,Y
Ability,2009-02-10,1,14,8.8,tt1352058,Fringe,Y
Inner Child,2009-04-07,1,15,8.3,tt1371600,Fringe,Y
Unleashed,2009-04-14,1,16,7.9,tt1375588,Fringe,Y
Bad Dreams,2009-04-21,1,17,8.5,tt1380404,Fringe,Y
Midnight,2009-04-28,1,18,8,tt1390443,Fringe,Y
The Road Not Taken,2009-05-05,1,19,8.7,tt1400654,Fringe,Y
There's More Than One of Everything,2009-05-12,1,20,9.2,tt1400652,Fringe,Y
A New Day in the Old Town,2009-09-17,2,1,8.5,tt1458249,Fringe,Y
Night of Desirable Objects,2009-09-24,2,2,7.8,tt1461321,Fringe,Y
Fracture,2009-10-01,2,3,8,tt1478012,Fringe,Y
Momentum Deferred,2009-10-08,2,4,8.8,tt1478013,Fringe,Y
Dream Logic,2009-10-15,2,5,7.8,tt1498335,Fringe,Y
Earthling,2009-11-05,2,6,7.8,tt1494949,Fringe,Y
Of Human Action,2009-11-12,2,7,8,tt1504316,Fringe,Y
August,2009-11-19,2,8,8.9,tt1504315,Fringe,Y
Snakehead,2009-12-03,2,9,7.9,tt1537549,Fringe,Y
Grey Matters,2009-12-10,2,10,8.8,tt1537548,Fringe,Y
Unearthed,2010-01-11,2,11,7.2,tt1537132,Fringe,Y
Johari Window,2010-01-14,2,12,7.8,tt1537133,Fringe,Y
What Lies Below,2010-01-21,2,13,8.3,tt1537134,Fringe,Y
The Bishop Revival,2010-01-28,2,14,8.3,tt1537135,Fringe,Y
Jacksonville,2010-02-04,2,15,9.1,tt1537136,Fringe,Y
Peter,2010-04-01,2,16,9.5,tt1537137,Fringe,Y
Olivia. In the Lab. With the Revolver,2010-04-08,2,17,8.2,tt1537138,Fringe,Y
White Tulip,2010-04-15,2,18,9.3,tt1537139,Fringe,Y
The Man from the Other Side,2010-04-22,2,19,8.8,tt1595401,Fringe,Y
Brown Betty,2010-04-29,2,20,6.9,tt1595402,Fringe,Y
Northwest Passage,2010-05-06,2,21,8.5,tt1616753,Fringe,Y
Over There: Part 1,2010-05-13,2,22,9.1,tt1616754,Fringe,Y
Over There: Part 2,2010-05-20,2,23,9.3,tt1634617,Fringe,Y
Olivia,2010-09-23,3,1,8.8,tt1635941,Fringe,Y
The Box,2010-09-30,3,2,8.2,tt1635952,Fringe,Y
The Plateau,2010-10-07,3,3,8.7,tt1635956,Fringe,Y
Do Shapeshifters Dream of Electric Sheep?,2010-10-14,3,4,8.5,tt1635957,Fringe,Y
Amber 31422,2010-11-04,3,5,8.3,tt1635958,Fringe,Y
6955 kHz,2010-11-11,3,6,8.3,tt1635959,Fringe,Y
The Abducted,2010-11-18,3,7,8.7,tt1635960,Fringe,Y
Entrada,2010-12-02,3,8,9.1,tt1635961,Fringe,Y
Marionette,2010-12-09,3,9,8.3,tt1635962,Fringe,Y
The Firefly,2011-01-21,3,10,8.5,tt1635942,Fringe,Y
Reciprocity,2011-01-28,3,11,8.1,tt1635943,Fringe,Y
Concentrate and Ask Again,2011-02-04,3,12,8.2,tt1635944,Fringe,Y
Immortality,2011-02-11,3,13,8,tt1635945,Fringe,Y
6B,2011-02-18,3,14,8.4,tt1635946,Fringe,Y
Subject 13,2011-02-25,3,15,8.5,tt1635947,Fringe,Y
Os,2011-03-11,3,16,8.2,tt1635948,Fringe,Y
Stowaway,2011-03-18,3,17,8.1,tt1635949,Fringe,Y
Bloodline,2011-03-25,3,18,8.3,tt1635950,Fringe,Y
Lysergic Acid Diethylamide,2011-04-15,3,19,8.8,tt1635951,Fringe,Y
