Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Winter Is Coming,2011-04-17,1,1,9.1,tt1480055,Game of Thrones,Y
The Kingsroad,2011-04-24,1,2,8.8,tt1668746,Game of Thrones,Y
Lord Snow,2011-05-01,1,3,8.7,tt1829962,Game of Thrones,Y
"Cripples, Bastards, and Broken Things",2011-05-08,1,4,8.8,tt1829963,Game of Thrones,Y
The Wolf and the Lion,2011-05-15,1,5,9.1,tt1829964,Game of Thrones,Y
A Golden Crown,2011-05-22,1,6,9.2,tt1837862,Game of Thrones,Y
You Win or You Die,2011-05-29,1,7,9.2,tt1837863,Game of Thrones,Y
The Pointy End,2011-06-05,1,8,9,tt1837864,Game of Thrones,Y
Baelor,2011-06-12,1,9,9.6,tt1851398,Game of Thrones,Y
Fire and Blood,2011-06-19,1,10,9.5,tt1851397,Game of Thrones,Y
The North Remembers,2012-04-01,2,1,8.8,tt1971833,Game of Thrones,Y
The Night Lands,2012-04-08,2,2,8.5,tt2069318,Game of Thrones,Y
What Is Dead May Never Die,2012-04-15,2,3,8.8,tt2070135,Game of Thrones,Y
Garden of Bones,2012-04-22,2,4,8.8,tt2069319,Game of Thrones,Y
The Ghost of Harrenhal,2012-04-29,2,5,8.8,tt2074658,Game of Thrones,Y
The Old Gods and the New,2012-05-06,2,6,9.1,tt2085238,Game of Thrones,Y
A Man Without Honor,2012-05-13,2,7,8.9,tt2085239,Game of Thrones,Y
The Prince of Winterfell,2012-05-20,2,8,8.8,tt2085240,Game of Thrones,Y
Blackwater,2012-05-27,2,9,9.7,tt2084342,Game of Thrones,Y
Valar Morghulis,2012-06-03,2,10,9.4,tt2112510,Game of Thrones,Y
Valar Dohaeris,2013-03-31,3,1,8.8,tt2178782,Game of Thrones,Y
"Dark Wings, Dark Words",2013-04-07,3,2,8.6,tt2178772,Game of Thrones,Y
Walk of Punishment,2013-04-14,3,3,8.9,tt2178802,Game of Thrones,Y
And Now His Watch Is Ended,2013-04-21,3,4,9.6,tt2178798,Game of Thrones,Y
Kissed by Fire,2013-04-28,3,5,9,tt2178788,Game of Thrones,Y
The Climb,2013-05-05,3,6,8.8,tt2178812,Game of Thrones,Y
The Bear and the Maiden Fair,2013-05-12,3,7,8.7,tt2178814,Game of Thrones,Y
Second Sons,2013-05-19,3,8,9,tt2178806,Game of Thrones,Y
The Rains of Castamere,2013-06-02,3,9,9.9,tt2178784,Game of Thrones,Y
Mhysa,2013-06-09,3,10,9.2,tt2178796,Game of Thrones,Y
Two Swords,2014-04-06,4,1,9.1,tt2816136,Game of Thrones,Y
The Lion and the Rose,2014-04-13,4,2,9.7,tt2832378,Game of Thrones,Y
Breaker of Chains,2014-04-20,4,3,8.9,tt2972426,Game of Thrones,Y
Oathkeeper,2014-04-27,4,4,8.8,tt2972428,Game of Thrones,Y
First of His Name,2014-05-04,4,5,8.8,tt3060856,Game of Thrones,Y
The Laws of Gods and Men,2014-05-11,4,6,9.7,tt3060910,Game of Thrones,Y
Mockingbird,2014-05-18,4,7,9.1,tt3060876,Game of Thrones,Y
The Mountain and the Viper,2014-06-01,4,8,9.7,tt3060782,Game of Thrones,Y
The Watchers on the Wall,2014-06-08,4,9,9.6,tt3060858,Game of Thrones,Y
The Children,2014-06-15,4,10,9.7,tt3060860,Game of Thrones,Y
The Wars to Come,2015-04-12,5,1,8.5,tt3658012,Game of Thrones,Y
The House of Black and White,2015-04-19,5,2,8.5,tt3846626,Game of Thrones,Y
High Sparrow,2015-04-26,5,3,8.5,tt3866836,Game of Thrones,Y
Sons of the Harpy,2015-05-03,5,4,8.7,tt3866838,Game of Thrones,Y
Kill the Boy,2015-05-10,5,5,8.6,tt3866840,Game of Thrones,Y
"Unbowed, Unbent, Unbroken",2015-05-17,5,6,8,tt3866842,Game of Thrones,Y
The Gift,2015-05-24,5,7,9,tt3866846,Game of Thrones,Y
Hardhome,2015-05-31,5,8,9.9,tt3866850,Game of Thrones,Y
The Dance of Dragons,2015-06-07,5,9,9.5,tt3866826,Game of Thrones,Y
Mother's Mercy,2015-06-14,5,10,9.1,tt3866862,Game of Thrones,Y
The Red Woman,2016-04-24,6,1,8.5,tt3658014,Game of Thrones,Y
Home,2016-05-01,6,2,9.4,tt4077554,Game of Thrones,Y
Oathbreaker,2016-05-08,6,3,8.7,tt4131606,Game of Thrones,Y
Book of the Stranger,2016-05-15,6,4,9.1,tt4283016,Game of Thrones,Y
The Door,2016-05-22,6,5,9.7,tt4283028,Game of Thrones,Y
Blood of My Blood,2016-05-29,6,6,8.4,tt4283054,Game of Thrones,Y
The Broken Man,2016-06-05,6,7,8.6,tt4283060,Game of Thrones,Y
No One,2016-06-12,6,8,8.4,tt4283074,Game of Thrones,Y
Battle of the Bastards,2016-06-19,6,9,9.9,tt4283088,Game of Thrones,Y
The Winds of Winter,2016-06-26,6,10,9.9,tt4283094,Game of Thrones,Y
Dragonstone,2017-07-16,7,1,8.6,tt5654088,Game of Thrones,Y
Stormborn,2017-07-23,7,2,8.9,tt5655178,Game of Thrones,Y
The Queen's Justice,2017-07-30,7,3,9.2,tt5775840,Game of Thrones,Y
The Spoils of War,2017-08-06,7,4,9.8,tt5775846,Game of Thrones,Y
Eastwatch,2017-08-13,7,5,8.8,tt5775854,Game of Thrones,Y
Beyond the Wall,2017-08-20,7,6,9,tt5775864,Game of Thrones,Y
The Dragon and the Wolf,2017-08-27,7,7,9.4,tt5775874,Game of Thrones,Y
Winterfell,2019-04-14,8,1,7.5,tt5924366,Game of Thrones,Y
A Knight of the Seven Kingdoms,2019-04-21,8,2,7.8,tt6027908,Game of Thrones,Y
The Long Night,2019-04-28,8,3,7.4,tt6027912,Game of Thrones,Y
The Last of the Starks,2019-05-05,8,4,5.4,tt6027914,Game of Thrones,Y
The Bells,2019-05-12,8,5,5.9,tt6027916,Game of Thrones,Y
The Iron Throne,2019-05-19,8,6,4,tt6027920,Game of Thrones,Y
