Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Pilot,2016-01-25,1,1,8.8,tt4932378,Lucifer,N
"Lucifer, Stay. Good Devil.",2016-02-01,1,2,8.2,tt4952848,Lucifer,N
The Would-Be Prince of Darkness,2016-02-08,1,3,8.2,tt4952852,Lucifer,N
Manly Whatnots,2016-02-15,1,4,8.6,tt4952842,Lucifer,N
Sweet Kicks,2016-02-22,1,5,8.1,tt4952846,Lucifer,N
Favorite Son,2016-02-29,1,6,8.8,tt4952858,Lucifer,N
Wingman,2016-03-07,1,7,8.7,tt4952850,Lucifer,N
"Et Tu, Doctor?",2016-03-14,1,8,8.3,tt4952854,Lucifer,N
A Priest Walks Into a Bar,2016-03-21,1,9,9.1,tt4952856,Lucifer,N
Pops,2016-03-28,1,10,8.4,tt4952862,Lucifer,N
St. Lucifer,2016-04-11,1,11,8.7,tt4952866,Lucifer,N
#TeamLucifer,2016-04-18,1,12,9.1,tt4952864,Lucifer,N
Take Me Back to Hell,2016-04-25,1,13,9.2,tt4952868,Lucifer,N
Everything's Coming Up Lucifer,2016-09-19,2,1,8.5,tt5615568,Lucifer,N
"Liar, Liar, Slutty Dress on Fire",2016-10-03,2,2,8.6,tt5668562,Lucifer,N
Sin-Eater,2016-10-10,2,3,8.2,tt5668566,Lucifer,N
Lady Parts,2016-10-17,2,4,8.6,tt5668568,Lucifer,N
Weaponizer,2016-10-24,2,5,8.9,tt5668570,Lucifer,N
Monster,2016-10-31,2,6,9.2,tt5668572,Lucifer,N
My Little Monkey,2016-11-07,2,7,8.9,tt5668574,Lucifer,N
Trip to Stabby Town,2016-11-14,2,8,8.7,tt5668576,Lucifer,N
Homewrecker,2016-11-21,2,9,8.9,tt5668578,Lucifer,N
Quid Pro Ho,2016-11-28,2,10,9.2,tt5668580,Lucifer,N
Stewardess Interruptus,2017-01-16,2,11,8.8,tt5668582,Lucifer,N
Love Handles,2017-01-23,2,12,9.1,tt5668584,Lucifer,N
A Good Day to Die,2017-01-30,2,13,9.5,tt5668586,Lucifer,N
Candy Morningstar,2017-05-01,2,14,8.4,tt6208164,Lucifer,N
Deceptive Little Parasite,2017-05-08,2,15,8.3,tt6208168,Lucifer,N
God Johnson,2017-05-15,2,16,9,tt6208170,Lucifer,N
Sympathy for the Goddess,2017-05-22,2,17,8.5,tt6208174,Lucifer,N
"The Good, the Bad, and the Crispy",2017-05-29,2,18,9.2,tt6208182,Lucifer,N
"They're Back, Aren't They?",2017-10-02,3,1,8.7,tt6533292,Lucifer,N
The One with the Baby Carrot,2017-10-09,3,2,8.2,tt6552784,Lucifer,N
Mr. and Mrs. Mazikeen Smith,2017-10-16,3,3,8.6,tt6552798,Lucifer,N
What Would Lucifer Do?,2017-10-23,3,4,8.2,tt6552806,Lucifer,N
"Welcome Back, Charlotte Richards",2017-10-30,3,5,8.3,tt6552810,Lucifer,N
Vegas With Some Radish,2017-11-06,3,6,8.9,tt6552820,Lucifer,N
Off the Record,2017-11-13,3,7,9.3,tt6552836,Lucifer,N
Chloe Does Lucifer,2017-11-20,3,8,8.2,tt6552842,Lucifer,N
The Sinnerman,2017-12-04,3,9,8.7,tt6552844,Lucifer,N
The Sin Bin,2017-12-11,3,10,9.1,tt6552852,Lucifer,N
City of Angels?,2018-01-01,3,11,8.5,tt6552860,Lucifer,N
All About Her,2018-01-22,3,12,8.4,tt6552872,Lucifer,N
Til Death Do Us Part,2018-01-29,3,13,8.9,tt6552878,Lucifer,N
My Brother's Keeper,2018-02-05,3,14,8.2,tt6552884,Lucifer,N
High School Poppycock,2018-02-26,3,15,8.2,tt6552892,Lucifer,N
Infernal Guinea Pig,2018-03-05,3,16,8.4,tt6552894,Lucifer,N
Let Pinhead Sing!,2018-03-12,3,17,8.3,tt6552896,Lucifer,N
The Last Heartbreak,2018-03-19,3,18,8.3,tt6552900,Lucifer,N
Orange Is the New Maze,2018-03-26,3,19,8.5,tt6552904,Lucifer,N
The Angel of San Bernardino,2018-04-16,3,20,9.1,tt6552906,Lucifer,N
Anything Pierce Can Do I Can Do Better,2018-04-23,3,21,8.1,tt6552910,Lucifer,N
All Hands on Decker,2018-04-30,3,22,8.1,tt6552914,Lucifer,N
Quintessential Deckerstar,2018-05-07,3,23,9.5,tt8253134,Lucifer,N
A Devil of My Word,2018-05-14,3,24,9.8,tt8253126,Lucifer,N
Boo Normal,2018-05-28,3,25,7.9,tt8457974,Lucifer,N
Once Upon a Time,2018-05-28,3,26,7.9,tt8458056,Lucifer,N
Everything's Okay,2019-05-08,4,1,9.2,tt8564388,Lucifer,N
Somebody's Been Reading Dante's Inferno,2019-05-08,4,2,9.2,tt8565620,Lucifer,N
"O, Ye of Little Faith, Father",2019-05-08,4,3,9.2,tt8565622,Lucifer,N
All About Eve,2019-05-08,4,4,9.2,tt8565624,Lucifer,N
Expire Erect,2019-05-08,4,5,9.2,tt8565626,Lucifer,N
Orgy Pants to Work,2019-05-08,4,6,9.2,tt8565628,Lucifer,N
Devil Is as Devil Does,2019-05-08,4,7,9.3,tt8565630,Lucifer,N
Super Bad Boyfriend,2019-05-08,4,8,9.3,tt8565634,Lucifer,N
Save Lucifer,2019-05-08,4,9,9.6,tt8565638,Lucifer,N
Who's da New King of Hell?,2019-05-08,4,10,9.7,tt8565640,Lucifer,N
Really Sad Devil Guy,2020-08-21,5,1,8.2,tt10447668,Lucifer,N
