Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Pilot,1972-09-17,1,1,7.9,tt0638383,M*A*S*H,Y
"To Market, to Market",1972-09-24,1,2,8.1,tt0638465,M*A*S*H,Y
Requiem for a Lightweight,1972-10-01,1,3,7.5,tt0638397,M*A*S*H,Y
Chief Surgeon Who?,1972-10-08,1,4,8.1,tt0638274,M*A*S*H,Y
The Moose,1972-10-15,1,5,7.6,tt0638447,M*A*S*H,Y
Yankee Doodle Doctor,1972-10-22,1,6,8.3,tt0638478,M*A*S*H,Y
"Bananas, Crackers and Nuts",1972-11-05,1,7,7.8,tt0638255,M*A*S*H,Y
Cowboy,1972-11-12,1,8,7.5,tt0638279,M*A*S*H,Y
"Henry, Please Come Home",1972-11-19,1,9,7.9,tt0638326,M*A*S*H,Y
I Hate a Mystery,1972-11-26,1,10,7.8,tt0638334,M*A*S*H,Y
Germ Warfare,1972-12-10,1,11,8,tt0638312,M*A*S*H,Y
Dear Dad,1972-12-17,1,12,8.3,tt0638283,M*A*S*H,Y
Edwina,1972-12-24,1,13,7.2,tt0638300,M*A*S*H,Y
Love Story,1973-01-07,1,14,7.4,tt0638349,M*A*S*H,Y
Tuttle,1973-01-14,1,15,9.1,tt0638468,M*A*S*H,Y
The Ringbanger,1973-01-21,1,16,8.1,tt0638455,M*A*S*H,Y
Sometimes You Hear the Bullet,1973-01-28,1,17,8.8,tt0638408,M*A*S*H,Y
"Dear Dad, Again",1973-02-04,1,18,8.2,tt0638284,M*A*S*H,Y
The Longjohn Flap,1973-02-18,1,19,8.4,tt0638443,M*A*S*H,Y
The Army-Navy Game,1973-02-25,1,20,8.4,tt0638422,M*A*S*H,Y
Sticky Wicket,1973-03-04,1,21,7.8,tt0638413,M*A*S*H,Y
Major Fred C. Dobbs,1973-03-11,1,22,7.8,tt0638356,M*A*S*H,Y
Ceasefire,1973-03-18,1,23,7.6,tt0638269,M*A*S*H,Y
Showtime,1973-03-25,1,24,7.2,tt0638402,M*A*S*H,Y
Divided We Stand,1973-09-15,2,1,8.1,tt0638296,M*A*S*H,Y
5 O'Clock Charlie,1973-09-22,2,2,8.7,tt0638238,M*A*S*H,Y
Radar's Report,1973-09-29,2,3,8,tt0638394,M*A*S*H,Y
For the Good of the Outfit,1973-10-06,2,4,7.8,tt0638308,M*A*S*H,Y
Dr. Pierce and Mr. Hyde,1973-10-13,2,5,7.8,tt0638297,M*A*S*H,Y
Kim,1973-10-20,2,6,7.7,tt0638341,M*A*S*H,Y
L.I.P. (Local Indigenous Personnel),1973-10-27,2,7,7.6,tt0638342,M*A*S*H,Y
The Trial of Henry Blake,1973-11-03,2,8,8.6,tt0638459,M*A*S*H,Y
Dear Dad... Three,1973-11-10,2,9,8.1,tt0638285,M*A*S*H,Y
The Sniper,1973-11-17,2,10,8.1,tt0638457,M*A*S*H,Y
"Carry On, Hawkeye",1973-11-24,2,11,8.4,tt0638268,M*A*S*H,Y
The Incubator,1973-12-01,2,12,8.3,tt0638435,M*A*S*H,Y
Deal Me Out,1973-12-08,2,13,8.8,tt0638281,M*A*S*H,Y
Hot Lips and Empty Arms,1973-12-15,2,14,7.9,tt0638332,M*A*S*H,Y
Officers Only,1973-12-22,2,15,7.9,tt0638370,M*A*S*H,Y
Henry in Love,1974-01-05,2,16,7.6,tt0638325,M*A*S*H,Y
For Want of a Boot,1974-01-12,2,17,8.2,tt0638307,M*A*S*H,Y
Operation Noselift,1974-01-19,2,18,7.5,tt0638374,M*A*S*H,Y
The Chosen People,1974-01-26,2,19,7.8,tt0638427,M*A*S*H,Y
As You Were,1974-02-02,2,20,7.9,tt0638251,M*A*S*H,Y
Crisis,1974-02-09,2,21,8.6,tt0638280,M*A*S*H,Y
George,1974-02-16,2,22,7.9,tt0638311,M*A*S*H,Y
Mail Call,1974-02-23,2,23,8.1,tt0638353,M*A*S*H,Y
A Smattering of Intelligence,1974-03-02,2,24,8.4,tt0638242,M*A*S*H,Y
The General Flipped at Dawn,1974-09-10,3,1,8.6,tt0638431,M*A*S*H,Y
Rainbow Bridge,1974-09-17,3,2,8.4,tt0638395,M*A*S*H,Y
Officer of the Day,1974-09-24,3,3,8.1,tt0638369,M*A*S*H,Y
Iron Guts Kelly,1974-10-01,3,4,8.1,tt0638339,M*A*S*H,Y
O.R.,1974-10-08,3,5,8.3,tt0638367,M*A*S*H,Y
Springtime,1974-10-15,3,6,8.2,tt0638411,M*A*S*H,Y
Check-Up,1974-10-22,3,7,7.8,tt0638273,M*A*S*H,Y
Life with Father,1974-10-29,3,8,7.6,tt0638347,M*A*S*H,Y
Alcoholics Unanimous,1974-11-12,3,9,7.9,tt0638246,M*A*S*H,Y
There Is Nothing Like a Nurse,1974-11-19,3,10,7.8,tt0638463,M*A*S*H,Y
Adam's Ribs,1974-11-26,3,11,8.8,tt0638244,M*A*S*H,Y
A Full Rich Day,1974-12-03,3,12,8.2,tt0638239,M*A*S*H,Y
Mad Dogs and Servicemen,1974-12-10,3,13,7.8,tt0638352,M*A*S*H,Y
Private Charles Lamb,1974-12-31,3,14,8.3,tt0638390,M*A*S*H,Y
Bombed,1975-01-07,3,15,8.1,tt0638260,M*A*S*H,Y
Bulletin Board,1975-01-14,3,16,7.7,tt0638265,M*A*S*H,Y
The Consultant,1975-01-21,3,17,7.9,tt0638429,M*A*S*H,Y
House Arrest,1975-02-04,3,18,8.1,tt0638333,M*A*S*H,Y
Aid Station,1975-02-11,3,19,8.2,tt0760917,M*A*S*H,Y
Love and Marriage,1975-02-18,3,20,7.3,tt0638350,M*A*S*H,Y
Big Mac,1975-02-25,3,21,8,tt0638256,M*A*S*H,Y
Payday,1975-03-04,3,22,7.8,tt0638379,M*A*S*H,Y
White Gold,1975-03-11,3,23,8.1,tt0638476,M*A*S*H,Y
"Abyssinia, Henry",1975-03-18,3,24,9.3,tt0763200,M*A*S*H,Y
Welcome to Korea,1975-09-12,4,1,8.9,tt0638472,M*A*S*H,Y
Change of Command,1975-09-19,4,2,8.6,tt0638272,M*A*S*H,Y
It Happened One Night,1975-09-26,4,3,7.8,tt0638340,M*A*S*H,Y
The Late Captain Pierce,1975-10-03,4,4,8.4,tt0638440,M*A*S*H,Y
"Hey, Doc",1975-10-10,4,5,7.5,tt0638329,M*A*S*H,Y
The Bus,1975-10-17,4,6,8.4,tt0638426,M*A*S*H,Y
Dear Mildred,1975-10-24,4,7,8.4,tt0638287,M*A*S*H,Y
The Kids,1975-10-31,4,8,7.7,tt0638438,M*A*S*H,Y
"Quo Vadis, Captain Chandler",1975-11-07,4,9,8.2,tt0638393,M*A*S*H,Y
Dear Peggy,1975-11-14,4,10,7.5,tt0638288,M*A*S*H,Y
Of Moose and Men,1975-11-21,4,11,7.3,tt0638368,M*A*S*H,Y
Soldier of the Month,1975-11-28,4,12,7.9,tt0638406,M*A*S*H,Y
The Gun,1975-12-02,4,13,7.7,tt0638434,M*A*S*H,Y
"Mail Call, Again",1975-12-09,4,14,7.9,tt0763270,M*A*S*H,Y
The Price of Tomato Juice,1975-12-16,4,15,7.8,tt0763272,M*A*S*H,Y
Dear Ma,1975-12-23,4,16,7.8,tt0638286,M*A*S*H,Y
Der Tag,1976-01-06,4,17,8.1,tt0638295,M*A*S*H,Y
Hawkeye,1976-01-13,4,18,7,tt0638322,M*A*S*H,Y
Some 38th Parallels,1976-01-20,4,19,7.6,tt0638407,M*A*S*H,Y
The Novocaine Mutiny,1976-01-27,4,20,8.2,tt0638450,M*A*S*H,Y
Smilin' Jack,1976-02-03,4,21,7.5,tt0638403,M*A*S*H,Y
The More I See You,1976-02-10,4,22,7.3,tt0638448,M*A*S*H,Y
Deluge,1976-02-17,4,23,8.1,tt0638293,M*A*S*H,Y
The Interview,1976-02-24,4,24,8.5,tt0638436,M*A*S*H,Y
Bug Out,1976-09-21,5,1,8.2,tt0638264,M*A*S*H,Y
Margaret's Engagement,1976-09-28,5,2,8.1,tt0763271,M*A*S*H,Y
"Out of Sight, Out of Mind",1976-10-05,5,3,7.8,tt0638377,M*A*S*H,Y
Lt. Radar O'Reilly,1976-10-12,5,4,7.4,tt0638351,M*A*S*H,Y
The Nurses,1976-10-19,5,5,7.9,tt0638451,M*A*S*H,Y
The Abduction of Margaret Houlihan,1976-10-26,5,6,8,tt0638421,M*A*S*H,Y
Dear Sigmund,1976-11-09,5,7,8.7,tt0638289,M*A*S*H,Y
Mulcahy's War,1976-11-16,5,8,7.9,tt0638362,M*A*S*H,Y
The Korean Surgeon,1976-11-23,5,9,7.9,tt0638439,M*A*S*H,Y
Hawkeye Get Your Gun,1976-11-30,5,10,8.1,tt0638323,M*A*S*H,Y
The Colonel's Horse,1976-12-07,5,11,7.7,tt0638428,M*A*S*H,Y
Exorcism,1976-12-14,5,12,7.2,tt0638302,M*A*S*H,Y
Hawk's Nightmare,1976-12-21,5,13,7.5,tt0638321,M*A*S*H,Y
The Most Unforgettable Characters,1977-01-04,5,14,7.7,tt0638449,M*A*S*H,Y
38 Across,1977-01-11,5,15,7.9,tt0638237,M*A*S*H,Y
Ping Pong,1977-01-18,5,16,7.5,tt0638384,M*A*S*H,Y
End Run,1977-01-25,5,17,7.7,tt0638301,M*A*S*H,Y
Hanky Panky,1977-02-01,5,18,7.1,tt0638320,M*A*S*H,Y
