Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Pilot,2013-12-02,1,1,8,tt2169080,Rick and Morty,N
Lawnmower Dog,2013-12-09,1,2,8.8,tt3333824,Rick and Morty,N
Anatomy Park,2013-12-16,1,3,8.4,tt3333828,Rick and Morty,N
M. Night Shaym-Aliens!,2014-01-13,1,4,8.7,tt3333830,Rick and Morty,N
Meeseeks and Destroy,2014-01-20,1,5,9,tt3333832,Rick and Morty,N
Rick Potion #9,2014-01-27,1,6,9.1,tt3333834,Rick and Morty,N
Raising Gazorpazorp,2014-03-10,1,7,8,tt3333836,Rick and Morty,N
Rixty Minutes,2014-03-17,1,8,8.8,tt3333838,Rick and Morty,N
Something Ricked This Way Comes,2014-03-24,1,9,8.5,tt3333840,Rick and Morty,N
Close Rick-counters of the Rick Kind,2014-04-07,1,10,9.4,tt3333846,Rick and Morty,N
Ricksy Business,2014-04-14,1,11,8.5,tt3333854,Rick and Morty,N
A Rickle in Time,2015-07-26,2,1,8.9,tt4462494,Rick and Morty,N
Mortynight Run,2015-08-02,2,2,8.9,tt4832254,Rick and Morty,N
Auto Erotic Assimilation,2015-08-09,2,3,8.6,tt4832260,Rick and Morty,N
Total Rickall,2015-08-16,2,4,9.6,tt4832262,Rick and Morty,N
Get Schwifty,2015-08-23,2,5,8.3,tt4832266,Rick and Morty,N
The Ricks Must Be Crazy,2015-08-30,2,6,9.3,tt4832268,Rick and Morty,N
Big Trouble in Little Sanchez,2015-09-13,2,7,8.5,tt4832272,Rick and Morty,N
Interdimensional Cable 2: Tempting Fate,2015-09-20,2,8,7.7,tt4832274,Rick and Morty,N
Look Who's Purging Now,2015-09-27,2,9,8.6,tt4832276,Rick and Morty,N
The Wedding Squanchers,2015-10-04,2,10,9.4,tt4832278,Rick and Morty,N
The Rickshank Rickdemption,2017-04-01,3,1,9.6,tt5218228,Rick and Morty,N
Rickmancing the Stone,2017-07-30,3,2,8.2,tt5218256,Rick and Morty,N
Pickle Rick,2017-08-06,3,3,9.3,tt5218268,Rick and Morty,N
Vindicators 3: The Return of Worldender,2017-08-13,3,4,8.2,tt5218288,Rick and Morty,N
The Whirly Dirly Conspiracy,2017-08-20,3,5,8.5,tt5218310,Rick and Morty,N
Rest and Ricklaxation,2017-08-27,3,6,8.9,tt5218318,Rick and Morty,N
The Ricklantis Mixup,2017-09-10,3,7,9.8,tt5218332,Rick and Morty,N
Morty's Mind Blowers,2017-09-17,3,8,8.9,tt5218350,Rick and Morty,N
The ABCs of Beth,2017-09-24,3,9,8,tt5218370,Rick and Morty,N
The Rickchurian Mortydate,2017-10-01,3,10,8.2,tt5218386,Rick and Morty,N
Edge of Tomorty: Rick Die Rickpeat,2019-11-10,4,1,9,tt7446798,Rick and Morty,N
The Old Man and the Seat,2019-11-17,4,2,8.3,tt10655676,Rick and Morty,N
One Crew over the Crewcoo's Morty,2019-11-24,4,3,8.4,tt10655678,Rick and Morty,N
Claw and Hoarder: Special Ricktim's Morty,2019-12-08,4,4,7.4,tt10655680,Rick and Morty,N
Rattlestar Ricklactica,2019-12-15,4,5,8.9,tt10655682,Rick and Morty,N
Never Ricking Morty,2020-05-03,4,6,8.1,tt10655686,Rick and Morty,N
Promortyus,2020-05-10,4,7,8.1,tt10655690,Rick and Morty,N
The Vat of Acid Episode,2020-05-17,4,8,9.5,tt10655692,Rick and Morty,N
Childrick of Mort,2020-05-24,4,9,7.8,tt10655694,Rick and Morty,N
Star Mort Rickturn of the Jerri,2020-05-31,4,10,9.2,tt10655696,Rick and Morty,N
Mort Dinner Rick Andre,2021-06-20,5,1,9.1,tt12396812,Rick and Morty,Y
Mortyplicity,2021-06-27,5,2,8.9,tt14889190,Rick and Morty,Y
A Rickconvenient Mort,2021-07-04,5,3,7.9,tt14889192,Rick and Morty,Y
Rickdependence Spray,2021-07-11,5,4,5.6,tt14898020,Rick and Morty,Y
Amortycan Grickfitti,2021-07-18,5,5,7.1,tt15000920,Rick and Morty,Y
Rick & Morty's Thanksploitation Spectacular,2021-07-25,5,6,7.2,tt15041140,Rick and Morty,Y
Gotron Jerrysis Rickvangelion,2021-08-01,5,7,6.4,tt15041318,Rick and Morty,Y
Rickternal Friendshine of the Spotless Mort,2021-08-08,5,8,8.5,tt15041146,Rick and Morty,Y
Forgetting Sarick Mortshall,2021-09-05,5,9,8.7,tt15041328,Rick and Morty,Y
Rickmurai Jack,2021-09-05,5,10,9.7,tt15041334,Rick and Morty,Y
