Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
I Want to be Connected but I Want to Lie,2019-04-11,1,1,7.2,tt9218222,Sarazanmai,Y
"I Want to Connect, but I Want to Take",2019-04-19,1,2,7.6,tt10061908,Sarazanmai,Y
"I Want to Connect, but It's Not Meant to Be",2019-04-26,1,3,7.5,tt10061910,Sarazanmai,Y
"I Want to Connect, but You're So Far Away",2019-05-03,1,4,7.7,tt10061914,Sarazanmai,Y
"I Want to Connect, but I Can't Be Forgiven",2019-05-10,1,5,7.9,tt10061916,Sarazanmai,Y
"I Want to Connect, so I'm Not Giving up",2019-05-17,1,6,7.8,tt10061918,Sarazanmai,L
"I Want to Connect, but I Want to Betray",2019-05-24,1,7,7.6,tt10061920,Sarazanmai,Y
"I Want to Connect, but We'll Never Meet Again",2019-05-31,1,8,7.7,tt10061928,Sarazanmai,Y
"I Want to Connect, but I Can't Express It",2019-06-07,1,9,8.2,tt10061938,Sarazanmai,Y
"I Want to Connect, but I Can't",2019-06-14,1,10,7.7,tt10061946,Sarazanmai,Y
"I Want to Connect, so Sarazanmai",2019-06-21,1,11,8,tt10061948,Sarazanmai,Y
