Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Unaired Pilot,2011-11-30,1,0,8.9,tt1815240,Sherlock,Y
A Study in Pink,2010-07-25,1,1,9.1,tt1665071,Sherlock,Y
The Blind Banker,2010-08-01,1,2,8.1,tt1664529,Sherlock,Y
The Great Game,2010-09-08,1,3,9.1,tt1664530,Sherlock,Y
A Scandal in Belgravia,2012-01-01,2,1,9.5,tt1942612,Sherlock,Y
The Hounds of Baskerville,2012-01-08,2,2,8.4,tt1942613,Sherlock,Y
The Reichenbach Fall,2012-01-15,2,3,9.7,tt1942614,Sherlock,Y
Many Happy Returns,2013-12-24,3,0,8.6,tt3381878,Sherlock,Y
The Empty Hearse,2014-01-01,3,1,9,tt2189771,Sherlock,Y
The Sign of Three,2014-01-05,3,2,9,tt2781042,Sherlock,Y
His Last Vow,2014-02-12,3,3,9.3,tt2781046,Sherlock,Y
The Abominable Bride,2016-01-01,4,0,8.2,tt3845232,Sherlock,Y
The Six Thatchers,2017-01-01,4,1,7.6,tt3538760,Sherlock,Y
The Lying Detective,2017-01-08,4,2,9.2,tt3845888,Sherlock,Y
The Final Problem,2017-01-15,4,3,8.3,tt3845892,Sherlock,Y
