Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Emissary,1993-01-03,1,1,7.6,tt0108214,Star Trek: Deep Space Nine,Y
Past Prologue,1993-01-10,1,2,7.1,tt0708576,Star Trek: Deep Space Nine,Y
A Man Alone,1993-01-17,1,3,6.9,tt0708494,Star Trek: Deep Space Nine,Y
Babel,1993-01-24,1,4,7,tt0708501,Star Trek: Deep Space Nine,Y
Captive Pursuit,1993-01-31,1,5,7.7,tt0708513,Star Trek: Deep Space Nine,Y
Q-Less,1993-02-07,1,6,6.9,tt0708586,Star Trek: Deep Space Nine,Y
Dax,1993-02-14,1,7,7.2,tt0708523,Star Trek: Deep Space Nine,Y
The Passenger,1993-02-22,1,8,6.4,tt0708633,Star Trek: Deep Space Nine,Y
Move Along Home,1993-03-14,1,9,6,tt0708569,Star Trek: Deep Space Nine,Y
The Nagus,1993-03-21,1,10,7.1,tt0708632,Star Trek: Deep Space Nine,Y
Vortex,1993-04-18,1,11,7.1,tt0708659,Star Trek: Deep Space Nine,Y
Battle Lines,1993-04-25,1,12,6.7,tt0708504,Star Trek: Deep Space Nine,Y
The Storyteller,1993-05-02,1,13,6.1,tt0708643,Star Trek: Deep Space Nine,Y
Progress,1993-05-09,1,14,6.9,tt0708584,Star Trek: Deep Space Nine,Y
If Wishes Were Horses,1993-05-16,1,15,6.5,tt0708551,Star Trek: Deep Space Nine,Y
The Forsaken,1993-05-23,1,16,7,tt0708624,Star Trek: Deep Space Nine,Y
Dramatis Personae,1993-05-30,1,17,7.1,tt0708528,Star Trek: Deep Space Nine,Y
Duet,1993-06-13,1,18,9.1,tt0708529,Star Trek: Deep Space Nine,Y
In The Hands Of The Prophets,1993-06-20,1,19,7.8,tt0708556,Star Trek: Deep Space Nine,Y
The Homecoming,1993-09-26,2,1,7.7,tt0708625,Star Trek: Deep Space Nine,Y
The Circle,1993-10-03,2,2,7.7,tt0708618,Star Trek: Deep Space Nine,Y
The Siege,1993-10-10,2,3,7.9,tt0708639,Star Trek: Deep Space Nine,Y
Invasive Procedures,1993-10-17,2,4,6.9,tt0708561,Star Trek: Deep Space Nine,Y
Cardassians,1993-10-24,2,5,7.6,tt0708514,Star Trek: Deep Space Nine,Y
Melora,1993-10-31,2,6,6.5,tt0708567,Star Trek: Deep Space Nine,Y
Rules Of Acquisition,1993-11-07,2,7,7.5,tt0708593,Star Trek: Deep Space Nine,Y
Necessary Evil,1993-11-14,2,8,8.2,tt0708570,Star Trek: Deep Space Nine,Y
Second Sight,1993-11-21,2,9,6.3,tt0708597,Star Trek: Deep Space Nine,Y
Sanctuary,1993-11-28,2,10,6.5,tt0708596,Star Trek: Deep Space Nine,Y
Rivals,1994-01-02,2,11,6.6,tt0708591,Star Trek: Deep Space Nine,Y
The Alternate,1994-01-09,2,12,6.8,tt0708613,Star Trek: Deep Space Nine,Y
Armageddon Game,1994-01-30,2,13,7.5,tt0708500,Star Trek: Deep Space Nine,Y
Whispers,1994-02-06,2,14,8.3,tt0708664,Star Trek: Deep Space Nine,Y
Paradise,1994-02-13,2,15,6.7,tt0708574,Star Trek: Deep Space Nine,Y
Shadowplay,1994-02-20,2,16,7.4,tt0708599,Star Trek: Deep Space Nine,Y
Playing God,1994-02-27,2,17,6.5,tt0708580,Star Trek: Deep Space Nine,Y
Profit And Loss,1994-03-20,2,18,7.3,tt0708583,Star Trek: Deep Space Nine,Y
Blood Oath,1994-03-27,2,19,8,tt0708507,Star Trek: Deep Space Nine,Y
The Maquis: Part I,1994-04-24,2,20,7.9,tt0708629,Star Trek: Deep Space Nine,Y
"The Maquis, Part II",1994-05-01,2,21,7.9,tt0708630,Star Trek: Deep Space Nine,Y
The Wire,1994-05-08,2,22,8.3,tt0708648,Star Trek: Deep Space Nine,Y
Crossover,1994-05-15,2,23,8,tt0708522,Star Trek: Deep Space Nine,Y
The Collaborator,1994-05-22,2,24,7.1,tt0708619,Star Trek: Deep Space Nine,Y
Tribunal,1994-06-05,2,25,7.6,tt0708656,Star Trek: Deep Space Nine,Y
The Jem'Hadar,1994-06-12,2,26,8.5,tt0708627,Star Trek: Deep Space Nine,Y
"The Search, Part I",1994-09-26,3,1,8.4,tt0708636,Star Trek: Deep Space Nine,Y
"The Search, Part II",1994-10-03,3,2,8.3,tt0708637,Star Trek: Deep Space Nine,Y
The House Of Quark,1994-10-10,3,3,8.1,tt0708626,Star Trek: Deep Space Nine,Y
Equilibrium,1994-10-17,3,4,6.8,tt0708533,Star Trek: Deep Space Nine,Y
Second Skin,1994-10-24,3,5,8,tt0708598,Star Trek: Deep Space Nine,Y
The Abandoned,1994-10-31,3,6,7,tt0708611,Star Trek: Deep Space Nine,Y
Civil Defense,1994-11-07,3,7,8,tt0708519,Star Trek: Deep Space Nine,Y
Meridian,1994-11-14,3,8,5.7,tt0708568,Star Trek: Deep Space Nine,Y
Defiant,1994-11-21,3,9,8.1,tt0708524,Star Trek: Deep Space Nine,Y
Fascination,1994-11-28,3,10,6.3,tt0708539,Star Trek: Deep Space Nine,Y
"Past Tense, Part I",1995-01-02,3,11,8,tt0708577,Star Trek: Deep Space Nine,Y
"Past Tense, Part II",1995-01-09,3,12,8.1,tt0708578,Star Trek: Deep Space Nine,Y
Life Support,1995-01-30,3,13,6.8,tt0708564,Star Trek: Deep Space Nine,Y
Heart Of Stone,1995-02-06,3,14,7.4,tt0708546,Star Trek: Deep Space Nine,Y
Destiny,1995-02-13,3,15,7.5,tt0708525,Star Trek: Deep Space Nine,Y
Prophet Motive,1995-02-20,3,16,6.9,tt0708585,Star Trek: Deep Space Nine,Y
Visionary,1995-02-27,3,17,7.9,tt0708658,Star Trek: Deep Space Nine,Y
Distant Voices,1995-04-10,3,18,6.6,tt0708526,Star Trek: Deep Space Nine,Y
Through The Looking Glass,1995-04-17,3,19,7.6,tt0708650,Star Trek: Deep Space Nine,Y
Improbable Cause,1995-04-24,3,20,8.7,tt0708553,Star Trek: Deep Space Nine,Y
The Die Is Cast,1995-05-01,3,21,9,tt0708621,Star Trek: Deep Space Nine,Y
Explorers,1995-05-08,3,22,7.4,tt0708534,Star Trek: Deep Space Nine,Y
Family Business,1995-05-15,3,23,7.3,tt0708537,Star Trek: Deep Space Nine,Y
Shakaar,1995-05-22,3,24,7,tt0708601,Star Trek: Deep Space Nine,Y
Facets,1995-06-12,3,25,7.3,tt0708536,Star Trek: Deep Space Nine,Y
The Adversary,1995-06-19,3,26,8.3,tt0708612,Star Trek: Deep Space Nine,Y
The Way Of The Warrior,1995-10-02,4,1,9.1,tt0394906,Star Trek: Deep Space Nine,Y
The Visitor,1995-10-09,4,2,9.2,tt0708645,Star Trek: Deep Space Nine,Y
Hippocratic Oath,1995-10-16,4,3,7.8,tt0708547,Star Trek: Deep Space Nine,Y
Indiscretion,1995-10-23,4,4,7.8,tt0708558,Star Trek: Deep Space Nine,Y
Rejoined,1995-10-30,4,5,7.1,tt0708588,Star Trek: Deep Space Nine,Y
Starship Down,1995-11-06,4,6,7.8,tt0708605,Star Trek: Deep Space Nine,Y
Little Green Men,1995-11-13,4,7,8.6,tt0708565,Star Trek: Deep Space Nine,Y
The Sword Of Kahless,1995-11-20,4,8,7.1,tt0708644,Star Trek: Deep Space Nine,Y
Our Man Bashir,1995-11-27,4,9,8,tt0708573,Star Trek: Deep Space Nine,Y
Homefront,1996-01-01,4,10,8.4,tt0708549,Star Trek: Deep Space Nine,Y
Paradise Lost,1996-01-08,4,11,8.4,tt0708575,Star Trek: Deep Space Nine,Y
Crossfire,1996-01-29,4,12,7.3,tt0708521,Star Trek: Deep Space Nine,Y
Return To Grace,1996-02-05,4,13,7.9,tt0708590,Star Trek: Deep Space Nine,Y
Sons Of Mogh,1996-02-12,4,14,7.4,tt0708641,Star Trek: Deep Space Nine,Y
Bar Association,1996-02-19,4,15,7.5,tt0708503,Star Trek: Deep Space Nine,Y
Accession,1996-02-26,4,16,7.2,tt0708497,Star Trek: Deep Space Nine,Y
Rules Of Engagement,1996-04-08,4,17,7.4,tt0708594,Star Trek: Deep Space Nine,Y
Hard Time,1996-04-15,4,18,8.4,tt0708545,Star Trek: Deep Space Nine,Y
Shattered Mirror,1996-04-22,4,19,7.3,tt0708602,Star Trek: Deep Space Nine,Y
The Muse,1996-04-29,4,20,5.7,tt0708631,Star Trek: Deep Space Nine,Y
