Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Encounter at Farpoint,1987-09-28,1,1,7,tt0094030,Star Trek: The Next Generation,Y
The Naked Now,1987-10-05,1,2,6.6,tt0708810,Star Trek: The Next Generation,Y
Code of Honor,1987-10-12,1,3,5.2,tt0708689,Star Trek: The Next Generation,Y
The Last Outpost,1987-10-19,1,4,6.3,tt0708804,Star Trek: The Next Generation,Y
Where No One Has Gone Before,1987-10-26,1,5,7.6,tt0708842,Star Trek: The Next Generation,Y
Lonely Among Us,1987-11-02,1,6,6.3,tt0708743,Star Trek: The Next Generation,Y
Justice,1987-11-09,1,7,6,tt0708739,Star Trek: The Next Generation,Y
The Battle,1987-11-16,1,8,6.9,tt0708784,Star Trek: The Next Generation,Y
Hide And Q,1987-11-23,1,9,7,tt0708728,Star Trek: The Next Generation,Y
Haven,1987-11-30,1,10,6.3,tt0708725,Star Trek: The Next Generation,Y
The Big Goodbye,1988-01-11,1,11,7.4,tt0708787,Star Trek: The Next Generation,Y
Datalore,1988-01-18,1,12,7.7,tt0708698,Star Trek: The Next Generation,Y
Angel One,1988-01-25,1,13,5.7,tt0708676,Star Trek: The Next Generation,Y
11001001,1988-02-01,1,14,7.5,tt0708668,Star Trek: The Next Generation,Y
Too Short A Season,1988-02-08,1,15,6.1,tt0708832,Star Trek: The Next Generation,Y
When The Bough Breaks,1988-02-15,1,16,6.4,tt0708841,Star Trek: The Next Generation,Y
Home Soil,1988-02-22,1,17,6.9,tt0708730,Star Trek: The Next Generation,Y
Coming of Age,1988-03-14,1,18,7.2,tt0708690,Star Trek: The Next Generation,Y
Heart of Glory,1988-03-21,1,19,7.3,tt0708726,Star Trek: The Next Generation,Y
The Arsenal of Freedom,1988-04-11,1,20,7.2,tt0708783,Star Trek: The Next Generation,Y
Symbiosis,1988-04-18,1,21,7,tt0708781,Star Trek: The Next Generation,Y
Skin Of Evil,1988-04-25,1,22,6.9,tt0708776,Star Trek: The Next Generation,Y
We'll Always Have Paris,1988-05-02,1,23,6.6,tt0708840,Star Trek: The Next Generation,Y
Conspiracy,1988-05-09,1,24,8.2,tt0708691,Star Trek: The Next Generation,Y
The Neutral Zone,1988-05-16,1,25,7.5,tt0708811,Star Trek: The Next Generation,Y
The Child,1988-11-21,2,1,5.8,tt0708790,Star Trek: The Next Generation,Y
Where Silence Has Lease,1988-11-28,2,2,7.1,tt0708843,Star Trek: The Next Generation,Y
"Elementary, Dear Data",1988-12-05,2,3,8.2,tt0708704,Star Trek: The Next Generation,Y
The Outrageous Okona,1988-12-12,2,4,6.3,tt0708816,Star Trek: The Next Generation,Y
Loud As A Whisper,1989-01-09,2,5,6.5,tt0708744,Star Trek: The Next Generation,Y
The Schizoid Man,1989-01-23,2,6,7,tt0708822,Star Trek: The Next Generation,Y
