Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Pilot,2005-09-13,1,1,8.7,tt0713618,Supernatural,Y
Wendigo,2005-09-20,1,2,8,tt0713624,Supernatural,Y
Dead in the Water,2005-09-27,1,3,8.1,tt0713613,Supernatural,Y
Phantom Traveler,2005-10-04,1,4,8.2,tt0713617,Supernatural,Y
Bloody Mary,2005-10-11,1,5,8.4,tt0713611,Supernatural,Y
Skin,2005-10-18,1,6,8.4,tt0713622,Supernatural,Y
Hook Man,2005-10-25,1,7,8,tt0713615,Supernatural,Y
Bugs,2005-11-08,1,8,7,tt0713612,Supernatural,Y
Home,2005-11-15,1,9,8.9,tt0713623,Supernatural,Y
Asylum,2005-11-22,1,10,8.5,tt0713610,Supernatural,Y
Scarecrow,2006-01-10,1,11,8.7,tt0713620,Supernatural,Y
Faith,2006-01-17,1,12,8.9,tt0713614,Supernatural,Y
Route 666,2006-01-31,1,13,7.4,tt0713619,Supernatural,Y
Nightmare,2006-02-07,1,14,8.3,tt0713616,Supernatural,Y
The Benders,2006-02-14,1,15,8.3,tt0757750,Supernatural,Y
Shadow,2006-02-28,1,16,8.6,tt0713621,Supernatural,Y
Hell House,2006-03-30,1,17,8.4,tt0763064,Supernatural,Y
Something Wicked,2006-04-06,1,18,8.7,tt0763065,Supernatural,Y
Provenance,2006-04-13,1,19,8.8,tt0761316,Supernatural,Y
Dead Man's Blood,2006-04-20,1,20,8.5,tt0767486,Supernatural,Y
Salvation,2006-04-27,1,21,8.9,tt0772002,Supernatural,Y
Devil's Trap,2006-05-04,1,22,9.3,tt0775325,Supernatural,Y
In My Time of Dying,2006-09-28,2,1,9.3,tt0829063,Supernatural,Y
Everybody Loves a Clown,2006-10-05,2,2,8.2,tt0829062,Supernatural,Y
Bloodlust,2006-10-12,2,3,8.3,tt0835248,Supernatural,Y
Children Shouldn't Play with Dead Things,2006-10-19,2,4,8.1,tt0837741,Supernatural,Y
Simon Said,2006-10-26,2,5,8.6,tt0851031,Supernatural,Y
No Exit,2006-11-02,2,6,8.4,tt0855641,Supernatural,Y
The Usual Suspects,2006-11-09,2,7,8.7,tt0859555,Supernatural,Y
Crossroad Blues,2006-11-16,2,8,8.8,tt0868625,Supernatural,Y
Croatoan,2006-12-07,2,9,8.8,tt0878590,Supernatural,Y
Hunted,2007-01-11,2,10,8.5,tt0883872,Supernatural,Y
Playthings,2007-01-18,2,11,8.5,tt0890836,Supernatural,Y
Nightshifter,2007-01-25,2,12,9,tt0942145,Supernatural,Y
Houses of the Holy,2007-02-01,2,13,8.1,tt0921622,Supernatural,Y
Born Under a Bad Sign,2007-02-08,2,14,8.8,tt0940441,Supernatural,Y
Tall Tales,2007-02-15,2,15,9.2,tt0939444,Supernatural,Y
Roadkill,2007-03-15,2,16,8.9,tt0942786,Supernatural,Y
Heart,2007-03-22,2,17,8.8,tt0959976,Supernatural,Y
Hollywood Babylon,2007-04-19,2,18,8.6,tt0964436,Supernatural,Y
Folsom Prison Blues,2007-04-26,2,19,8.7,tt1000536,Supernatural,Y
What Is and What Should Never Be,2007-05-03,2,20,9.4,tt0987715,Supernatural,Y
All Hell Breaks Loose: Part 1,2007-05-10,2,21,9.2,tt0987713,Supernatural,Y
All Hell Breaks Loose: Part 2,2007-05-17,2,22,9.5,tt0987714,Supernatural,Y
The Magnificent Seven,2007-10-04,3,1,8.6,tt1032129,Supernatural,Y
The Kids Are Alright,2007-10-11,3,2,8.7,tt1032134,Supernatural,Y
Bad Day at Black Rock,2007-10-18,3,3,9.3,tt1107710,Supernatural,Y
Sin City,2007-10-25,3,4,8.4,tt1032135,Supernatural,Y
