Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
The Name of the Game,2019-07-26,1,1,8.8,tt7775902,The Boys,Y
Cherry,2019-07-26,1,2,8.6,tt8100946,The Boys,Y
Get Some,2019-07-26,1,3,8.5,tt8100948,The Boys,Y
The Female of the Species,2019-07-26,1,4,8.8,tt8100950,The Boys,Y
Good for the Soul,2019-07-26,1,5,8.5,tt8100952,The Boys,Y
The Innocents,2019-07-26,1,6,8.3,tt8100954,The Boys,Y
The Self-Preservation Society,2019-07-26,1,7,8.8,tt8100956,The Boys,Y
You Found Me,2019-07-26,1,8,9.1,tt8100958,The Boys,Y
The Big Ride,2020-09-04,2,1,8.3,tt10666364,The Boys,Y
Proper Preparation and Planning,2020-09-04,2,2,7.9,tt11783338,The Boys,Y
Over the Hill with the Swords of a Thousand Men,2020-09-04,2,3,9.1,tt11748808,The Boys,Y
Nothing Like It in the World,2020-09-11,2,4,8.1,tt11563692,The Boys,Y
We Gotta Go Now,2020-09-18,2,5,8.5,tt11290880,The Boys,Y
The Bloody Doors Off,2020-09-25,2,6,9.1,tt11997262,The Boys,Y
"Butcher, Baker, Candlestick Maker",2020-10-02,2,7,9.1,tt11997264,The Boys,Y
What I Know,2020-10-09,2,8,9.5,tt12187284,The Boys,Y
