Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Where Is Everybody?,1959-10-02,1,1,8,tt0734692,The Twilight Zone,Y
One for the Angels,1959-10-09,1,2,7.7,tt0734609,The Twilight Zone,Y
Mr. Denton on Doomsday,1959-10-16,1,3,7.2,tt0734592,The Twilight Zone,Y
The Sixteen-Millimeter Shrine,1959-10-23,1,4,6.8,tt0734626,The Twilight Zone,Y
Walking Distance,1959-10-30,1,5,8.3,tt0734689,The Twilight Zone,Y
Escape Clause,1959-11-06,1,6,7.4,tt0734566,The Twilight Zone,Y
The Lonely,1959-11-13,1,7,8.2,tt0734656,The Twilight Zone,Y
Time Enough at Last,1959-11-20,1,8,9.1,tt0734683,The Twilight Zone,Y
Perchance to Dream,1959-11-27,1,9,7.6,tt0734612,The Twilight Zone,Y
Judgment Night,1959-12-04,1,10,7.4,tt0734582,The Twilight Zone,Y
And When the Sky Was Opened,1959-12-11,1,11,8.6,tt0734555,The Twilight Zone,Y
What You Need,1959-12-25,1,12,8.1,tt0734690,The Twilight Zone,Y
The Four of Us Are Dying,1960-01-01,1,13,7.2,tt0734640,The Twilight Zone,Y
Third from the Sun,1960-01-08,1,14,8.2,tt0734682,The Twilight Zone,Y
I Shot an Arrow into the Air,1960-01-15,1,15,7.9,tt0734575,The Twilight Zone,Y
The Hitch-Hiker,1960-01-22,1,16,8.4,tt0734644,The Twilight Zone,Y
The Fever,1960-01-29,1,17,6.8,tt0734639,The Twilight Zone,Y
The Last Flight,1960-02-05,1,18,8.1,tt0734651,The Twilight Zone,Y
The Purple Testament,1960-02-12,1,19,7.4,tt0734673,The Twilight Zone,Y
Elegy,1960-02-19,1,20,7.6,tt0734565,The Twilight Zone,Y
Mirror Image,1960-02-26,1,21,8,tt0734590,The Twilight Zone,Y
The Monsters Are Due on Maple Street,1960-03-04,1,22,9,tt0734664,The Twilight Zone,Y
A World of Difference,1960-03-11,1,23,7.8,tt0734552,The Twilight Zone,Y
Long Live Walter Jameson,1960-03-18,1,24,8.3,tt0734588,The Twilight Zone,Y
People Are Alike All Over,1960-03-25,1,25,8.3,tt0734611,The Twilight Zone,Y
Execution,1960-04-01,1,26,7.4,tt0734567,The Twilight Zone,Y
The Big Tall Wish,1960-04-08,1,27,6.9,tt0734632,The Twilight Zone,Y
A Nice Place to Visit,1960-04-15,1,28,8,tt0734544,The Twilight Zone,Y
Nightmare as a Child,1960-04-29,1,29,7.4,tt0734599,The Twilight Zone,Y
A Stop at Willoughby,1960-05-06,1,30,8.6,tt0734550,The Twilight Zone,Y
The Chaser,1960-05-13,1,31,7.1,tt0734635,The Twilight Zone,Y
A Passage for Trumpet,1960-05-20,1,32,7.4,tt0734545,The Twilight Zone,Y
Mr. Bevis,1960-06-03,1,33,6.7,tt0734591,The Twilight Zone,Y
The After Hours,1960-06-10,1,34,8.5,tt0734628,The Twilight Zone,Y
The Mighty Casey,1960-06-17,1,35,6.3,tt0734661,The Twilight Zone,Y
A World of His Own,1960-07-01,1,36,8.2,tt0734553,The Twilight Zone,Y
King Nine Will Not Return,1960-09-30,2,1,6.7,tt0734584,The Twilight Zone,Y
The Man in the Bottle,1960-10-07,2,2,7.5,tt0734658,The Twilight Zone,Y
Nervous Man in a Four Dollar Room,1960-10-14,2,3,6.8,tt0734596,The Twilight Zone,Y
A Thing About Machines,1960-10-28,2,4,6.5,tt0734551,The Twilight Zone,Y
The Howling Man,1960-11-04,2,5,8.3,tt0734645,The Twilight Zone,Y
Eye of the Beholder,1960-11-11,2,6,9.2,tt0734568,The Twilight Zone,Y
Nick of Time,1960-11-18,2,7,8.4,tt0734597,The Twilight Zone,Y
The Lateness of the Hour,1960-12-02,2,8,7.2,tt0734654,The Twilight Zone,Y
The Trouble with Templeton,1960-12-09,2,9,7.2,tt0734680,The Twilight Zone,Y
A Most Unusual Camera,1960-12-16,2,10,7.7,tt0734543,The Twilight Zone,Y
The Night of the Meek,1960-12-23,2,11,8.1,tt0734666,The Twilight Zone,Y
Dust,1961-01-06,2,12,7,tt0734564,The Twilight Zone,Y
Back There,1961-01-13,2,13,7.7,tt0734556,The Twilight Zone,Y
The Whole Truth,1961-01-20,2,14,6.5,tt0734681,The Twilight Zone,Y
The Invaders,1961-01-27,2,15,8.2,tt0734648,The Twilight Zone,Y
A Penny for Your Thoughts,1961-02-03,2,16,8.2,tt0734546,The Twilight Zone,Y
Twenty Two,1961-02-10,2,17,8,tt0734685,The Twilight Zone,Y
The Odyssey of Flight 33,1961-02-24,2,18,8,tt0734668,The Twilight Zone,Y
"Mr. Dingle, the Strong",1961-03-03,2,19,6.8,tt0734593,The Twilight Zone,Y
Static,1961-03-10,2,20,6.8,tt0734622,The Twilight Zone,Y
The Prime Mover,1961-03-24,2,21,7.2,tt0734672,The Twilight Zone,Y
Long Distance Call,1961-03-31,2,22,7.8,tt0734587,The Twilight Zone,Y
A Hundred Yards Over the Rim,1961-04-07,2,23,8.2,tt0734541,The Twilight Zone,Y
The Rip Van Winkle Caper,1961-04-21,2,24,7.8,tt0734674,The Twilight Zone,Y
The Silence,1961-04-28,2,25,8.5,tt0734677,The Twilight Zone,Y
Shadow Play,1961-05-05,2,26,8.4,tt0734618,The Twilight Zone,Y
The Mind and the Matter,1961-05-12,2,27,6.6,tt0734662,The Twilight Zone,Y
Will the Real Martian Please Stand Up?,1961-05-26,2,28,8.8,tt0734693,The Twilight Zone,Y
The Obsolete Man,1961-06-02,2,29,8.7,tt0734667,The Twilight Zone,Y
Two,1961-09-15,3,1,7.7,tt0734686,The Twilight Zone,Y
The Arrival,1961-09-22,3,2,7.3,tt0734629,The Twilight Zone,Y
The Shelter,1961-09-29,3,3,8.7,tt0734676,The Twilight Zone,Y
The Passersby,1961-10-06,3,4,7.6,tt0734671,The Twilight Zone,Y
A Game of Pool,1961-10-13,3,5,8,tt0734540,The Twilight Zone,Y
The Mirror,1961-10-20,3,6,6.6,tt0734663,The Twilight Zone,Y
The Grave,1961-10-27,3,7,7.8,tt0734643,The Twilight Zone,Y
It's a Good Life,1961-11-03,3,8,8.8,tt0734580,The Twilight Zone,Y
Deaths-Head Revisited,1961-11-10,3,9,8.2,tt0734563,The Twilight Zone,Y
The Midnight Sun,1961-11-17,3,10,8.6,tt0734660,The Twilight Zone,Y
Still Valley,1961-11-24,3,11,6.7,tt0734624,The Twilight Zone,Y
