Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Take Your Little Gun and Get Out of My Trailer Park,2001-04-22,1,1,7.7,tt0732920,Trailer Park Boys,N
Fuck Community College. Let's Get Drunk and Eat Chicken Fingers,2001-04-29,1,2,8,tt0732906,Trailer Park Boys,N
Mr. Lahey's Got My Porno Tape!,2001-05-06,1,3,8.7,tt0732914,Trailer Park Boys,N
Mrs. Peterson's Dog Gets Fucked Up,2001-05-13,1,4,8.3,tt0732915,Trailer Park Boys,N
"I'm Not Gay, I love Lucy. Wait a Second, Maybe I am Gay",2001-05-20,1,5,8.7,tt0732909,Trailer Park Boys,N
Who the Hell Invited These Idiots to My Wedding?,2001-05-27,1,6,8.7,tt0732932,Trailer Park Boys,N
What in the Fuck Happened to Our Trailer Park?,2002-06-23,2,1,8.8,tt0732930,Trailer Park Boys,N
Jim Lahey Is a Drunk Bastard,2002-06-30,2,2,8.6,tt0732912,Trailer Park Boys,N
I've Met Cats and Dogs Smarter Than Trevor and Cory,2002-07-07,2,3,9,tt0732910,Trailer Park Boys,N
A Dope Trailer Is No Place for a Kitty,2002-07-14,2,4,8.7,tt0732898,Trailer Park Boys,N
The Bible Pimp,2002-07-21,2,5,8.7,tt0732922,Trailer Park Boys,N
Never Trust a Man with No Shirt On,2002-07-28,2,6,8.8,tt0732917,Trailer Park Boys,N
The Bare Pimp Project,2002-08-04,2,7,9,tt0732923,Trailer Park Boys,N
The Kiss of Freedom,2003-04-20,3,1,9,tt0732926,Trailer Park Boys,N
Temporary Relief Assistant Trailer Park Supervisor,2003-04-27,3,2,9.1,tt0732921,Trailer Park Boys,N
If I Can't Smoke and Swear. I'm Fucked,2003-05-04,3,3,9.1,tt0732911,Trailer Park Boys,N
Who's the Microphone Assassin?,2003-05-11,3,4,8.9,tt0732933,Trailer Park Boys,N
Closer to the Heart,2003-05-18,3,5,9.3,tt0732901,Trailer Park Boys,N
Where in the Fuck Is Randy's Barbeque?,2003-05-25,3,6,8.8,tt0732931,Trailer Park Boys,N
The Delusions of Officer Jim Lahey,2003-06-01,3,7,8.9,tt0798774,Trailer Park Boys,N
A Shit Leopard Can't Change Its Spots,2003-06-08,3,8,8.9,tt0732900,Trailer Park Boys,N
Never Cry Shitwolf,2004-04-11,4,1,8.8,tt0732916,Trailer Park Boys,N
A Man's Gotta Eat,2004-04-18,4,2,8.9,tt0732899,Trailer Park Boys,N
Rub n Tiz'zug,2004-04-25,4,3,8.9,tt0732919,Trailer Park Boys,N
The Green Bastard,2004-05-02,4,4,9.2,tt0732925,Trailer Park Boys,N
Conky,2004-05-09,4,5,9.3,tt0732902,Trailer Park Boys,N
"Propane, Propane",2004-05-23,4,7,8.8,tt0732918,Trailer Park Boys,N
Workin' Man,2004-05-30,4,8,9.1,tt0732934,Trailer Park Boys,N
Dear Santa Claus: Go Fuck Yourself,2004-12-12,4,9,9,tt0732903,Trailer Park Boys,N
Give Peace a Chance,2005-04-17,5,1,8.7,tt0732907,Trailer Park Boys,N
The Shit Puppets,2005-04-24,5,2,8.9,tt0732928,Trailer Park Boys,N
The Fuckin' Way She Goes,2005-05-01,5,3,9,tt0732924,Trailer Park Boys,N
You Got to Blame the Thing Up Here,2005-05-08,5,4,9,tt0732935,Trailer Park Boys,N
"Mr. Lahey Is a Fuckin' Drunk, and He Always Will Be",2005-05-15,5,5,8.9,tt0732913,Trailer Park Boys,N
Don't Cross the Shitline,2005-05-22,5,6,9,tt0732904,Trailer Park Boys,N
The Winds of Shit,2005-05-29,5,7,8.8,tt0732929,Trailer Park Boys,N
