Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
The Original,2016-10-02,1,1,8.9,tt4227538,Westworld,Y
Chestnut,2016-10-09,1,2,8.5,tt4562758,Westworld,Y
The Stray,2016-10-16,1,3,8.3,tt4625856,Westworld,Y
Dissonance Theory,2016-10-23,1,4,8.7,tt4625862,Westworld,Y
Contrapasso,2016-10-30,1,5,8.7,tt4625866,Westworld,Y
The Adversary,2016-11-06,1,6,8.9,tt4630544,Westworld,Y
Trompe L'Oeil,2016-11-13,1,7,9.5,tt4630546,Westworld,Y
Trace Decay,2016-11-20,1,8,8.8,tt4458814,Westworld,Y
The Well-Tempered Clavier,2016-11-27,1,9,9.4,tt5220026,Westworld,Y
The Bicameral Mind,2016-12-04,1,10,9.7,tt5229638,Westworld,Y
Journey into Night,2018-04-22,2,1,8.2,tt6243294,Westworld,Y
Reunion,2018-04-29,2,2,8.1,tt6243296,Westworld,Y
Virtù e Fortuna,2018-05-06,2,3,8,tt6243298,Westworld,Y
The Riddle of the Sphinx,2018-05-13,2,4,9,tt6243300,Westworld,Y
Akane No Mai,2018-05-20,2,5,7.9,tt6243302,Westworld,Y
Phase Space,2018-05-27,2,6,8.1,tt6243304,Westworld,Y
Les Écorchés,2018-06-03,2,7,8.5,tt6243306,Westworld,Y
Kiksuya,2018-06-10,2,8,9.2,tt6243308,Westworld,Y
Vanishing Point,2018-06-17,2,9,8.8,tt6243310,Westworld,Y
The Passenger,2018-06-24,2,10,8.8,tt6243312,Westworld,Y
Parce Domine,2020-03-15,3,1,8.3,tt8358332,Westworld,Y
The Winter Line,2020-03-22,3,2,8.2,tt9899922,Westworld,Y
The Absence of Field,2020-03-29,3,3,8.2,tt10011150,Westworld,Y
The Mother of Exiles,2020-04-05,3,4,8.8,tt10011152,Westworld,Y
Genre,2020-04-12,3,5,8,tt10011154,Westworld,Y
Decoherence,2020-04-19,3,6,8.3,tt10011156,Westworld,Y
Passed Pawn,2020-04-26,3,7,7.9,tt10011158,Westworld,Y
Crisis Theory,2020-05-03,3,8,7.2,tt10011160,Westworld,Y
