Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Archersaurus,2010-12-28,1,0,7.2,tt5475880,Archer,N
Mole Hunt,2009-09-17,1,1,7.8,tt1539157,Archer,N
Training Day,2010-01-14,1,2,7.6,tt1570118,Archer,N
Diversity Hire,2010-01-21,1,3,8.2,tt1577177,Archer,N
Killing Utne,2010-01-28,1,4,7.6,tt1577178,Archer,N
Honeypot,2010-02-04,1,5,8,tt1598645,Archer,N
Skorpio,2010-02-11,1,6,8.2,tt1577179,Archer,N
Skytanic,2010-02-18,1,7,8.7,tt1564607,Archer,N
The Rock,2010-03-04,1,8,7.7,tt1613217,Archer,N
Job Offer,2010-03-11,1,9,8.1,tt1613216,Archer,N
Dial M for Mother,2010-03-18,1,10,8,tt1622042,Archer,N
Swiss Miss,2011-01-27,2,1,8.5,tt1824276,Archer,N
A Going Concern,2011-02-03,2,2,7.8,tt1833264,Archer,N
Blood Test,2011-02-10,2,3,7.9,tt1841013,Archer,N
Pipeline Fever,2011-02-17,2,4,8.2,tt1845938,Archer,N
The Double Deuce,2011-02-24,2,5,8.1,tt1849255,Archer,N
Tragical History,2011-03-03,2,6,7.8,tt1856799,Archer,N
Movie Star,2011-03-10,2,7,7.8,tt1862529,Archer,N
Stage Two,2011-03-17,2,8,8.6,tt1868198,Archer,N
Placebo Effect,2011-03-24,2,9,9,tt1883469,Archer,N
El Secuestro,2011-03-31,2,10,8.6,tt1883467,Archer,N
Jeu Monegasque,2011-04-07,2,11,8.1,tt1883468,Archer,N
White Nights,2011-04-14,2,12,8.2,tt1898149,Archer,N
Double Trouble,2011-04-21,2,13,8.3,tt1916816,Archer,N
Heart of Archness: Part I,2011-09-15,3,1,8.5,tt2046353,Archer,N
Heart of Archness: Part II,2011-09-22,3,2,8.2,tt2046354,Archer,N
Heart of Archness: Part III,2011-09-29,3,3,8.2,tt2054900,Archer,N
The Man from Jupiter,2012-01-19,3,4,8.4,tt2158993,Archer,N
El Contador,2012-01-26,3,5,8.1,tt2202719,Archer,N
The Limited,2012-02-02,3,6,8.5,tt2207833,Archer,N
Drift Problem,2012-02-09,3,7,7.8,tt2211327,Archer,N
Lo Scandalo,2012-02-16,3,8,8.6,tt2207831,Archer,N
Bloody Ferlin,2012-02-23,3,9,8,tt2211325,Archer,N
Crossing Over,2012-03-01,3,10,8,tt2256127,Archer,N
Skin Game,2012-03-08,3,11,7.8,tt2279509,Archer,N
Space Race: Part I,2012-03-15,3,12,8.4,tt2279511,Archer,N
Space Race: Part II,2012-03-22,3,13,8.4,tt2279513,Archer,N
Fugue and Riffs,2013-01-17,4,1,8.3,tt2342483,Archer,N
The Wind Cries Mary,2013-01-24,4,2,8.2,tt2633152,Archer,N
Legs,2013-01-31,4,3,8,tt2633154,Archer,N
Midnight Ron,2013-02-07,4,4,7.7,tt2633156,Archer,N
Viscous Coupling,2013-02-14,4,5,7.6,tt2665242,Archer,N
Once Bitten,2013-02-21,4,6,7.6,tt2665238,Archer,N
Live and Let Dine,2013-02-28,4,7,7.9,tt2665250,Archer,N
Coyote Lovely,2013-03-07,4,8,7.7,tt2665256,Archer,N
The Honeymooners,2013-03-14,4,9,8,tt2665258,Archer,N
Un Chien Tangerine,2013-03-21,4,10,7.8,tt2665260,Archer,N
The Papal Chase,2013-03-28,4,11,7.9,tt2665268,Archer,N
Sea Tunt: Part 1,2013-04-04,4,12,7.8,tt2665270,Archer,N
Sea Tunt: Part 2,2013-04-11,4,13,8.1,tt2665274,Archer,N
Archer Vice: White Elephant,2014-01-13,5,1,8.6,tt3369492,Archer,N
Archer Vice: A Kiss While Dying,2014-01-20,5,2,7.8,tt3411622,Archer,N
Archer Vice: A Debt of Honor,2014-01-27,5,3,7.8,tt3411616,Archer,N
Archer Vice: House Call,2014-02-03,5,4,8.2,tt3411626,Archer,N
Archer Vice: Southbound and Down,2014-02-24,5,5,7.8,tt3411628,Archer,N
Archer Vice: Smugglers' Blues,2014-03-10,5,6,7.9,tt3411634,Archer,N
Archer Vice: The Rules of Extraction,2014-03-17,5,7,8.3,tt3411642,Archer,N
Archer Vice: On the Carpet,2014-03-24,5,8,8.1,tt3411636,Archer,N
Archer Vice: Baby Shower,2014-03-03,5,9,7.8,tt3411630,Archer,N
Archer Vice: Palace Intrigue - Part I,2014-03-31,5,10,8.1,tt3411640,Archer,N
Archer Vice: Palace Intrigue: Part II,2014-04-07,5,11,8.1,tt3411644,Archer,N
Archer Vice: Filibuster,2014-04-14,5,12,8.1,tt3411656,Archer,N
Archer Vice: Arrival/Departure,2014-04-21,5,13,8.8,tt3411652,Archer,N
The Holdout,2015-01-08,6,1,8.2,tt4256314,Archer,N
Three to Tango,2015-01-15,6,2,8.1,tt4303076,Archer,N
The Archer Sanction,2015-01-22,6,3,8.3,tt4303080,Archer,N
Edie's Wedding,2015-01-29,6,4,8.1,tt4327042,Archer,N
Vision Quest,2015-02-05,6,5,8.8,tt4389446,Archer,N
Sitting,2015-02-12,6,6,8,tt4389450,Archer,N
Nellis,2015-02-19,6,7,7.8,tt4389452,Archer,N
The Kanes,2015-02-26,6,8,8.9,tt4434218,Archer,N
Pocket Listing,2015-03-05,6,9,8.6,tt4434220,Archer,N
Reignition Sequence,2015-03-12,6,10,8.2,tt4441400,Archer,N
Achub y Morfilod,2015-03-19,6,11,8,tt4441418,Archer,N
Drastic Voyage: Part 1,2015-03-26,6,12,8.1,tt4441444,Archer,N
Drastic Voyage: Part 2,2015-04-02,6,13,8.6,tt4465276,Archer,N
The Figgis Agency,2016-03-31,7,1,8,tt4537894,Archer,N
The Handoff,2016-04-07,7,2,8.2,tt4537900,Archer,N
Deadly Prep,2016-04-14,7,3,8.5,tt4537926,Archer,N
Motherless Child,2016-04-21,7,4,8.1,tt4537930,Archer,N
Bel Panto: Part I,2016-04-28,7,5,8.2,tt4537932,Archer,N
Bel Panto: Part II,2016-05-05,7,6,8.4,tt4537936,Archer,N
Double Indecency,2016-05-12,7,7,8.5,tt4537942,Archer,N
Liquid Lunch,2016-05-19,7,8,7.8,tt4537948,Archer,N
Deadly Velvet: Part 1,2016-05-26,7,9,8.2,tt4537954,Archer,N
Deadly Velvet: Part 2,2016-06-02,7,10,8.9,tt4537958,Archer,N
Archer Dreamland: No Good Deed,2017-04-05,8,1,7.8,tt5825432,Archer,N
Archer Dreamland: Berenice,2017-04-12,8,2,7.7,tt6126922,Archer,N
Archer Dreamland: Jane Doe,2017-04-19,8,3,7.6,tt6745202,Archer,N
Archer Dreamland: Ladyfingers,2017-04-26,8,4,7.6,tt6745206,Archer,N
Archer Dreamland: Sleepers Wake,2017-05-03,8,5,7.2,tt6745212,Archer,N
Archer Dreamland: Waxing Gibbous,2017-05-10,8,6,7.9,tt6745220,Archer,N
"Archer Dreamland: Gramercy, Halberd!",2017-05-17,8,7,8.1,tt6745224,Archer,N
Archer Dreamland: Auflösung,2017-05-24,8,8,7.6,tt6111138,Archer,N
Danger Island: Strange Pilot,2018-04-25,9,1,7.2,tt5825434,Archer,N
Danger Island: Disheartening Situation,2018-05-02,9,2,7.2,tt7576226,Archer,N
Danger Island: Different Modes of Preparing the Fruit,2018-05-09,9,3,7.1,tt7576230,Archer,N
Danger Island: A Warrior in Costume,2018-05-16,9,4,7.3,tt7576234,Archer,N
Danger Island: Strange Doings in the Taboo Groves,2018-05-23,9,5,7.3,tt7576236,Archer,N
Danger Island: Some Remarks on Cannibalism,2018-05-30,9,6,7.3,tt7576238,Archer,N
Danger Island: Comparative Wickedness of Civilized and Unenlightened Peoples,2018-06-06,9,7,7.9,tt7576240,Archer,N
Danger Island: A Discovery,2018-06-13,9,8,7.7,tt6111142,Archer,N
Archer: 1999 -- Bort the Garj,2019-05-29,10,1,7.1,tt5825436,Archer,N
Archer: 1999 -- Happy Borthday,2019-06-05,10,2,7.3,tt7576244,Archer,N
Archer: 1999 -- The Leftovers,2019-06-12,10,3,7.5,tt7576252,Archer,N
Archer: 1999 -- Dining with the Zarglorp,2019-06-19,10,4,7.3,tt7576248,Archer,N
Archer: 1999 -- Mr. Deadly Goes to Town,2019-06-26,10,5,8,tt7576254,Archer,N
Archer: 1999 -- Road Trip,2019-07-10,10,6,7.5,tt7576250,Archer,N
Archer: 1999 -- Space Pirates,2019-07-17,10,7,7.7,tt7576256,Archer,N
Archer: 1999 -- Cubert,2019-07-24,10,8,8.1,tt6111148,Archer,N
Archer: 1999 -- Robert De Niro,2019-07-31,10,9,8.5,tt10564840,Archer,N
The Orpheus Gambit,2020-09-16,11,1,8.1,tt10692628,Archer,N
Bloodsploosh,2020-09-16,11,2,8,tt10695124,Archer,N
Helping Hands,2020-09-23,11,3,8,tt10695126,Archer,N
Robot Factory,2020-09-30,11,4,8.6,tt10695128,Archer,N
Best Friends,2020-10-07,11,5,8.6,tt10695130,Archer,N
The Double Date,2020-10-14,11,6,8.4,tt10695132,Archer,N
Caught Napping,2020-10-21,11,7,8.4,tt10695136,Archer,N
Cold Fusion,2020-10-28,11,8,8,tt10695138,Archer,N
Identity Crisis,2021-08-25,12,1,7.7,tt14779272,Archer,N
Lowjacked,2021-08-25,12,2,8.1,tt15296420,Archer,N
London Time,2021-09-01,12,3,7.7,tt15302172,Archer,N
Photo Op,2021-09-08,12,4,7.5,tt15345288,Archer,N
Shots,2021-09-15,12,5,8.1,tt15392488,Archer,N
"Dingo, Baby, et Cetera",2021-09-22,12,6,8.8,tt15433818,Archer,N
Colt Express,2021-09-29,12,7,8.1,tt15451182,Archer,N
Mission: Difficult,2021-10-06,12,8,9.2,tt15451184,Archer,N
