Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
The Bad Beginning: Part One,2017-01-13,1,1,7.7,tt5352664,A Series of Unfortunate Events,N
The Bad Beginning: Part Two,2017-01-13,1,2,8,tt5689392,A Series of Unfortunate Events,N
The Reptile Room: Part One,2017-01-13,1,3,8.2,tt5689396,A Series of Unfortunate Events,N
The Reptile Room: Part Two,2017-01-13,1,4,8.2,tt5689402,A Series of Unfortunate Events,N
The Wide Window: Part One,2017-01-13,1,5,7.7,tt5950462,A Series of Unfortunate Events,N
The Wide Window: Part Two,2017-01-13,1,6,7.8,tt6165334,A Series of Unfortunate Events,N
The Miserable Mill: Part One,2017-01-13,1,7,8.2,tt6165338,A Series of Unfortunate Events,N
The Miserable Mill: Part Two,2017-01-13,1,8,8.4,tt6165336,A Series of Unfortunate Events,N
The Austere Academy: Part One,2018-03-30,2,1,8,tt6645584,A Series of Unfortunate Events,N
The Austere Academy: Part Two,2018-03-30,2,2,8,tt6644232,A Series of Unfortunate Events,N
The Ersatz Elevator: Part One,2018-03-30,2,3,8.2,tt6644242,A Series of Unfortunate Events,N
The Ersatz Elevator: Part Two,2018-03-30,2,4,8.2,tt6644260,A Series of Unfortunate Events,N
The Vile Village: Part One,2018-03-30,2,5,7.8,tt6644272,A Series of Unfortunate Events,N
The Vile Village: Part Two,2018-03-30,2,6,8,tt6644282,A Series of Unfortunate Events,N
The Hostile Hospital: Part One,2018-03-30,2,7,8.4,tt6644288,A Series of Unfortunate Events,N
The Hostile Hospital: Part Two,2018-03-30,2,8,8.3,tt6644294,A Series of Unfortunate Events,N
The Carnivorous Carnival: Part One,2018-03-30,2,9,8.5,tt6730650,A Series of Unfortunate Events,N
The Carnivorous Carnival: Part Two,2018-03-30,2,10,8.9,tt6739626,A Series of Unfortunate Events,N
The Slippery Slope: Part One,2019-01-01,3,1,8.1,tt6739660,A Series of Unfortunate Events,N
The Slippery Slope: Part Two,2019-01-01,3,2,8.1,tt6739658,A Series of Unfortunate Events,N
Grim Grotto: Part 1,2019-01-01,3,3,7.7,tt6739662,A Series of Unfortunate Events,N
Grim Grotto: Part 2,2019-01-01,3,4,8.1,tt6739664,A Series of Unfortunate Events,N
Penultimate Peril: Part 1,2019-01-01,3,5,8.8,tt6739666,A Series of Unfortunate Events,N
Penultimate Peril: Part 2,2019-01-01,3,6,8.8,tt6739668,A Series of Unfortunate Events,N
The End,2019-01-01,3,7,8.6,tt6739672,A Series of Unfortunate Events,N
