Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Original Pilot,1982-06-20,1,0,7.5,tt0526538,Black Adder,Y
The Foretelling,1983-06-15,1,1,7.7,tt0526541,Black Adder,Y
Born to Be King,1983-06-22,1,2,7.6,tt0526537,Black Adder,Y
The Archbishop,1983-06-29,1,3,7.9,tt0526539,Black Adder,Y
The Queen of Spain's Beard,1983-07-06,1,4,8,tt0526542,Black Adder,Y
Witchsmeller Pursuivant,1983-07-13,1,5,7.7,tt0526543,Black Adder,Y
The Black Seal,1983-07-20,1,6,7.9,tt0526540,Black Adder,Y
Bells,1986-01-09,2,1,8.5,tt0526716,Black Adder,Y
Head,1986-01-16,2,2,8.4,tt0526718,Black Adder,Y
Potato,1986-01-23,2,3,8.3,tt0526720,Black Adder,Y
Money,1986-02-05,2,4,8.2,tt0526719,Black Adder,Y
Beer,1986-02-13,2,5,8.7,tt0526715,Black Adder,Y
Chains,1986-02-20,2,6,8.3,tt0526717,Black Adder,Y
Dish and Dishonesty,1987-09-17,3,1,8.4,tt0526722,Black Adder,Y
Ink and Incapability,1987-09-24,3,2,8.8,tt0526724,Black Adder,Y
Nob and Nobility,1987-10-01,3,3,8.3,tt0526725,Black Adder,Y
Sense and Senility,1987-10-08,3,4,8.2,tt0526726,Black Adder,Y
Amy and Amiability,1987-10-15,3,5,8.2,tt0526721,Black Adder,Y
Duel and Duality,1987-10-22,3,6,8.6,tt0526723,Black Adder,Y
Captain Cook,1989-09-28,4,1,8.3,tt0758160,Black Adder,Y
Corporal Punishment,1989-10-05,4,2,8.9,tt0526710,Black Adder,Y
Major Star,1989-10-12,4,3,8.5,tt0526713,Black Adder,Y
Private Plane,1989-10-19,4,4,8.7,tt0526714,Black Adder,Y
General Hospital,1989-10-26,4,5,8.8,tt0526711,Black Adder,Y
Goodbyeee,1989-11-02,4,6,9.5,tt0526712,Black Adder,Y
