Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
The National Anthem,2011-12-04,1,1,7.7,tt2089051,Black Mirror,N
Fifteen Million Merits,2011-12-11,1,2,8.1,tt2089049,Black Mirror,N
The Entire History of You,2011-12-18,1,3,8.6,tt2089050,Black Mirror,N
Be Right Back,2013-02-11,2,1,8,tt2290780,Black Mirror,N
White Bear,2013-02-18,2,2,8,tt2542420,Black Mirror,N
The Waldo Moment,2013-02-25,2,3,6.7,tt2386296,Black Mirror,N
White Christmas,2014-12-16,2,4,9.1,tt3973198,Black Mirror,N
Nosedive,2016-10-21,3,1,8.3,tt5497778,Black Mirror,N
Playtest,2016-10-21,3,2,8.1,tt5709242,Black Mirror,N
Shut Up and Dance,2016-10-21,3,3,8.5,tt5709230,Black Mirror,N
San Junipero,2016-10-21,3,4,8.7,tt4538072,Black Mirror,N
Men Against Fire,2016-10-21,3,5,7.6,tt5709234,Black Mirror,N
Hated in the Nation,2016-10-21,3,6,8.5,tt5709236,Black Mirror,N
USS Callister,2017-12-29,4,1,8.3,tt5710974,Black Mirror,N
Arkangel,2017-12-29,4,2,7.3,tt5709250,Black Mirror,N
Crocodile,2017-12-29,4,3,7.3,tt5710976,Black Mirror,N
Hang the DJ,2017-12-29,4,4,8.8,tt5710978,Black Mirror,N
Metalhead,2017-12-29,4,5,6.6,tt5710984,Black Mirror,N
Black Museum,2017-12-29,4,6,8.7,tt5058700,Black Mirror,N
Striking Vipers,2019-06-05,5,1,6.8,tt8503298,Black Mirror,N
Smithereens,2019-06-05,5,2,7.5,tt8758202,Black Mirror,N
"Rachel, Jack and Ashley Too",2019-06-05,5,3,6,tt9053874,Black Mirror,N
