Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Pilot,2008-01-20,1,1,9.1,tt0959621,Breaking Bad,N
Cat's in the Bag...,2008-01-27,1,2,8.7,tt1054724,Breaking Bad,N
...And the Bag's in the River,2008-02-10,1,3,8.8,tt1054725,Breaking Bad,N
Cancer Man,2008-02-17,1,4,8.3,tt1054726,Breaking Bad,N
Gray Matter,2008-02-24,1,5,8.4,tt1054727,Breaking Bad,N
Crazy Handful of Nothin',2008-03-02,1,6,9.3,tt1054728,Breaking Bad,N
A No-Rough-Stuff-Type Deal,2008-03-09,1,7,8.9,tt1054729,Breaking Bad,N
Seven Thirty-Seven,2009-03-08,2,1,8.7,tt1232244,Breaking Bad,N
Grilled,2009-03-15,2,2,9.3,tt1232249,Breaking Bad,N
Bit by a Dead Bee,2009-03-22,2,3,8.4,tt1232250,Breaking Bad,N
Down,2009-03-29,2,4,8.3,tt1232251,Breaking Bad,N
Breakage,2009-04-05,2,5,8.4,tt1232252,Breaking Bad,N
Peekaboo,2009-04-12,2,6,8.9,tt1232253,Breaking Bad,N
Negro y Azul,2009-04-19,2,7,8.7,tt1232254,Breaking Bad,N
Better Call Saul,2009-04-26,2,8,9.2,tt1232255,Breaking Bad,N
4 Days Out,2009-05-03,2,9,9.2,tt1232256,Breaking Bad,N
Over,2009-05-10,2,10,8.6,tt1232245,Breaking Bad,N
Mandala,2009-05-17,2,11,8.9,tt1232246,Breaking Bad,N
Phoenix,2009-05-24,2,12,9.3,tt1232247,Breaking Bad,N
ABQ,2009-05-31,2,13,9.3,tt1232248,Breaking Bad,N
No Más,2010-03-21,3,1,8.6,tt1528116,Breaking Bad,N
Caballo sin Nombre,2010-03-28,3,2,8.7,tt1615186,Breaking Bad,N
I.F.T.,2010-04-04,3,3,8.5,tt1615187,Breaking Bad,N
Green Light,2010-04-11,3,4,8.3,tt1615554,Breaking Bad,N
Más,2010-04-18,3,5,8.7,tt1615555,Breaking Bad,N
Sunset,2010-04-25,3,6,9.3,tt1615556,Breaking Bad,N
One Minute,2010-05-02,3,7,9.6,tt1615944,Breaking Bad,N
I See You,2010-05-09,3,8,8.8,tt1615557,Breaking Bad,N
Kafkaesque,2010-05-16,3,9,8.5,tt1615558,Breaking Bad,N
Fly,2010-05-23,3,10,7.8,tt1615550,Breaking Bad,N
Abiquiu,2010-05-30,3,11,8.5,tt1615551,Breaking Bad,N
Half Measures,2010-06-06,3,12,9.5,tt1615552,Breaking Bad,N
Full Measure,2010-06-13,3,13,9.7,tt1615553,Breaking Bad,N
Box Cutter,2011-07-17,4,1,9.2,tt1683084,Breaking Bad,N
Thirty-Eight Snub,2011-07-24,4,2,8.3,tt1683089,Breaking Bad,N
Open House,2011-07-31,4,3,8.1,tt1683090,Breaking Bad,N
Bullet Points,2011-08-07,4,4,8.7,tt1683091,Breaking Bad,N
Shotgun,2011-08-14,4,5,8.7,tt1683092,Breaking Bad,N
Cornered,2011-08-21,4,6,8.5,tt1683093,Breaking Bad,N
Problem Dog,2011-08-28,4,7,8.9,tt1683094,Breaking Bad,N
Hermanos,2011-09-04,4,8,9.3,tt1683095,Breaking Bad,N
Bug,2011-09-11,4,9,8.9,tt1683096,Breaking Bad,N
Salud,2011-09-18,4,10,9.6,tt1683085,Breaking Bad,N
Crawl Space,2011-09-25,4,11,9.7,tt1683086,Breaking Bad,N
End Times,2011-10-02,4,12,9.5,tt1683087,Breaking Bad,N
Face Off,2011-10-09,4,13,9.9,tt1683088,Breaking Bad,N
Live Free or Die,2012-07-15,5,1,9.3,tt2081647,Breaking Bad,N
Madrigal,2012-07-22,5,2,8.9,tt2301457,Breaking Bad,N
Hazard Pay,2012-07-29,5,3,8.9,tt2301459,Breaking Bad,N
Fifty-One,2012-08-05,5,4,8.9,tt2301461,Breaking Bad,N
Dead Freight,2012-08-12,5,5,9.7,tt2301463,Breaking Bad,N
Buyout,2012-08-19,5,6,9.1,tt2301465,Breaking Bad,N
Say My Name,2012-08-26,5,7,9.6,tt2301467,Breaking Bad,N
Gliding Over All,2012-09-02,5,8,9.6,tt2301469,Breaking Bad,N
Blood Money,2013-08-11,5,9,9.5,tt2301471,Breaking Bad,N
Buried,2013-08-18,5,10,9.2,tt2301443,Breaking Bad,N
Confessions,2013-08-25,5,11,9.6,tt2301445,Breaking Bad,N
Rabid Dog,2013-09-01,5,12,9.2,tt2301447,Breaking Bad,N
To'hajiilee,2013-09-08,5,13,9.8,tt2301449,Breaking Bad,N
Ozymandias,2013-09-15,5,14,10,tt2301451,Breaking Bad,N
Granite State,2013-09-22,5,15,9.7,tt2301453,Breaking Bad,N
Felina,2013-09-29,5,16,9.9,tt2301455,Breaking Bad,N
