Title,Released,Season,Episode,imdbRating,imdbID,Show
An Unearthly Child,1963-11-23,1,1,8.3,tt0562828,Classic Doctor Who
The Cave of Skulls,1963-11-30,1,2,6.6,tt0782279,Classic Doctor Who
The Forest of Fear,1963-12-07,1,3,6.4,tt0805109,Classic Doctor Who
The Firemaker,1963-12-14,1,4,6.7,tt0813250,Classic Doctor Who
The Dead Planet,1963-12-21,1,5,7.9,tt0562905,Classic Doctor Who
The Survivors,1963-12-28,1,6,7.9,tt0819441,Classic Doctor Who
The Escape,1964-01-04,1,7,7.8,tt0777345,Classic Doctor Who
The Ambush,1964-01-11,1,8,7.7,tt0819440,Classic Doctor Who
The Expedition,1964-01-18,1,9,7.5,tt0769064,Classic Doctor Who
The Ordeal,1964-01-25,1,10,7.2,tt0769065,Classic Doctor Who
The Rescue,1964-02-01,1,11,7.8,tt0777344,Classic Doctor Who
The Edge of Destruction,1964-02-08,1,12,7,tt0756850,Classic Doctor Who
The Brink of Disaster,1964-02-15,1,13,7.1,tt0769062,Classic Doctor Who
The Roof of the World,1964-02-22,1,14,7.8,tt0562858,Classic Doctor Who
The Singing Sands,1964-02-29,1,15,7.6,tt0769067,Classic Doctor Who
Five Hundred Eyes,1964-03-07,1,16,7.3,tt0809982,Classic Doctor Who
The Wall of Lies,1964-03-14,1,17,7.2,tt0769068,Classic Doctor Who
Rider from Shang-Tu,1964-03-21,1,18,7.1,tt0805214,Classic Doctor Who
Mighty Kublai Khan,1964-03-28,1,19,7.1,tt0769059,Classic Doctor Who
Assassin at Peking,1964-04-04,1,20,7.3,tt0809981,Classic Doctor Who
The Sea of Death,1964-04-11,1,21,7.3,tt0562926,Classic Doctor Who
The Velvet Web,1964-04-18,1,22,7.3,tt0809986,Classic Doctor Who
The Screaming Jungle,1964-04-25,1,23,7.1,tt0769066,Classic Doctor Who
The Snows of Terror,1964-05-02,1,24,6.9,tt0809984,Classic Doctor Who
Sentence of Death,1964-05-09,1,25,7.2,tt0809983,Classic Doctor Who
The Keys of Marinus,1964-05-16,1,26,7.4,tt0829417,Classic Doctor Who
The Temple of Evil,1964-05-23,1,27,7.4,tt0562894,Classic Doctor Who
The Warriors of Death,1964-05-30,1,28,7.5,tt0805215,Classic Doctor Who
The Bride of Sacrifice,1964-06-06,1,29,7.6,tt0769061,Classic Doctor Who
The Day of Darkness,1964-06-13,1,30,7.7,tt0830292,Classic Doctor Who
Strangers in Space,1964-06-20,1,31,7,tt0562953,Classic Doctor Who
The Unwilling Warriors,1964-06-27,1,32,6.7,tt0809985,Classic Doctor Who
Hidden Danger,1964-07-11,1,33,6.8,tt0769057,Classic Doctor Who
A Race Against Death,1964-07-18,1,34,6.6,tt0809980,Classic Doctor Who
Kidnap,1964-07-25,1,35,6.5,tt0769058,Classic Doctor Who
A Desperate Venture,1964-08-01,1,36,6.4,tt0769055,Classic Doctor Who
A Land of Fear,1964-08-08,1,37,6.9,tt0562944,Classic Doctor Who
Guests of Madame Guillotine,1964-08-15,1,38,6.6,tt0769056,Classic Doctor Who
A Change of Identity,1964-08-22,1,39,6.9,tt0785282,Classic Doctor Who
The Tyrant of France,1964-08-29,1,40,6.5,tt0785310,Classic Doctor Who
A Bargain of Necessity,1964-09-05,1,41,6.5,tt0769054,Classic Doctor Who
Prisoners of Conciergerie,1964-09-12,1,42,6.9,tt0769060,Classic Doctor Who
Planet of Giants,1964-10-31,2,1,7.1,tt0562867,Classic Doctor Who
Dangerous Journey,1964-11-07,2,2,7,tt0776941,Classic Doctor Who
