Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Rebirth,2006-10-03,1,1,8.5,tt0885243,Death Note,N
Taiketsu,2006-10-10,1,2,9,tt0900488,Death Note,N
Torihiki,2006-10-17,1,3,8.4,tt0909466,Death Note,N
Tsuiseki,2006-10-24,1,4,8.7,tt0901528,Death Note,N
Kakehiki,2006-10-31,1,5,8.5,tt0903684,Death Note,N
Hokorobi,2006-11-07,1,6,8.3,tt0905451,Death Note,N
Donten,2006-11-14,1,7,9,tt0919367,Death Note,N
Mesen,2006-11-21,1,8,8.5,tt0919369,Death Note,N
Sesshoku,2006-11-28,1,9,8.6,tt0919370,Death Note,N
Giwaku,2006-12-05,1,10,8.2,tt0919368,Death Note,N
Totsunyû,2006-12-12,1,11,8.6,tt0919371,Death Note,N
Koigokoro,2006-12-26,1,12,8.3,tt0924022,Death Note,N
Kokuhaku,2007-01-09,1,13,8.3,tt0924023,Death Note,N
Tomodachi,2007-01-16,1,14,8.3,tt0947907,Death Note,N
Kake,2007-01-23,1,15,8.8,tt0947906,Death Note,N
Ketsudan,2007-01-30,1,16,8.3,tt0950512,Death Note,N
Shikkou,2007-02-06,1,17,8.1,tt0950513,Death Note,N
Nakama,2007-02-13,1,18,7.4,tt0954288,Death Note,N
Matsuda,2007-02-20,1,19,7.7,tt0961420,Death Note,N
Kosoku,2007-02-27,1,20,7.4,tt0966785,Death Note,N
Katsuyaku,2007-03-06,1,21,7.8,tt0972446,Death Note,N
Yûdô,2007-03-13,1,22,8.2,tt0972447,Death Note,N
Kyôsô,2007-03-20,1,23,8.8,tt0983351,Death Note,N
Fukkatsu,2007-03-27,1,24,9.2,tt0990612,Death Note,N
Chinmoku,2007-04-03,1,25,9.5,tt0990611,Death Note,N
Saisei,2007-04-10,1,26,7,tt0990613,Death Note,N
Yûkai,2007-04-17,1,27,7.3,tt1007230,Death Note,N
Shôsô,2007-04-24,1,28,7.3,tt1010095,Death Note,N
Chichioya,2007-05-01,1,29,7.9,tt1021402,Death Note,N
Seigi,2007-05-08,1,30,7.6,tt1021404,Death Note,N
Ijô,2007-05-15,1,31,7.6,tt1021403,Death Note,N
Sentaku,2007-05-22,1,32,7.8,tt1029789,Death Note,N
Chôshô,2007-05-29,1,33,7.2,tt1029788,Death Note,N
Koshi,2007-06-05,1,34,7.3,tt1043073,Death Note,N
Satsui,2007-06-12,1,35,7.9,tt1043074,Death Note,N
1.28,2007-06-19,1,36,8.8,tt1044252,Death Note,N
Shin sekai,2007-06-26,1,37,8.4,tt1043075,Death Note,N
