Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Apéritif,2013-04-04,1,1,8.4,tt2370419,Hannibal,Y
Amuse-Bouche,2013-04-11,1,2,8.3,tt2373027,Hannibal,Y
Potage,2013-04-18,1,3,8.3,tt2373029,Hannibal,Y
Oeuf,2013-04-29,1,4,8,tt2373031,Hannibal,Y
Coquilles,2013-04-25,1,5,8.1,tt2373033,Hannibal,Y
Entrée,2013-05-02,1,6,8.7,tt2373035,Hannibal,Y
Sorbet,2013-05-09,1,7,8.8,tt2373037,Hannibal,Y
Fromage,2013-05-16,1,8,9,tt2373039,Hannibal,Y
Trou Normand,2013-05-23,1,9,8.4,tt2373041,Hannibal,Y
Buffet Froid,2013-05-30,1,10,8.9,tt2373019,Hannibal,Y
Rôti,2013-06-06,1,11,8.7,tt2373021,Hannibal,Y
Relevés,2013-06-13,1,12,8.9,tt2373023,Hannibal,Y
Savoureux,2013-06-20,1,13,9.3,tt2373025,Hannibal,Y
Kaiseki,2014-02-28,2,1,9,tt3000124,Hannibal,Y
Sakizuke,2014-03-07,2,2,9.1,tt3230882,Hannibal,Y
Hassun,2014-03-14,2,3,8.8,tt3230884,Hannibal,Y
Takiawase,2014-03-21,2,4,9.3,tt3230886,Hannibal,Y
Mukozuke,2014-03-28,2,5,9.3,tt3230890,Hannibal,Y
Futamono,2014-04-04,2,6,9.3,tt3230896,Hannibal,Y
Yakimono,2014-04-11,2,7,9.3,tt3230898,Hannibal,Y
Su-zakana,2014-04-18,2,8,8.6,tt3230894,Hannibal,Y
Shiizakana,2014-04-25,2,9,8.7,tt3230900,Hannibal,Y
Naka-Choko,2014-05-02,2,10,9,tt3230904,Hannibal,Y
Ko no Mono,2014-05-09,2,11,9,tt3230906,Hannibal,Y
Tome-wan,2014-05-16,2,12,9.3,tt3230910,Hannibal,Y
Mizumono,2014-05-23,2,13,9.9,tt3230908,Hannibal,Y
Antipasto,2015-06-04,3,1,8.4,tt3724578,Hannibal,Y
Primavera,2015-06-11,3,2,8.3,tt3984450,Hannibal,Y
Secondo,2015-06-18,3,3,8.2,tt3984452,Hannibal,Y
Aperitivo,2015-06-25,3,4,8.2,tt3984456,Hannibal,Y
Contorno,2015-07-02,3,5,9.3,tt4035340,Hannibal,Y
Dolce,2015-07-09,3,6,8.9,tt4057954,Hannibal,Y
Digestivo,2015-07-18,3,7,9.4,tt4057962,Hannibal,Y
The Great Red Dragon,2015-07-25,3,8,8.8,tt4057974,Hannibal,Y
...And the Woman Clothed with the Sun,2015-08-01,3,9,8.5,tt4089740,Hannibal,Y
...And the Woman Clothed in Sun,2015-08-08,3,10,8.7,tt4089746,Hannibal,Y
...And the Beast from the Sea,2015-08-15,3,11,8.8,tt4089748,Hannibal,Y
The Number of the Beast Is 666,2015-08-22,3,12,9.1,tt4089752,Hannibal,Y
The Wrath of the Lamb,2015-08-29,3,13,9.8,tt4089754,Hannibal,Y
