Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Dio the Invader,2012-10-06,1,1,7.4,tt3277342,JoJo's Bizzare Adventure,N
Kako kara no tegami,2012-10-13,1,2,7.6,tt3634860,JoJo's Bizzare Adventure,N
Dio to no seishun,2012-10-20,1,3,7.9,tt3634886,JoJo's Bizzare Adventure,N
Hamon shissô ôbâdoraibu,2012-10-27,1,4,7.2,tt3634896,JoJo's Bizzare Adventure,N
Ankoku no kishi-tachi,2012-11-03,1,5,7.2,tt3634954,JoJo's Bizzare Adventure,N
Atashi no yûki,2012-11-10,1,6,7.3,tt3634990,JoJo's Bizzare Adventure,N
Uketsugu mono,2012-11-17,1,7,7.5,tt3634996,JoJo's Bizzare Adventure,N
Kessen JoJo & Dio,2012-11-24,1,8,7.8,tt3635008,JoJo's Bizzare Adventure,N
Saigo no hamon,2012-12-01,1,9,8.6,tt3635044,JoJo's Bizzare Adventure,N
Nyû Yôku no JoJo,2012-12-08,1,10,7.9,tt3635208,JoJo's Bizzare Adventure,N
Gêmu no tatsujin,2012-12-15,1,11,8.3,tt3635230,JoJo's Bizzare Adventure,N
Hashira no otoko,2012-12-22,1,12,8.3,tt3635240,JoJo's Bizzare Adventure,N
JoJo vs. kyûkyoku seibutsu,2013-01-05,1,13,8.3,tt3635268,JoJo's Bizzare Adventure,N
Taiko kara kita kyûkyoku senshi,2013-01-12,1,14,8.6,tt3635284,JoJo's Bizzare Adventure,N
Hîrô no shikaku,2013-01-19,1,15,8.2,tt3635294,JoJo's Bizzare Adventure,N
Hamon kyôshi Risa Risa,2013-01-26,1,16,7.7,tt3635314,JoJo's Bizzare Adventure,N
Fukaku wana wo hare!,2013-02-02,1,17,8.1,tt3635326,JoJo's Bizzare Adventure,N
Shutorohaimu tai no gyakushû,2013-02-09,1,18,7.7,tt3635330,JoJo's Bizzare Adventure,N
Shi no gake e tsuppashire,2013-02-16,1,19,7.9,tt3635334,JoJo's Bizzare Adventure,N
Shîzâ kodoku no seishun,2013-02-23,1,20,8.8,tt3635336,JoJo's Bizzare Adventure,N
Hyaku tai ni no kakehiki,2013-03-02,1,21,7.9,tt3635350,JoJo's Bizzare Adventure,N
Shin no kakutôsha,2013-03-09,1,22,8.7,tt3635352,JoJo's Bizzare Adventure,N
Kaze ni kaeru senshi,2013-03-16,1,23,8.7,tt3635356,JoJo's Bizzare Adventure,N
JoJo wo musubu kizuna,2013-03-23,1,24,8.3,tt3635360,JoJo's Bizzare Adventure,N
Chô-seibutsu no tanjô!!,2013-03-30,1,25,8.5,tt3635404,JoJo's Bizzare Adventure,N
Kami to natta otoko,2013-04-06,1,26,9,tt3635416,JoJo's Bizzare Adventure,N
Akuryô ni toritsukareta otoko,2014-04-05,2,1,8,tt3700148,JoJo's Bizzare Adventure,N
Sabaku no wa dare da!?,2014-04-12,2,2,7.8,tt3700146,JoJo's Bizzare Adventure,N
Dio no jubaku,2014-04-19,2,3,8.9,tt3700144,JoJo's Bizzare Adventure,N
Tawâ obu Gurê,2014-04-26,2,4,7.5,tt3700142,JoJo's Bizzare Adventure,N
Shirubâ chariottsu,2014-05-03,2,5,7.7,tt3700140,JoJo's Bizzare Adventure,N
Dâku burû mûn,2014-05-10,2,6,7.3,tt3865332,JoJo's Bizzare Adventure,N
Sutorengusu,2014-05-17,2,7,7.3,tt3865330,JoJo's Bizzare Adventure,N
Debiru,2014-05-24,2,8,7.9,tt3865328,JoJo's Bizzare Adventure,N
Ierô Tenparansu,2014-05-31,2,9,8,tt3865326,JoJo's Bizzare Adventure,N
Enperâ to Hangudoman sono 1,2014-06-07,2,10,8.3,tt3865324,JoJo's Bizzare Adventure,N
Enperâ to Hangudoman sono 2,2014-06-14,2,11,8.1,tt3865322,JoJo's Bizzare Adventure,N
Enpuresu,2014-06-21,2,12,8.3,tt3865320,JoJo's Bizzare Adventure,N
Howîru obu Fôchun,2014-06-28,2,13,8.6,tt3865318,JoJo's Bizzare Adventure,N
Jasutisu sono 1,2014-07-05,2,14,7.6,tt3865316,JoJo's Bizzare Adventure,N
Jasutisu sono 2,2014-07-12,2,15,8.4,tt3865314,JoJo's Bizzare Adventure,N
Rabâzu sono 1,2014-07-19,2,16,7.8,tt3865312,JoJo's Bizzare Adventure,N
Rabâzu sono 2,2014-07-26,2,17,8.6,tt4056898,JoJo's Bizzare Adventure,N
San,2014-08-02,2,18,8.4,tt4056896,JoJo's Bizzare Adventure,N
Desu Sâtîn sono 1,2014-08-09,2,19,8.7,tt4056894,JoJo's Bizzare Adventure,N
Desu Sâtîn sono 2,2014-08-16,2,20,8.3,tt4056892,JoJo's Bizzare Adventure,N
