Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
The Dragon's Call,2008-09-20,1,1,7.9,tt1205406,Merlin,N
Valiant,2008-09-27,1,2,7.7,tt1293409,Merlin,N
The Mark of Nimueh,2008-10-04,1,3,7.8,tt1293410,Merlin,N
The Poisoned Chalice,2008-10-11,1,4,8.1,tt1284855,Merlin,N
Lancelot,2008-10-18,1,5,8.2,tt1293411,Merlin,N
A Remedy to Cure All Ills,2008-10-25,1,6,7.7,tt1290793,Merlin,N
The Gates of Avalon,2008-11-01,1,7,7.6,tt1315513,Merlin,N
The Beginning of the End,2008-11-08,1,8,8.2,tt1315772,Merlin,N
Excalibur,2008-11-15,1,9,8.3,tt1315773,Merlin,N
The Moment of Truth,2008-11-22,1,10,8.3,tt1315771,Merlin,N
The Labyrinth of Gedref,2008-11-29,1,11,8.4,tt1290792,Merlin,N
To Kill the King,2008-12-06,1,12,8.2,tt1332271,Merlin,N
Le Morte d'Arthur,2008-12-13,1,13,8.5,tt1333457,Merlin,N
The Curse of Cornelius Sigan,2009-09-19,2,1,7.9,tt1507732,Merlin,N
The Once and Future Queen,2009-09-26,2,2,8.3,tt1513484,Merlin,N
The Nightmare Begins,2009-10-03,2,3,7.9,tt1518738,Merlin,N
Lancelot and Guinevere,2009-10-10,2,4,8.1,tt1523078,Merlin,N
Beauty and the Beast,2009-10-24,2,5,7.6,tt1528481,Merlin,N
Beauty and the Beast II,2009-10-31,2,6,7.9,tt1539420,Merlin,N
The Witchfinder,2009-11-07,2,7,8.3,tt1540604,Merlin,N
The Sins of the Father,2009-11-14,2,8,8.5,tt1548135,Merlin,N
The Lady of the Lake,2009-11-21,2,9,8.4,tt1548134,Merlin,N
Sweet Dreams,2009-11-28,2,10,7.9,tt1553722,Merlin,N
The Witch's Quickening,2009-12-05,2,11,8,tt1558034,Merlin,N
The Fires of Idirsholas,2009-12-12,2,12,8.7,tt1558033,Merlin,N
The Last Dragonlord,2009-12-19,2,13,9,tt1558032,Merlin,N
The Tears of Uther Pendragon: Part One,2010-09-11,3,1,8.5,tt1650706,Merlin,N
The Tears of Uther Pendragon: Part Two,2010-09-18,3,2,8.4,tt1720394,Merlin,N
Goblin's Gold,2010-09-25,3,3,8,tt1720395,Merlin,N
Gwaine,2010-10-02,3,4,8.3,tt1728790,Merlin,N
The Crystal Cave,2010-10-09,3,5,8.3,tt1738034,Merlin,N
The Changeling,2010-10-16,3,6,7.6,tt1742893,Merlin,N
The Castle of Fyrien,2010-10-23,3,7,7.9,tt1742892,Merlin,N
The Eye of the Phoenix,2010-10-30,3,8,8.7,tt1747301,Merlin,N
Love in the Time of Dragons,2010-11-06,3,9,7.5,tt1762846,Merlin,N
Queen of Hearts,2010-11-13,3,10,8.4,tt1772588,Merlin,N
The Sorcerer's Shadow,2010-11-20,3,11,7.9,tt1772589,Merlin,N
The Coming of Arthur: Part One,2010-11-27,3,12,8.8,tt1780365,Merlin,N
The Coming of Arthur: Part Two,2010-12-04,3,13,9.3,tt1780366,Merlin,N
The Darkest Hour,2011-10-01,4,1,8.8,tt1952776,Merlin,N
The Darkest Hour: Part Two,2011-10-08,4,2,9,tt1984736,Merlin,N
The Wicked Day,2011-10-15,4,3,8.6,tt2074832,Merlin,N
Aithusa,2011-10-22,4,4,8.2,tt2079975,Merlin,N
His Father's Son,2011-10-29,4,5,8.3,tt2083636,Merlin,N
A Servant of Two Masters,2011-11-05,4,6,8.7,tt2092688,Merlin,N
The Secret Sharer,2011-11-12,4,7,8.4,tt2098294,Merlin,N
Lamia,2011-11-19,4,8,7.5,tt2098295,Merlin,N
Lancelot du Lac,2011-11-26,4,9,8.1,tt2098296,Merlin,N
A Herald of the New Age,2011-12-03,4,10,8,tt2098292,Merlin,N
The Hunter's Heart,2011-12-10,4,11,8.3,tt2098293,Merlin,N
The Sword in the Stone: Part One,2011-12-17,4,12,8.7,tt2024938,Merlin,N
The Sword in the Stone: Part Two,2011-12-24,4,13,9,tt2024939,Merlin,N
Arthur's Bane: Part One,2012-10-06,5,1,8.7,tt2342883,Merlin,N
Arthur's Bane: Part Two,2012-10-13,5,2,8.7,tt2393111,Merlin,N
The Death Song of Uther Pendragon,2012-10-20,5,3,8.3,tt2449890,Merlin,N
Another's Sorrow,2012-10-27,5,4,8.2,tt2469582,Merlin,N
The Disir,2012-11-03,5,5,8.2,tt2479696,Merlin,N
The Dark Tower,2012-11-10,5,6,8,tt2490752,Merlin,N
A Lesson in Vengeance,2012-11-17,5,7,8,tt2502936,Merlin,N
The Hollow Queen,2012-11-24,5,8,8.1,tt2513046,Merlin,N
With All My Heart,2012-12-01,5,9,8.4,tt2536264,Merlin,N
The Kindness of Strangers,2012-12-08,5,10,8.1,tt2536270,Merlin,N
The Drawing of the Dark,2012-12-15,5,11,8.6,tt2536272,Merlin,N
The Diamond of the Day: Part One,2012-12-22,5,12,9.1,tt2547810,Merlin,N
The Diamond of the Day: Part Two,2012-12-24,5,13,8.1,tt2562966,Merlin,N
