Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Pilot,2009-04-09,1,1,7,tt1363447,Parks and Recreation,N
Canvassing,2009-04-16,1,2,7.1,tt1366779,Parks and Recreation,N
The Reporter,2009-04-23,1,3,7.2,tt1366780,Parks and Recreation,N
Boys' Club,2009-04-30,1,4,7.4,tt1366781,Parks and Recreation,N
The Banquet,2009-05-07,1,5,7.2,tt1366782,Parks and Recreation,N
Rock Show,2009-05-14,1,6,7.8,tt1366783,Parks and Recreation,N
Pawnee Zoo,2009-09-17,2,1,8.1,tt1467703,Parks and Recreation,N
The Stakeout,2009-09-24,2,2,8.2,tt1490874,Parks and Recreation,N
Beauty Pageant,2009-10-01,2,3,7.8,tt1490293,Parks and Recreation,N
Practice Date,2009-10-08,2,4,8.4,tt1504600,Parks and Recreation,N
Sister City,2009-10-15,2,5,7.7,tt1504148,Parks and Recreation,N
Kaboom,2009-10-22,2,6,7.8,tt1509675,Parks and Recreation,N
Greg Pikitis,2009-10-29,2,7,8.4,tt1523800,Parks and Recreation,N
Ron and Tammy,2009-11-05,2,8,8.4,tt1531526,Parks and Recreation,N
The Camel,2009-11-12,2,9,7.9,tt1536813,Parks and Recreation,N
Hunting Trip,2009-11-19,2,10,8.8,tt1539432,Parks and Recreation,N
Tom's Divorce,2009-12-03,2,11,7.9,tt1541365,Parks and Recreation,N
Christmas Scandal,2009-12-10,2,12,8.1,tt1545370,Parks and Recreation,N
The Set Up,2010-01-14,2,13,8.2,tt1559848,Parks and Recreation,N
Leslie's House,2010-01-21,2,14,8,tt1559849,Parks and Recreation,N
Sweetums,2010-02-04,2,15,8,tt1559850,Parks and Recreation,N
Galentine's Day,2010-02-11,2,16,7.7,tt1559851,Parks and Recreation,N
Woman of the Year,2010-03-04,2,17,8.1,tt1559852,Parks and Recreation,N
The Possum,2010-03-11,2,18,8.1,tt1559853,Parks and Recreation,N
Park Safety,2010-03-18,2,19,8.2,tt1559854,Parks and Recreation,N
Summer Catalog,2010-03-25,2,20,8,tt1559855,Parks and Recreation,N
94 Meetings,2010-04-29,2,21,8.6,tt1559856,Parks and Recreation,N
Telethon,2010-05-06,2,22,8.4,tt1559857,Parks and Recreation,N
The Master Plan,2010-05-13,2,23,8.6,tt1587572,Parks and Recreation,N
Freddy Spaghetti,2010-05-20,2,24,8.7,tt1587573,Parks and Recreation,N
Go Big or Go Home,2011-01-20,3,1,8.2,tt1636224,Parks and Recreation,N
Flu Season,2011-01-27,3,2,9,tt1636235,Parks and Recreation,N
Time Capsule,2011-02-03,3,3,8.2,tt1636239,Parks and Recreation,N
Ron & Tammy 2,2011-02-10,3,4,8.6,tt1636240,Parks and Recreation,N
Media Blitz,2011-02-17,3,5,8.1,tt1636241,Parks and Recreation,N
Indianapolis,2011-02-24,3,6,8.1,tt1636242,Parks and Recreation,N
Harvest Festival,2011-03-17,3,7,8.8,tt1636243,Parks and Recreation,N
Camping,2011-03-24,3,8,8.1,tt1636244,Parks and Recreation,N
Fancy Party,2011-04-14,3,9,9.1,tt1636245,Parks and Recreation,N
Soulmates,2011-04-21,3,10,8.6,tt1636225,Parks and Recreation,N
Jerry's Painting,2011-04-28,3,11,8.7,tt1636226,Parks and Recreation,N
Eagleton,2011-05-05,3,12,8.3,tt1636227,Parks and Recreation,N
The Fight,2011-05-12,3,13,8.9,tt1636228,Parks and Recreation,N
Road Trip,2011-05-12,3,14,8.6,tt1636229,Parks and Recreation,N
The Bubble,2011-05-19,3,15,8.2,tt1636230,Parks and Recreation,N
Li'l Sebastian,2011-05-19,3,16,8.9,tt1636231,Parks and Recreation,N
I'm Leslie Knope,2011-09-22,4,1,8.2,tt1986601,Parks and Recreation,N
Ron and Tammys,2011-09-29,4,2,8.7,tt2015058,Parks and Recreation,N
Born and Raised,2011-10-06,4,3,8.2,tt2040001,Parks and Recreation,N
Pawnee Rangers,2011-10-13,4,4,8.4,tt2041051,Parks and Recreation,N
Meet 'N' Greet,2011-10-27,4,5,7.8,tt2087381,Parks and Recreation,N
End of the World,2011-11-03,4,6,8.6,tt2088449,Parks and Recreation,N
The Treaty,2011-11-10,4,7,8.1,tt2089306,Parks and Recreation,N
Smallest Park,2011-11-17,4,8,8.1,tt2095350,Parks and Recreation,N
The Trial of Leslie Knope,2011-12-01,4,9,8.6,tt2108220,Parks and Recreation,N
Citizen Knope,2011-12-08,4,10,8.5,tt2113422,Parks and Recreation,N
The Comeback Kid,2012-01-12,4,11,8.6,tt2143605,Parks and Recreation,N
Campaign Ad,2012-01-19,4,12,8.5,tt2156103,Parks and Recreation,N
Bowling for Votes,2012-01-26,4,13,8.7,tt2164475,Parks and Recreation,N
Operation Ann,2012-02-02,4,14,8.4,tt2183551,Parks and Recreation,N
Dave Returns,2012-02-16,4,15,8.1,tt2201899,Parks and Recreation,N
Sweet Sixteen,2012-02-23,4,16,7.8,tt2213145,Parks and Recreation,N
Campaign Shake-Up,2012-03-01,4,17,8.1,tt2230337,Parks and Recreation,N
Lucky,2012-03-08,4,18,8,tt2235069,Parks and Recreation,N
Live Ammo,2012-04-19,4,19,8,tt2235067,Parks and Recreation,N
The Debate,2012-04-26,4,20,8.9,tt2235071,Parks and Recreation,N
Bus Tour,2012-05-03,4,21,8.4,tt2235065,Parks and Recreation,N
"Win, Lose, or Draw",2012-05-10,4,22,9.1,tt2235063,Parks and Recreation,N
Ms. Knope Goes to Washington,2012-09-27,5,1,8.1,tt2374574,Parks and Recreation,N
Soda Tax,2012-09-27,5,2,8,tt2372202,Parks and Recreation,N
How a Bill Becomes a Law,2012-10-04,5,3,8.1,tt2387570,Parks and Recreation,N
Sex Education,2012-10-18,5,4,8.1,tt2368492,Parks and Recreation,N
Halloween Surprise,2012-10-25,5,5,8.8,tt2414120,Parks and Recreation,N
Ben's Parents,2012-11-08,5,6,7.9,tt2414122,Parks and Recreation,N
Leslie vs. April,2012-11-15,5,7,7.9,tt2415146,Parks and Recreation,N
Pawnee Commons,2012-11-29,5,8,7.9,tt2459040,Parks and Recreation,N
Ron and Diane,2012-12-06,5,9,9,tt2466936,Parks and Recreation,N
Two Parties,2013-01-17,5,10,8.9,tt2629728,Parks and Recreation,N
Women in Garbage,2013-01-24,5,11,8.2,tt2570016,Parks and Recreation,N
Ann's Decision,2013-02-07,5,12,7.8,tt2639376,Parks and Recreation,N
Emergency Response,2013-02-14,5,13,8.7,tt2658686,Parks and Recreation,N
Leslie and Ben,2013-02-21,5,14,9.3,tt2699702,Parks and Recreation,N
