Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Unaired Pilot,1999-06-29,1,0,7.6,tt3221326,South Park,
Cartman Gets an Anal Probe,1997-08-13,1,1,8,tt0394893,South Park,Y
Weight Gain 4000,1997-08-20,1,2,7.7,tt0705982,South Park,Y
Volcano,1997-08-27,1,3,7.8,tt0705981,South Park,Y
Big Gay Al's Big Gay Boat Ride,1997-09-03,1,4,7.7,tt0705897,South Park,Y
An Elephant Makes Love to a Pig,1997-09-10,1,5,7.6,tt0705894,South Park,Y
Death,1997-09-17,1,6,8.1,tt0705920,South Park,Y
Pinkeye,1997-10-29,1,7,8.4,tt0705948,South Park,Y
Starvin' Marvin,1997-11-19,1,8,8.2,tt0705964,South Park,Y
"Mr. Hankey, the Christmas Poo",1997-12-17,1,9,8.2,tt0705945,South Park,Y
Damien,1998-02-04,1,10,8,tt0705919,South Park,Y
Tom's Rhinoplasty,1998-02-11,1,11,8,tt0705976,South Park,Y
Mecha-Streisand,1998-02-18,1,12,7.7,tt0705941,South Park,Y
Cartman's Mom Is a Dirty Slut,1998-02-25,1,13,8.7,tt0705904,South Park,Y
Terrance and Phillip in Not Without My Anus,1998-04-01,2,1,6.4,tt0757027,South Park,Y
Cartman's Mom is Still a Dirty Slut,1998-04-22,2,2,8.4,tt0705903,South Park,Y
Ike's Wee Wee,1998-05-20,2,3,8.1,tt0705934,South Park,Y
Chickenlover,1998-05-27,2,4,8.1,tt0705911,South Park,Y
Conjoined Fetus Lady,1998-06-03,2,5,7.8,tt0705916,South Park,Y
The Mexican Staring Frog of Southern Sri Lanka,1998-06-10,2,6,7.7,tt0766090,South Park,Y
City on the Edge of Forever,1998-06-17,2,7,7.5,tt0705914,South Park,Y
Summer Sucks,1998-06-24,2,8,7.5,tt0705967,South Park,Y
Chef's Chocolate Salty Balls,1998-08-19,2,9,7.7,tt0705909,South Park,Y
Chickenpox,1998-08-26,2,10,8.1,tt0766079,South Park,Y
Roger Ebert Should Lay Off the Fatty Foods,1998-09-02,2,11,7.7,tt0766086,South Park,Y
Clubhouses,1998-09-23,2,12,8,tt0705915,South Park,Y
Cow Days,1998-09-30,2,13,7.7,tt0705917,South Park,Y
Chef Aid,1998-10-07,2,14,7.9,tt0705907,South Park,Y
Spookyfish,1998-10-28,2,15,8.6,tt0705962,South Park,Y
Merry Christmas Charlie Manson!,1998-12-09,2,16,8.2,tt0705942,South Park,Y
Gnomes,1998-12-16,2,17,8.4,tt0705927,South Park,Y
Prehistoric Ice Man,1999-01-20,2,18,8,tt0705950,South Park,Y
Rainforest Shmainforest,1999-04-07,3,1,8.5,tt0705955,South Park,Y
Spontaneous Combustion,1999-04-14,3,2,8.2,tt0766088,South Park,Y
The Succubus,1999-04-21,3,3,8.1,tt0705966,South Park,Y
Jakovasaurs,1999-06-16,3,4,6.6,tt0705937,South Park,Y
Tweek vs. Craig,1999-06-23,3,5,7.7,tt0705979,South Park,Y
Sexual Harassment Panda,1999-07-07,3,6,8.3,tt0705959,South Park,Y
Cat Orgy,1999-07-14,3,7,8.1,tt0766078,South Park,Y
Two Guys Naked in a Hot Tub,1999-07-21,3,8,8.1,tt0705980,South Park,Y
Jewbilee,1999-07-28,3,9,7.5,tt0705938,South Park,Y
Korn's Groovy Pirate Ghost Mystery,1999-10-27,3,10,7.9,tt0705939,South Park,Y
Chinpokomon,1999-11-03,3,11,8.8,tt0705912,South Park,Y
Hooked on Monkey Fonics,1999-11-10,3,12,8.1,tt0768560,South Park,Y
Starvin' Marvin in Space,1999-11-17,3,13,8.2,tt0705963,South Park,Y
The Red Badge of Gayness,1999-11-24,3,14,8.4,tt0763052,South Park,Y
Mr. Hankey's Christmas Classics,1999-12-01,3,15,7.4,tt0705944,South Park,Y
"Are You There God? It's Me, Jesus",1999-12-29,3,16,7.9,tt0763045,South Park,Y
World Wide Recorder Concert,2000-01-12,3,17,8.2,tt0705985,South Park,Y
The Tooth Fairy's Tats 2000,2000-04-05,4,1,8.3,tt0705974,South Park,Y
Cartman's Silly Hate Crime 2000,2000-04-12,4,2,8.6,tt0705905,South Park,Y
Timmy 2000,2000-04-19,4,3,8.2,tt0766092,South Park,Y
Quintuplets 2000,2000-04-26,4,4,7.4,tt0766083,South Park,Y
Cartman Joins NAMBLA,2000-06-21,4,5,9,tt0769424,South Park,Y
Cherokee Hair Tampons,2000-06-28,4,6,8.1,tt0705910,South Park,Y
Chef Goes Nanners,2000-07-05,4,7,8.3,tt0705908,South Park,Y
Something You Can Do with Your Finger,2000-07-12,4,8,8.2,tt0705960,South Park,Y
Do the Handicapped Go to Hell?,2000-07-19,4,9,8.4,tt0705921,South Park,Y
Probably,2000-07-26,4,10,8.3,tt0705951,South Park,Y
4th Grade,2000-11-08,4,11,8.2,tt0769825,South Park,Y
Trapper Keeper,2000-11-15,4,12,8.2,tt0705978,South Park,Y
Helen Keller! The Musical,2000-11-22,4,13,7.8,tt0705930,South Park,Y
Pip,2000-11-29,4,14,6.9,tt0705929,South Park,Y
Fat Camp,2000-12-06,4,15,8.5,tt0705924,South Park,Y
The Wacky Molestation Adventure,2000-12-13,4,16,8.8,tt0705975,South Park,Y
A Very Crappy Christmas,2000-12-20,4,17,7.6,tt0705892,South Park,Y
It Hits the Fan,2001-06-20,5,1,8.5,tt0705935,South Park,Y
Cripple Fight,2001-06-27,5,2,8.3,tt0705918,South Park,Y
Super Best Friends,2001-07-04,5,3,8.3,tt0705972,South Park,Y
Scott Tenorman Must Die,2001-07-11,5,4,9.6,tt0705958,South Park,Y
Terrance and Phillip: Behind the Blow,2001-07-18,5,5,7.1,tt0763049,South Park,Y
Cartmanland,2001-07-25,5,6,8.9,tt0705906,South Park,Y
Proper Condom Use,2001-08-01,5,7,8.6,tt0705953,South Park,Y
Towelie,2001-08-08,5,8,8.4,tt0705977,South Park,Y
Osama Bin Laden Has Farty Pants,2001-11-07,5,9,8,tt0705947,South Park,Y
How to Eat with Your Butt,2001-11-14,5,10,8.1,tt0705932,South Park,Y
The Entity,2001-11-21,5,11,8.3,tt0766089,South Park,Y
Here Comes the Neighborhood,2001-11-28,5,12,8.1,tt0705931,South Park,Y
Kenny Dies,2001-12-05,5,13,8.9,tt0761289,South Park,Y
Butters' Very Own Episode,2001-12-12,5,14,9,tt0705899,South Park,Y
Jared Has Aides,2002-03-06,6,1,8.1,tt0766082,South Park,Y
Asspen,2002-03-13,6,2,8.4,tt0705895,South Park,Y
Freak Strike,2002-03-20,6,3,8,tt0705926,South Park,Y
Fun with Veal,2002-03-27,6,4,8.1,tt0759312,South Park,Y
The New Terrance and Phillip Movie Trailer,2002-04-03,6,5,8.1,tt0705973,South Park,Y
Professor Chaos,2002-04-10,6,6,8.6,tt0705952,South Park,Y
The Simpsons Already Did It,2002-06-26,6,7,8.9,tt0761292,South Park,Y
Red Hot Catholic Love,2002-07-03,6,8,8.3,tt0766084,South Park,Y
Free Hat,2002-07-10,6,9,8.3,tt0766081,South Park,Y
Bebe's Boobs Destroy Society,2002-07-17,6,10,8.3,tt0705896,South Park,Y
Child Abduction Is Not Funny,2002-07-24,6,11,8.6,tt0766080,South Park,Y
A Ladder to Heaven,2002-11-06,6,12,8.8,tt0766077,South Park,Y
The Return of the Fellowship of the Ring to the Two Towers,2002-11-13,6,13,9.4,tt0705971,South Park,Y
The Death Camp of Tolerance,2002-11-20,6,14,8.7,tt0705969,South Park,Y
The Biggest Douche in the Universe,2002-11-27,6,15,8.7,tt0705968,South Park,Y
My Future Self n' Me,2002-12-04,6,16,8.6,tt0705946,South Park,Y
Red Sleigh Down,2002-12-11,6,17,8.1,tt0766085,South Park,Y
Cancelled,2003-03-19,7,1,8.5,tt0705900,South Park,Y
Krazy Kripples,2003-03-26,7,2,8.2,tt0761290,South Park,Y
Toilet Paper,2003-04-02,7,3,8.4,tt0761293,South Park,Y
I'm a Little Bit Country,2003-04-09,7,4,8.1,tt0705933,South Park,Y
Fat Butt and Pancake Head,2003-04-16,7,5,8.5,tt0705923,South Park,Y
Lil' Crime Stoppers,2003-04-23,7,6,8.6,tt0705940,South Park,Y
Red Man's Greed,2003-04-30,7,7,7.7,tt0705957,South Park,Y
South Park Is Gay,2003-10-22,7,8,8.2,tt0705961,South Park,Y
Christian Rock Hard,2003-10-29,7,9,9.1,tt0705913,South Park,Y
Grey Dawn,2003-11-05,7,10,8.3,tt0761288,South Park,Y
Casa Bonita,2003-11-12,7,11,9.2,tt0761284,South Park,Y
All About Mormons,2003-11-19,7,12,9,tt0705893,South Park,Y
Butt Out,2003-12-03,7,13,8,tt0705898,South Park,Y
Raisins,2003-12-10,7,14,8.5,tt0705956,South Park,Y
It's Christmas in Canada,2003-12-17,7,15,7.7,tt0705936,South Park,Y
Good Times with Weapons,2004-03-17,8,1,9.2,tt0705928,South Park,Y
Up the Down Steroid,2004-03-24,8,2,8.5,tt0768561,South Park,Y
The Passion of the Jew,2004-03-31,8,3,8.7,tt0458217,South Park,Y
You Got F'd in the A,2004-04-07,8,4,8.1,tt0705986,South Park,Y
AWESOM-O,2004-04-14,8,5,9.2,tt0763044,South Park,Y
The Jeffersons,2004-04-21,8,6,8.7,tt0705970,South Park,Y
Goobacks,2004-04-28,8,7,8.4,tt0761287,South Park,Y
Douche and Turd,2004-10-27,8,8,8.5,tt0705922,South Park,Y
Something Wall-Mart This Way Comes,2004-11-03,8,9,8.7,tt0763048,South Park,Y
Pre-School,2004-11-10,8,10,8.4,tt0705949,South Park,Y
Quest for Ratings,2004-11-17,8,11,8.3,tt0705954,South Park,Y
Stupid Spoiled Whore Video Playset,2004-12-01,8,12,8.5,tt0705965,South Park,Y
Cartman's Incredible Gift,2004-12-08,8,13,8.6,tt0705902,South Park,Y
Woodland Critter Christmas,2004-12-15,8,14,9.1,tt0705984,South Park,Y
Mr. Garrison's Fancy New Vagina,2005-03-09,9,1,7.7,tt0705943,South Park,Y
"Die Hippie, Die",2005-03-16,9,2,8.8,tt0758370,South Park,Y
Wing,2005-03-23,9,3,7.5,tt0705983,South Park,Y
Best Friends Forever,2005-03-30,9,4,8.7,tt0763046,South Park,Y
The Losing Edge,2005-04-06,9,5,8.8,tt0763051,South Park,Y
The Death of Eric Cartman,2005-04-13,9,6,9.1,tt0763050,South Park,Y
Erection Day,2005-04-20,9,7,7.7,tt0763047,South Park,Y
Two Days Before the Day After Tomorrow,2005-10-19,9,8,8.5,tt0763053,South Park,Y
Marjorine,2005-10-26,9,9,8.8,tt0761291,South Park,Y
Follow That Egg,2005-11-02,9,10,8,tt0705925,South Park,Y
Ginger Kids,2005-11-09,9,11,8.8,tt0761286,South Park,Y
Trapped in the Closet,2005-11-16,9,12,9.1,tt0761294,South Park,Y
Free Willzyx,2005-11-30,9,13,8.2,tt0761285,South Park,Y
