Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
The Man Trap,1966-09-08,1,1,7.3,tt0708469,Star Trek: The Original Series,Y
Charlie X,1966-09-15,1,2,7.1,tt0708424,Star Trek: The Original Series,Y
Where No Man Has Gone Before,1966-09-22,1,3,7.8,tt0061027,Star Trek: The Original Series,Y
The Naked Time,1966-09-29,1,4,7.9,tt0708473,Star Trek: The Original Series,Y
The Enemy Within,1966-10-06,1,5,7.7,tt0708463,Star Trek: The Original Series,Y
Mudd's Women,1966-10-13,1,6,6.7,tt0708439,Star Trek: The Original Series,Y
What Are Little Girls Made Of?,1966-10-20,1,7,7.5,tt0708486,Star Trek: The Original Series,Y
Miri,1966-10-27,1,8,7,tt0394905,Star Trek: The Original Series,Y
Dagger of the Mind,1966-11-03,1,9,7.5,tt0708426,Star Trek: The Original Series,Y
The Corbomite Maneuver,1966-11-10,1,10,8.1,tt0708458,Star Trek: The Original Series,Y
The Menagerie: Part I,1966-11-17,1,11,8.3,tt0394904,Star Trek: The Original Series,Y
The Menagerie: Part II,1966-11-24,1,12,8.2,tt0708472,Star Trek: The Original Series,Y
The Conscience of the King,1966-12-08,1,13,7.2,tt0394903,Star Trek: The Original Series,Y
Balance of Terror,1966-12-15,1,14,8.9,tt0708420,Star Trek: The Original Series,Y
Shore Leave,1966-12-29,1,15,7.5,tt0708446,Star Trek: The Original Series,Y
The Galileo Seven,1967-01-05,1,16,7.7,tt0708465,Star Trek: The Original Series,Y
The Squire of Gothos,1967-01-12,1,17,7.4,tt0708478,Star Trek: The Original Series,Y
Arena,1967-01-19,1,18,8,tt0708418,Star Trek: The Original Series,Y
Tomorrow Is Yesterday,1967-01-26,1,19,8,tt0708484,Star Trek: The Original Series,Y
Court Martial,1967-02-02,1,20,7.5,tt0708425,Star Trek: The Original Series,Y
The Return of the Archons,1967-02-09,1,21,7.2,tt0708476,Star Trek: The Original Series,Y
Space Seed,1967-02-16,1,22,8.8,tt0708447,Star Trek: The Original Series,Y
A Taste of Armageddon,1967-02-23,1,23,8.1,tt0708414,Star Trek: The Original Series,Y
This Side of Paradise,1967-03-02,1,24,7.9,tt0708483,Star Trek: The Original Series,Y
The Devil in the Dark,1967-03-09,1,25,8.4,tt0708460,Star Trek: The Original Series,Y
Errand of Mercy,1967-03-23,1,26,8.2,tt0708429,Star Trek: The Original Series,Y
The Alternative Factor,1967-03-30,1,27,5.8,tt0708451,Star Trek: The Original Series,Y
The City on the Edge of Forever,1967-04-06,1,28,9.3,tt0708455,Star Trek: The Original Series,Y
Amok Time,1967-09-15,2,1,8.7,tt0708416,Star Trek: The Original Series,Y
Who Mourns for Adonais?,1967-09-22,2,2,7.2,tt0708488,Star Trek: The Original Series,Y
The Changeling,1967-09-29,2,3,7.7,tt0708454,Star Trek: The Original Series,Y
"Mirror, Mirror",1967-10-06,2,4,9.1,tt0708438,Star Trek: The Original Series,Y
The Apple,1967-10-13,2,5,6.4,tt0708452,Star Trek: The Original Series,Y
The Doomsday Machine,1967-10-20,2,6,8.8,tt0708461,Star Trek: The Original Series,Y
Catspaw,1967-10-27,2,7,6.3,tt0708423,Star Trek: The Original Series,Y
"I, Mudd",1967-11-03,2,8,7.4,tt0708432,Star Trek: The Original Series,Y
Metamorphosis,1967-11-10,2,9,7.3,tt0708436,Star Trek: The Original Series,Y
Journey to Babel,1967-11-17,2,10,8.6,tt0708434,Star Trek: The Original Series,Y
Friday's Child,1967-12-01,2,11,6.9,tt0708431,Star Trek: The Original Series,Y
The Deadly Years,1967-12-08,2,12,7.4,tt0708459,Star Trek: The Original Series,Y
Obsession,1967-12-15,2,13,7.3,tt0708440,Star Trek: The Original Series,Y
Wolf in the Fold,1967-12-22,2,14,7.4,tt0708491,Star Trek: The Original Series,Y
The Trouble with Tribbles,1967-12-29,2,15,8.9,tt0708480,Star Trek: The Original Series,Y
The Gamesters of Triskelion,1968-01-05,2,16,7.1,tt0708466,Star Trek: The Original Series,Y
A Piece of the Action,1968-01-12,2,17,7.8,tt0708412,Star Trek: The Original Series,Y
The Immunity Syndrome,1968-01-19,2,18,7.6,tt0708467,Star Trek: The Original Series,Y
A Private Little War,1968-02-02,2,19,6.9,tt0708413,Star Trek: The Original Series,Y
Return to Tomorrow,1968-02-09,2,20,7.5,tt0708445,Star Trek: The Original Series,Y
By Any Other Name,1968-02-23,2,22,7.7,tt0708422,Star Trek: The Original Series,Y
The Omega Glory,1968-03-01,2,23,6.2,tt0708474,Star Trek: The Original Series,Y
The Ultimate Computer,1968-03-08,2,24,8.1,tt0708481,Star Trek: The Original Series,Y
Bread and Circuses,1968-03-15,2,25,7.2,tt0708421,Star Trek: The Original Series,Y
Patterns of Force,1968-03-16,2,21,7.6,tt0708442,Star Trek: The Original Series,Y
Assignment: Earth,1968-03-29,2,26,7.6,tt0708419,Star Trek: The Original Series,Y
Spock's Brain,1968-09-20,3,1,5.7,tt0708449,Star Trek: The Original Series,Y
The Enterprise Incident,1968-09-27,3,2,8.5,tt0708464,Star Trek: The Original Series,Y
The Paradise Syndrome,1968-10-04,3,3,6.8,tt0708475,Star Trek: The Original Series,Y
And the Children Shall Lead,1968-10-11,3,4,5.2,tt0708417,Star Trek: The Original Series,Y
Is There in Truth No Beauty?,1968-10-18,3,5,7,tt0708433,Star Trek: The Original Series,Y
Spectre of the Gun,1968-10-25,3,6,7.3,tt0708448,Star Trek: The Original Series,Y
Day of the Dove,1968-11-01,3,7,7.9,tt0708427,Star Trek: The Original Series,Y
For the World Is Hollow and I Have Touched the Sky,1968-11-08,3,8,7.2,tt0708430,Star Trek: The Original Series,Y
The Tholian Web,1968-11-15,3,9,8.1,tt0708479,Star Trek: The Original Series,Y
Plato's Stepchildren,1968-11-22,3,10,6.6,tt0708443,Star Trek: The Original Series,Y
Wink of an Eye,1968-11-29,3,11,7.4,tt0708490,Star Trek: The Original Series,Y
The Empath,1968-12-06,3,12,6.6,tt0708462,Star Trek: The Original Series,Y
Elaan of Troyius,1968-12-20,3,13,7.1,tt0708428,Star Trek: The Original Series,Y
Whom Gods Destroy,1969-01-03,3,14,7,tt0708489,Star Trek: The Original Series,Y
Let That Be Your Last Battlefield,1969-01-10,3,15,7.3,tt0708435,Star Trek: The Original Series,Y
The Mark of Gideon,1969-01-17,3,16,6.5,tt0708470,Star Trek: The Original Series,Y
That Which Survives,1969-01-24,3,17,6.6,tt0708450,Star Trek: The Original Series,Y
The Lights of Zetar,1969-01-31,3,18,6.2,tt0708468,Star Trek: The Original Series,Y
Requiem for Methuselah,1969-02-14,3,19,7.4,tt0708444,Star Trek: The Original Series,Y
The Way to Eden,1969-02-21,3,20,5.5,tt0708482,Star Trek: The Original Series,Y
The Cloud Minders,1969-02-28,3,21,7.1,tt0708456,Star Trek: The Original Series,Y
The Savage Curtain,1969-03-07,3,22,6.7,tt0708477,Star Trek: The Original Series,Y
All Our Yesterdays,1969-03-14,3,23,8.3,tt0708415,Star Trek: The Original Series,Y
Turnabout Intruder,1969-06-03,3,24,6.9,tt0708485,Star Trek: The Original Series,Y
The Cage,1988-11-27,1,0,7.7,tt0059753,Star Trek: The Original Series,Y
