Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Caretaker,1995-01-16,1,1,7.6,tt0114530,Star Trek: Voyager,Y
Parallax,1995-01-23,1,2,7.3,tt0708943,Star Trek: Voyager,Y
Time And Again,1995-01-30,1,3,7.2,tt0708996,Star Trek: Voyager,Y
Phage,1995-02-06,1,4,7.2,tt0708946,Star Trek: Voyager,Y
The Cloud,1995-02-13,1,5,6.6,tt0708978,Star Trek: Voyager,Y
Eye of the Needle,1995-02-20,1,6,8.3,tt0708891,Star Trek: Voyager,Y
Ex Post Facto,1995-02-27,1,7,6.7,tt0708889,Star Trek: Voyager,Y
Emanations,1995-03-13,1,8,6.8,tt0708884,Star Trek: Voyager,Y
Prime Factors,1995-03-20,1,9,7.4,tt0708948,Star Trek: Voyager,Y
State Of Flux,1995-04-10,1,10,7.7,tt0708973,Star Trek: Voyager,Y
Heroes And Demons,1995-04-24,1,11,6.8,tt0708906,Star Trek: Voyager,Y
Cathexis,1995-05-01,1,12,6.8,tt0708863,Star Trek: Voyager,Y
Faces,1995-05-08,1,13,7.3,tt0708892,Star Trek: Voyager,Y
Jetrel,1995-05-15,1,14,7.3,tt0708918,Star Trek: Voyager,Y
Learning Curve,1995-05-22,1,15,7.2,tt0708921,Star Trek: Voyager,Y
The 37's,1995-08-28,2,1,7.4,tt0708976,Star Trek: Voyager,Y
Initiations,1995-09-04,2,2,6.6,tt0708914,Star Trek: Voyager,Y
Projections,1995-09-11,2,3,8,tt0708949,Star Trek: Voyager,Y
Elogium,1995-09-18,2,4,6,tt0708883,Star Trek: Voyager,Y
Non Sequitur,1995-09-25,2,5,6.9,tt0708938,Star Trek: Voyager,Y
Twisted,1995-10-02,2,6,7.1,tt0709001,Star Trek: Voyager,Y
Parturition,1995-10-16,2,7,6.5,tt0777529,Star Trek: Voyager,Y
Persistence Of Vision,1995-10-30,2,8,6.9,tt0708945,Star Trek: Voyager,Y
Tattoo,1995-11-06,2,9,6.2,tt0708975,Star Trek: Voyager,Y
Cold Fire,1995-11-13,2,10,7.1,tt0708866,Star Trek: Voyager,Y
Maneuvers,1995-11-20,2,11,7.2,tt0708928,Star Trek: Voyager,Y
Resistance,1995-11-27,2,12,7.1,tt0708960,Star Trek: Voyager,Y
Prototype,1996-01-15,2,13,7.6,tt0708951,Star Trek: Voyager,Y
Alliances,1996-01-22,2,14,7.3,tt0708848,Star Trek: Voyager,Y
Threshold,1996-01-29,2,15,5.3,tt0708995,Star Trek: Voyager,Y
Meld,1996-02-05,2,16,8,tt0708929,Star Trek: Voyager,Y
Dreadnought,1996-02-12,2,17,7.7,tt0708880,Star Trek: Voyager,Y
Death Wish,1996-02-19,2,18,8.4,tt0708875,Star Trek: Voyager,Y
Lifesigns,1996-02-26,2,19,7.6,tt0708923,Star Trek: Voyager,Y
Investigations,1996-03-13,2,20,7.7,tt0708917,Star Trek: Voyager,Y
Deadlock,1996-03-18,2,21,8.3,tt0708874,Star Trek: Voyager,Y
Innocence,1996-04-08,2,22,6.8,tt0708915,Star Trek: Voyager,Y
The Thaw,1996-04-29,2,23,7.3,tt0708990,Star Trek: Voyager,Y
Tuvix,1996-05-06,2,24,7.7,tt0709000,Star Trek: Voyager,Y
Resolutions,1996-05-13,2,25,7.4,tt0708961,Star Trek: Voyager,Y
"Basics, Part I",1996-05-20,2,26,7.9,tt0708853,Star Trek: Voyager,Y
"Basics, Part II",1996-09-04,3,1,8,tt0708854,Star Trek: Voyager,Y
Flashback,1996-09-11,3,2,7.9,tt0708897,Star Trek: Voyager,Y
The Chute,1996-09-18,3,3,6.8,tt0708977,Star Trek: Voyager,Y
The Swarm,1996-09-25,3,4,7.3,tt0708989,Star Trek: Voyager,Y
False Profits,1996-10-02,3,5,6.7,tt0708895,Star Trek: Voyager,Y
Remember,1996-10-09,3,6,7.1,tt0708956,Star Trek: Voyager,Y
Sacred Ground,1996-10-30,3,7,6,tt0394915,Star Trek: Voyager,Y
Future's End,1996-11-06,3,8,8.3,tt0708902,Star Trek: Voyager,Y
"Future's End, Part II",1996-11-13,3,9,8.3,tt0708903,Star Trek: Voyager,Y
Warlord,1996-11-20,3,10,6.7,tt0709010,Star Trek: Voyager,Y
The Q And The Grey,1996-11-27,3,11,7.3,tt0708987,Star Trek: Voyager,Y
Macrocosm,1996-12-11,3,12,7.3,tt0708927,Star Trek: Voyager,Y
Fair Trade,1997-01-08,3,13,6.8,tt0708894,Star Trek: Voyager,Y
Alter Ego,1997-01-15,3,14,6.8,tt0708849,Star Trek: Voyager,Y
Coda,1997-01-29,3,15,7.1,tt0708865,Star Trek: Voyager,Y
Blood Fever,1997-02-05,3,16,7.3,tt0394908,Star Trek: Voyager,Y
Unity,1997-02-12,3,17,7.9,tt0709005,Star Trek: Voyager,Y
Darkling,1997-02-19,3,18,6.4,tt0708979,Star Trek: Voyager,Y
Rise,1997-02-26,3,19,6.8,tt0708965,Star Trek: Voyager,Y
Favorite Son,1997-03-19,3,20,6.1,tt0708896,Star Trek: Voyager,Y
Before and After,1997-04-09,3,21,7.8,tt0708855,Star Trek: Voyager,Y
Real Life,1997-04-23,3,22,7.4,tt0708954,Star Trek: Voyager,Y
Distant Origin,1997-04-30,3,23,8.6,tt0708878,Star Trek: Voyager,Y
Displaced,1997-05-07,3,24,7.6,tt0708877,Star Trek: Voyager,Y
Worst Case Scenario,1997-05-14,3,25,8.2,tt0709013,Star Trek: Voyager,Y
Scorpion,1997-05-21,3,26,9,tt0708968,Star Trek: Voyager,Y
"Scorpion, Part II",1997-09-03,4,1,8.9,tt0708969,Star Trek: Voyager,Y
The Gift,1997-09-10,4,2,8.1,tt0708982,Star Trek: Voyager,Y
Day Of Honor,1997-09-17,4,3,7.5,tt0708873,Star Trek: Voyager,Y
Nemesis,1997-09-24,4,4,7,tt0708935,Star Trek: Voyager,Y
Revulsion,1997-10-01,4,5,7.4,tt0708963,Star Trek: Voyager,Y
The Raven,1997-10-08,4,6,7.6,tt0708988,Star Trek: Voyager,Y
Scientific Method,1997-10-29,4,7,8.1,tt0708967,Star Trek: Voyager,Y
Year Of Hell,1997-11-05,4,8,8.8,tt0709014,Star Trek: Voyager,Y
"Year Of Hell, Part II",1997-11-12,4,9,8.8,tt0709015,Star Trek: Voyager,Y
Random Thoughts,1997-11-19,4,10,6.9,tt0708953,Star Trek: Voyager,Y
Concerning Flight,1997-11-26,4,11,6.8,tt0708868,Star Trek: Voyager,Y
Mortal Coil,1997-12-17,4,12,6.9,tt0708932,Star Trek: Voyager,Y
Waking Moments,1998-01-14,4,13,7.7,tt0709008,Star Trek: Voyager,Y
Message In A Bottle,1998-01-21,4,14,8.8,tt0708931,Star Trek: Voyager,Y
Hunters,1998-02-11,4,15,7.8,tt0708910,Star Trek: Voyager,Y
