Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Bunny Love,2007-05-13,1,0,7.5,tt1306825,Superjail!,L
Superbar,2008-09-28,1,1,7.7,tt1306828,Superjail!,L
Combaticus,2008-10-05,1,2,8.2,tt1306826,Superjail!,L
Ladies Night,2008-10-12,1,3,8,tt1306827,Superjail!,L
Cold-Blooded,2008-10-19,1,4,8.2,tt1310487,Superjail!,L
Don't Be a Negaton,2008-10-26,1,5,7.8,tt1311585,Superjail!,L
Terrorarium,2008-11-02,1,6,8.5,tt1317968,Superjail!,L
Mr. Grumpy Pants,2008-11-09,1,7,8.5,tt1321311,Superjail!,L
Dream Machine,2008-11-23,1,8,8.6,tt1329918,Superjail!,L
Time Police: Part 1,2008-11-30,1,9,8.2,tt1330476,Superjail!,L
Time Police: Part 2,2008-12-07,1,10,8.6,tt1321770,Superjail!,L
Best Friends Forever,2011-04-03,2,1,7.9,tt1859293,Superjail!,L
Mayhem Donor,2011-04-10,2,2,7.6,tt1884044,Superjail!,L
Lord Stingray Crash Party,2011-04-17,2,3,7.7,tt1885034,Superjail!,L
Hotchick,2011-04-24,2,4,7.7,tt1892934,Superjail!,L
Gay Wedding,2011-05-01,2,5,7.5,tt1904069,Superjail!,L
Ghosts,2011-05-08,2,6,7.5,tt1915305,Superjail!,L
Jailbot 2.0,2011-05-15,2,7,7.9,tt1920483,Superjail!,L
The Budding of the Wurbuxx,2011-05-22,2,8,7.2,tt1928890,Superjail!,L
Superjail Grand Prix,2011-06-05,2,9,7.9,tt1943474,Superjail!,L
Vacation,2011-06-12,2,10,7.7,tt1953294,Superjail!,L
Stingstress,2012-09-30,3,1,8.1,tt2377294,Superjail!,L
Superfail,2012-10-07,3,2,7.5,tt2423732,Superjail!,L
Uh-Oh Magic,2012-10-14,3,3,7.9,tt2432122,Superjail!,L
Sticky Discharge,2012-10-07,3,4,7.8,tt2424928,Superjail!,L
Specialneeds,2012-10-28,3,5,7.7,tt2460318,Superjail!,L
The Trouble with Triples,2012-11-04,3,6,8.1,tt2474572,Superjail!,L
Nightshift,2012-11-11,3,7,8.1,tt2498190,Superjail!,L
Oedipusmess,2012-11-18,3,8,7.8,tt2500634,Superjail!,L
Planet Radio,2012-12-02,3,9,8.1,tt2524744,Superjail!,L
Burn Stoolie Burn,2012-12-09,3,10,8.5,tt2556482,Superjail!,L
Superhell!,2014-06-15,4,1,8.2,tt3775410,Superjail!,L
The Last Pack,2014-06-22,4,2,8.4,tt3793154,Superjail!,L
Jean & Paul & Beefy & Alice,2014-06-29,4,3,8.3,tt3809594,Superjail!,L
The Superjail Inquisitor,2014-07-06,4,4,8.2,tt4530642,Superjail!,L
Superstorm!,2014-07-13,4,5,8.1,tt3841528,Superjail!,L
The Superjail Six,2014-07-20,4,6,7.9,tt4530648,Superjail!,L
