Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Pilot,2016-09-19,1,1,8.1,tt5789204,The Good Place,N
Flying,2016-09-19,1,2,7.7,tt5789208,The Good Place,N
Tahani Al-Jamil,2016-09-22,1,3,8,tt5789214,The Good Place,N
Jason Mendoza,2016-09-29,1,4,8,tt5789216,The Good Place,N
Category 55 Emergency Doomsday Crisis,2016-10-06,1,5,8,tt5881470,The Good Place,N
What We Owe to Each Other,2016-10-13,1,6,8,tt5884078,The Good Place,N
The Eternal Shriek,2016-10-20,1,7,8.4,tt5845746,The Good Place,N
Most Improved Player,2016-10-27,1,8,8.6,tt5845750,The Good Place,N
...Someone Like Me as a Member,2016-11-03,1,9,8.2,tt5884080,The Good Place,N
Chidi's Choice,2017-01-05,1,10,8.4,tt5884086,The Good Place,N
What's My Motivation,2017-01-12,1,11,8.2,tt5884088,The Good Place,N
Mindy St. Claire,2017-01-19,1,12,8.4,tt5884092,The Good Place,N
Michael's Gambit,2017-01-19,1,13,9.5,tt5878604,The Good Place,N
Everything is Great!,2017-09-20,2,1,8.6,tt6487100,The Good Place,N
Dance Dance Resolution,2017-09-20,2,2,8.7,tt6949036,The Good Place,N
Team Cockroach,2017-10-05,2,3,8.2,tt7065442,The Good Place,N
Existential Crisis,2017-10-12,2,4,8,tt6920110,The Good Place,N
The Trolley Problem,2017-10-19,2,5,8.7,tt6951978,The Good Place,N
Janet and Michael,2017-10-26,2,6,8.2,tt7065450,The Good Place,N
Derek,2017-11-02,2,7,7.9,tt7065460,The Good Place,N
Leap to Faith,2018-01-04,2,8,8.5,tt7058830,The Good Place,N
Best Self,2018-01-11,2,9,8.5,tt7064332,The Good Place,N
"Rhonda, Diana, Jake, and Trent",2018-01-18,2,10,9,tt7065470,The Good Place,N
The Burrito,2018-01-25,2,11,8.9,tt7065476,The Good Place,N
Somewhere Else,2018-02-01,2,12,9,tt7065490,The Good Place,N
Everything Is Bonzer!,2018-09-27,3,1,8.3,tt7664192,The Good Place,N
The Brainy Bunch,2018-10-04,3,2,7.7,tt8601200,The Good Place,N
The Snowplow,2018-10-11,3,3,7.7,tt8601206,The Good Place,N
Jeremy Bearimy,2018-10-18,3,4,8.4,tt8601210,The Good Place,N
The Ballad of Donkey Doug,2018-10-25,3,5,7.5,tt8534442,The Good Place,N
A Fractured Inheritance,2018-11-01,3,6,7.9,tt8564998,The Good Place,N
The Worst Possible Use of Free Will,2018-11-08,3,7,8.2,tt8488908,The Good Place,N
Don't Let the Good Life Pass You By,2018-11-15,3,8,8.3,tt8601212,The Good Place,N
Janet(s),2018-12-06,3,9,9.1,tt8578788,The Good Place,N
The Book of Dougs,2019-01-10,3,10,8.1,tt8601222,The Good Place,N
Chidi Sees the Time-Knife,2019-01-17,3,11,8.3,tt8601216,The Good Place,N
Pandemonium,2019-01-24,3,12,8.6,tt7853310,The Good Place,N
A Girl from Arizona,2019-09-26,4,1,7.5,tt9382678,The Good Place,Y
A Girl from Arizona Part 2,2019-10-03,4,2,7.8,tt10337782,The Good Place,Y
Chillaxing,2019-10-10,4,3,7.5,tt10337786,The Good Place,Y
"Tinker, Tailor, Demon, Spy",2019-10-17,4,4,8.1,tt10337788,The Good Place,Y
Employee of the Bearimy,2019-10-24,4,5,7.9,tt10337778,The Good Place,Y
A Chip Driver Mystery,2019-10-31,4,6,7.4,tt11028782,The Good Place,Y
Help Is Other People,2019-11-07,4,7,8.4,tt11028790,The Good Place,Y
The Funeral to End All Funerals,2019-11-14,4,8,8.5,tt11028798,The Good Place,Y
The Answer,2019-11-21,4,9,8.7,tt10547784,The Good Place,Y
"You've Changed, Man",2020-01-09,4,10,8.1,tt11046796,The Good Place,Y
"Mondays, Am I Right?",2020-01-16,4,11,7.9,tt10680456,The Good Place,Y
Patty,2020-01-23,4,12,8.6,tt11046830,The Good Place,Y
Whenever You're Ready,2020-01-30,4,13,9.6,tt10703532,The Good Place,Y
