Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Pilot,2005-03-24,1,1,7.5,tt0664521,The Office,N
Diversity Day,2005-03-29,1,2,8.3,tt0664514,The Office,N
Health Care,2005-04-05,1,3,7.9,tt0664517,The Office,N
The Alliance,2005-04-12,1,4,8,tt0664523,The Office,N
Basketball,2005-04-19,1,5,8.4,tt0664510,The Office,N
Hot Girl,2005-04-26,1,6,7.7,tt0664518,The Office,N
The Dundies,2005-09-20,2,1,8.7,tt0664525,The Office,N
Sexual Harassment,2005-09-27,2,2,8.2,tt0664522,The Office,N
Office Olympics,2005-10-04,2,3,8.4,tt0664519,The Office,N
The Fire,2005-10-11,2,4,8.4,tt0664527,The Office,N
Halloween,2005-10-18,2,5,8.1,tt0664516,The Office,N
The Fight,2005-11-01,2,6,8.1,tt0664526,The Office,N
The Client,2005-11-08,2,7,8.6,tt0664524,The Office,N
Performance Review,2005-11-15,2,8,8.2,tt0664520,The Office,N
E-Mail Surveillance,2005-11-22,2,9,8.4,tt0664515,The Office,N
Christmas Party,2005-12-06,2,10,8.9,tt0664513,The Office,N
Booze Cruise,2006-01-05,2,11,8.6,tt0664511,The Office,N
The Injury,2006-01-12,2,12,9.1,tt0664528,The Office,N
The Secret,2006-01-19,2,13,8.3,tt0756967,The Office,N
The Carpet,2006-01-26,2,14,7.8,tt0756966,The Office,N
Boys and Girls,2006-02-02,2,15,8.1,tt0664512,The Office,N
Valentine's Day,2006-02-09,2,16,8.3,tt0763221,The Office,N
Dwight's Speech,2006-03-02,2,17,8.5,tt0770626,The Office,N
Take Your Daughter to Work Day,2006-03-16,2,18,8.3,tt0779510,The Office,N
Michael's Birthday,2006-03-30,2,19,8.1,tt0776249,The Office,N
Drug Testing,2006-04-27,2,20,8.4,tt0795874,The Office,N
Conflict Resolution,2006-05-04,2,21,8.7,tt0796140,The Office,N
Casino Night,2006-05-11,2,22,9.4,tt0800604,The Office,N
Gay Witch Hunt,2006-09-21,3,1,9,tt0859444,The Office,N
The Convention,2006-09-28,3,2,8.2,tt0859445,The Office,N
The Coup,2006-10-05,3,3,8.5,tt0868440,The Office,N
Grief Counseling,2006-10-12,3,4,8,tt0877241,The Office,N
Initiation,2006-10-19,3,5,8.1,tt0873237,The Office,N
Diwali,2006-11-02,3,6,7.9,tt0888293,The Office,N
Branch Closing,2006-11-09,3,7,8.6,tt0888292,The Office,N
The Merger,2006-11-16,3,8,8.7,tt0894520,The Office,N
The Convict,2006-11-30,3,9,8.3,tt0900677,The Office,N
A Benihana Christmas,2006-12-14,3,10,8.8,tt0908674,The Office,N
Back from Vacation,2007-01-04,3,11,8.6,tt0918835,The Office,N
Traveling Salesmen,2007-01-11,3,12,8.6,tt0934246,The Office,N
The Return,2007-01-18,3,13,8.8,tt0937879,The Office,N
Ben Franklin,2007-02-01,3,14,8.1,tt0954759,The Office,N
Phyllis' Wedding,2007-02-08,3,15,8.2,tt0962460,The Office,N
Business School,2007-02-15,3,16,8.9,tt0964922,The Office,N
Cocktails,2007-02-22,3,17,8.5,tt0967814,The Office,N
The Negotiation,2007-04-05,3,18,9,tt0983623,The Office,N
Safety Training,2007-04-12,3,19,8.8,tt0966362,The Office,N
Product Recall,2007-04-26,3,20,8.7,tt1008441,The Office,N
Women's Appreciation,2007-05-03,3,21,8.8,tt1020711,The Office,N
Beach Games,2007-05-10,3,22,9.2,tt1028389,The Office,N
The Job,2007-05-17,3,23,9.3,tt1030253,The Office,N
Fun Run,2007-09-27,4,1,8.8,tt1026035,The Office,N
Dunder Mifflin Infinity,2007-10-04,4,2,8.4,tt1031459,The Office,N
Launch Party,2007-10-11,4,3,8.4,tt1031470,The Office,N
Money,2007-10-18,4,4,8.7,tt1031472,The Office,N
Local Ad,2007-10-25,4,5,8.8,tt1031473,The Office,N
Branch Wars,2007-11-01,4,6,8.5,tt1031474,The Office,N
Survivor Man,2007-11-08,4,7,8.2,tt1031475,The Office,N
The Deposition,2007-11-15,4,8,8.7,tt1031476,The Office,N
Dinner Party,2008-04-10,4,9,9.5,tt1031477,The Office,N
Chair Model,2008-04-17,4,10,8,tt1031449,The Office,N
Night Out,2008-04-24,4,11,8.6,tt1031450,The Office,N
Did I Stutter?,2008-05-01,4,12,8.3,tt1031451,The Office,N
Job Fair,2008-05-08,4,13,7.8,tt1031452,The Office,N
"Goodbye, Toby",2008-05-15,4,14,9.3,tt1031453,The Office,N
Weight Loss,2008-09-25,5,1,8.8,tt1236462,The Office,N
Business Ethics,2008-10-09,5,2,8.2,tt1248743,The Office,N
Baby Shower,2008-10-16,5,3,8,tt1248747,The Office,N
Crime Aid,2008-10-23,5,4,8.1,tt1248748,The Office,N
