Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
The End's Beginning,2019-12-20,1,1,8.4,tt8071662,The Witcher,N
Four Marks,2019-12-20,1,2,7.9,tt8343768,The Witcher,N
Betrayer Moon,2019-12-20,1,3,8.7,tt8343770,The Witcher,N
"Of Banquets, Bastards and Burials",2019-12-20,1,4,8.6,tt8343772,The Witcher,N
Bottled Appetites,2019-12-20,1,5,8.4,tt8343774,The Witcher,N
Rare Species,2019-12-20,1,6,8.3,tt8343776,The Witcher,N
Before a Fall,2019-12-20,1,7,8.5,tt8343778,The Witcher,N
Much More,2019-12-20,1,8,8.9,tt8343780,The Witcher,N
A Grain of Truth,2021-12-17,2,1,8.7,tt11277244,The Witcher,N
Kaer Morhen,2021-12-17,2,2,7.8,tt11654982,The Witcher,N
What Is Lost,2021-12-17,2,3,8,tt11655000,The Witcher,N
Redanian Intelligence,2021-12-17,2,4,8.1,tt11655010,The Witcher,N
Turn Your Back,2021-12-17,2,5,8.3,tt11655020,The Witcher,N
Dear Friend,2021-12-17,2,6,8.3,tt11655028,The Witcher,N
Voleth Meir,2021-12-17,2,7,8.5,tt11655040,The Witcher,N
Family,2021-12-17,2,8,8.7,tt11655050,The Witcher,N
