Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Pilot,2016-10-03,1,1,7.9,tt5734496,Timeless,N
The Assassination of Abraham Lincoln,2016-10-10,1,2,8.2,tt5970594,Timeless,N
Atomic City,2016-10-17,1,3,7.8,tt6002010,Timeless,N
Party at Castle Varlar,2016-10-24,1,4,8.2,tt6046814,Timeless,N
The Alamo,2016-10-31,1,5,8.3,tt6025492,Timeless,N
The Watergate Tape,2016-11-14,1,6,8.2,tt6079798,Timeless,N
Stranded,2016-11-21,1,7,8.1,tt6119882,Timeless,N
Space Race,2016-11-28,1,8,8.3,tt6209428,Timeless,N
Last Ride of Bonnie & Clyde,2016-12-05,1,9,8.4,tt6222152,Timeless,N
The Capture of Benedict Arnold,2016-12-12,1,10,8.6,tt6227786,Timeless,N
The World's Columbian Exposition,2017-01-16,1,11,8.7,tt6332684,Timeless,N
The Murder of Jesse James,2017-01-23,1,12,8.2,tt6358356,Timeless,N
Karma Chameleon,2017-01-30,1,13,8.4,tt6264026,Timeless,N
Public Enemy No. 1,2017-02-13,1,15,8.5,tt6466054,Timeless,N
The Red Scare,2017-02-20,1,16,8.8,tt6485658,Timeless,N
The War to End All Wars,2018-03-11,2,1,8.5,tt6885522,Timeless,N
The Darlington 500,2018-03-18,2,2,8.3,tt6885520,Timeless,N
Hollywoodland,2018-03-25,2,3,8.6,tt6885524,Timeless,N
The Salem Witch Hunt,2018-04-08,2,4,8.4,tt6885528,Timeless,N
The Kennedy Curse,2018-04-15,2,5,8.6,tt6885530,Timeless,N
The King of the Delta Blues,2018-04-22,2,6,8.4,tt6885536,Timeless,N
Mrs. Sherlock Holmes,2018-04-29,2,7,8.5,tt6885540,Timeless,N
The Day Reagan Was Shot,2018-05-06,2,8,8.6,tt6885542,Timeless,N
The General,2018-05-13,2,9,8.6,tt6885546,Timeless,N
Chinatown,2018-05-13,2,10,9.2,tt6885550,Timeless,N
The Miracle of Christmas Part I/II,2018-12-20,2,11,8.6,tt8776744,Timeless,N
