Title,Released,Season,Episode,imdbRating,imdbID,Show,Downloaded?
Pilot,2013-05-02,1,1,8.1,tt2132258,Zach Stone Is Gonna Be Famous,Y
Zach Stone Is Gonna Be a Recording Artist,2013-05-09,1,2,8.7,tt2870744,Zach Stone Is Gonna Be Famous,Y
Zach Stone Is Gonna Get a Makeover,2013-05-16,1,3,8,tt2390664,Zach Stone Is Gonna Be Famous,Y
Zach Stone Is Gonna Make a Sex Tape,2013-05-23,1,4,8.3,tt2870750,Zach Stone Is Gonna Be Famous,Y
Zach Stone Is Gonna Get Wild,2013-05-30,1,5,8.5,tt2387260,Zach Stone Is Gonna Be Famous,Y
Zach Stone Is Gonna Be a Famous Chef,2013-06-06,1,6,8.6,tt2338568,Zach Stone Is Gonna Be Famous,Y
Zach Stone Is Gonna Be the Zachelor,2013-06-13,1,7,8.4,tt2350548,Zach Stone Is Gonna Be Famous,Y
Zach Stone Is Gonna Go Missing,2013-06-20,1,8,8.7,tt2534346,Zach Stone Is Gonna Be Famous,Y
Zach Stone Is Gonna Be Scary,2013-06-27,1,9,8.8,tt2536018,Zach Stone Is Gonna Be Famous,Y
Zach Stone Is Gonna Be an Actor,2013-06-27,1,10,8.8,tt2505780,Zach Stone Is Gonna Be Famous,Y
Zach Stone Is Gonna Be a Hero,2013-06-29,1,11,8.6,tt2536022,Zach Stone Is Gonna Be Famous,Y
"Zach Stone Is Gonna Be Famous (No, Really)",2013-06-29,1,12,8.9,tt2433536,Zach Stone Is Gonna Be Famous,Y
