Title,Released,imdbRating,imdbID,Downloaded?
Les vampires,1915-11-13,7.3,tt0006206,YT
Way Down East,1920-09-03,7.4,tt0011841,YT
Way Down East,1935-10-16,6,tt0027185,YT
Orphans of the Storm,1921-12-28,7.3,tt0012532,YT
Körkarlen,1921-01-01,8.1,tt0012364,Y
La souriante Madame Beudet,1923-11-09,6.7,tt0013626,YT
"Dr. Mabuse, der Spieler",1922-04-27,7.9,tt0013086,YT
Nanook of the North,1922-06-11,7.6,tt0013427,YT
Häxan,1922-09-18,7.7,tt0013257,YT
Foolish Wives,1922-01-11,7,tt0013140,YT
Our Hospitality,1923-11-19,7.8,tt0014341,YT
La roue,1923-02-17,7.5,tt0014417,L
Der letzte Mann,1924-12-23,8.1,tt0015064,YT
Stachka,1925-04-28,7.6,tt0015361,YT
Sherlock Jr.,1924-04-21,8.2,tt0015324,YT
The Great White Silence,1922-11-24,8,tt1764657,YT
Greed,1924-12-04,8.1,tt0015881,L
The Eagle,1925-11-08,6.6,tt0015772,YT
The Phantom of the Opera,1925-09-06,7.6,tt0016220,YT
The Gold Rush,1925-06-26,8.2,tt0015864,YT
The Big Parade,1925-11-05,7.9,tt0015624,Y
Seven Chances,1925-03-11,7.9,tt0016332,YT
Die Abenteuer des Prinzen Achmed,1926-02-01,7.8,tt0015532,Y
Sunrise: A Song of Two Humans,1927-09-23,8.1,tt0018455,YT
The Unknown,1927-06-04,7.7,tt0018528,L
Oktyabr,1927-11-07,7.5,tt0018217,YT
The Jazz Singer,1927-10-06,6.5,tt0018037,Y
Napoléon vu par Abel Gance,1927-04-07,8.2,tt0018192,Y
The Kid Brother,1927-01-22,7.6,tt0018051,YT
The Crowd,1928-02-28,8.1,tt0018806,Y
The Docks of New York,1928-09-16,7.5,tt0018839,YT
Potomok Chingis-Khana,1928-11-10,7.1,tt0019286,YT
Prapancha Pash,1929-08-16,6.5,tt0020286,YT
Chelovek s kino-apparatom,1929-01-07,8.4,tt0019760,YT
Die Büchse der Pandora,1929-01-30,7.8,tt0018737,Y
Blackmail,1929-07-28,7,tt0019702,L
Little Caesar,1931-01-09,7.2,tt0021079,YT
Der blaue Engel,1930-04-01,7.7,tt0020697,Y
L'âge d'or,1930-11-29,7.3,tt0021577,YT
Zemlya,1930-04-08,7.3,tt0021571,YT
À nous la liberté,1931-12-18,7.5,tt0022599,YT
Limite,1931-05-17,7.2,tt0022080,Y
Tabu: A Story of the South Seas,1931-03-18,7.5,tt0022458,YT
Dracula,1931-02-12,7.5,tt0021814,Y
The Public Enemy,1931-04-23,7.6,tt0022286,Y
Le million,1931-04-15,7.4,tt0022150,Y
La chienne,1931-11-19,7.6,tt0021739,Y
Vampyr,1932-05-06,7.5,tt0023649,YT
I Am a Fugitive from a Chain Gang,1932-11-10,8.2,tt0023042,Y
Boudu sauvé des eaux,1932-11-11,7.3,tt0022718,Y
Love Me Tonight,1932-08-18,7.6,tt0023158,YT
Shanghai Express,1932-02-12,7.3,tt0023458,Y
Trouble in Paradise,1932-10-30,8,tt0023622,L
Scarface,1932-04-09,7.7,tt0023427,Y
Me and My Gal,1932-12-03,6.6,tt0023202,YT
42nd Street,1933-03-09,7.4,tt0024034,Y
Footlight Parade,1933-09-30,7.6,tt0024028,Y
The Bitter Tea of General Yen,1933-01-06,7,tt0023814,Y
She Done Him Wrong,1933-01-27,6.4,tt0024548,Y
Duck Soup,1933-11-17,7.8,tt0023969,Y
Zéro de conduite: Jeunes diables au collège,1933-04-07,7.3,tt0024803,YT
Gold Diggers of 1933,1933-05-27,7.7,tt0024069,Y
Las Hurdes,1933-12-01,7.4,tt0023037,YT
Sons of the Desert,1933-12-29,7.6,tt0024601,YT
Queen Christina,1933-12-26,7.6,tt0024481,Y
Triumph des Willens,1935-03-28,7.2,tt0025913,L
It's a Gift,1934-11-17,7.2,tt0025318,Y
Shen nu,1934-01-01,7.7,tt0195256,YT
L'Atalante,1934-04-25,7.8,tt0024844,Y
The Black Cat,1934-05-07,7,tt0024894,Y
The Thin Man,1934-05-25,8,tt0025878,Y
Judge Priest,1934-09-28,6.3,tt0025335,YT
Mutiny on the Bounty,1935-11-08,7.7,tt0026752,Y
The 39 Steps,1935-06-06,7.6,tt0026029,YT
A Night at the Opera,1935-11-15,7.9,tt0026778,Y
Captain Blood,1935-12-28,7.7,tt0026174,Y
Top Hat,1935-08-29,7.8,tt0027125,Y
Peter Ibbetson,1935-10-31,7,tt0026866,YT
Swing Time,1936-09-04,7.5,tt0028333,L
Mr. Deeds Goes to Town,1936-04-12,7.9,tt0027996,YT
My Man Godfrey,1936-09-06,8,tt0028010,YT
Le roman d'un tricheur,1936-09-19,7.6,tt0028201,Y
Camille,1936-12-12,7.4,tt0028683,Y
Things to Come,1936-02-20,6.7,tt0028358,YT
Dodsworth,1936-09-23,7.8,tt0027532,Y
Partie de campagne,1946-05-08,7.6,tt0028445,
Sabotage,1936-12-02,7.1,tt0028212,YT
Pépé le Moko,1937-01-28,7.7,tt0029453,Y
La grande illusion,1937-06-08,8.1,tt0028950,Y
Stella Dallas,1937-08-06,7.4,tt0029608,Y
Ye ban ge sheng,1937-01-01,6.2,tt0206442,YT
Captains Courageous,1937-05-11,8,tt0028691,Y
The Awful Truth,1937-10-21,7.7,tt0028597,Y
The Life of Emile Zola,1937-08-11,7.2,tt0029146,Y
Jezebel,1938-03-10,7.5,tt0030287,Y
Angels with Dirty Faces,1938-11-26,7.9,tt0029870,Y
La femme du boulanger,1938-09-07,7.5,tt0030127,Y
Bringing Up Baby,1938-02-16,7.9,tt0029947,Y
