Title,Released,imdbRating,imdbID,Downloaded?
L'arrivée d'un train à La Ciotat,1896-01-25,7.5,tt0000012,YT
The Kiss,1896-04-01,5.9,tt0139738,YT
Le voyage dans la lune,1902-09-01,8.2,tt0000417,YT
The Great Train Robbery,1903-12-07,7.3,tt0000439,YT
Kid Auto Races at Venice,1914-02-07,5.8,tt0004189,YT
The Birth of a Nation,1915-02-08,6.2,tt0004972,YT
Intolerance: Love's Struggle Throughout the Ages,1916-09-05,7.7,tt0006864,YT
Broken Blossoms or The Yellow Man and the Girl,1919-05-13,7.3,tt0009968,YT
Das Cabinet des Dr. Caligari,1920-02-26,8.1,tt0010323,YT
The Kid,1921-01-21,8.3,tt0012349,Y
"Nosferatu, eine Symphonie des Grauens",1922-03-05,7.9,tt0013442,YT
Safety Last!,1923-04-01,8.1,tt0014429,YT
The Ten Commandments,1923-12-04,6.8,tt0014532,Y
The Thief of Bagdad,1924-03-18,7.7,tt0015400,Y
Bronenosets Potemkin,1925-12-21,8,tt0015648,YT
Ben-Hur: A Tale of the Christ,1925-12-30,7.8,tt0016641,Y
The Pleasure Garden,1926-04-12,5.8,tt0016230,
The General,1926-12-31,8.1,tt0017925,YT
Metropolis,1927-01-10,8.3,tt0017136,YT
The Lodger: A Story of the London Fog,1927-02-14,7.3,tt0017075,
The Ring,1927-10-01,6.2,tt0018328,
Downhill,1927-10-24,6,tt0017825,
The Farmer's Wife,1928-03-02,5.8,tt0018876,
Easy Virtue,1928-03-05,5.5,tt0017843,
La passion de Jeanne d'Arc,1928-04-21,8.1,tt0019254,Y
"Steamboat Bill, Jr.",1928-05-12,7.9,tt0019421,YT
Champagne,1928-08-20,5.4,tt0018756,
The Manxman,1929-01-01,6.2,tt0020142,
Un chien andalou,1929-06-06,7.7,tt0020530,YT
Blackmail,1929-07-28,6.9,tt0019702,
An Elastic Affair,1930-01-19,7.2,tt0295228,
All Quiet on the Western Front,1930-04-21,8.1,tt0020629,Y
Hell's Angels,1930-05-27,7.3,tt0020960,Y
Juno and the Paycock,1930-06-29,4.6,tt0021015,
Murder!,1930-07-31,6.3,tt0021165,
City Lights,1931-01-30,8.5,tt0021749,Y
Cimarron,1931-02-09,5.9,tt0021746,Y
The Skin Game,1931-02-26,5.7,tt0022395,
Mary,1931-03-02,5.8,tt0021128,
M,1931-05-11,8.3,tt0022100,Y
The Maltese Falcon,1931-06-13,6.9,tt0022111,L
Frankenstein,1931-11-21,7.8,tt0021884,Y
Rich and Strange,1931-12-10,5.7,tt0023395,
Freaks,1932-02-12,7.9,tt0022913,Y
Number Seventeen,1932-07-18,5.7,tt0023285,
King Kong,1933-03-02,7.9,tt0024216,Y
The Son of Kong,1933-12-22,5.7,tt0024593,Y
Waltzes from Vienna,1934-03-01,5.8,tt0024747,
The Count of Monte Cristo,1934-08-29,7.5,tt0025004,Y
It Happened One Night,1934-11-22,8.1,tt0025316,Y
The Man Who Knew Too Much,1934-12-01,6.8,tt0025452,
Bride of Frankenstein,1935-04-19,7.8,tt0026138,Y
The 39 Steps,1935-06-06,7.6,tt0026029,
Modern Times,1936-02-05,8.5,tt0027977,Y
Secret Agent,1936-06-15,6.4,tt0028231,
Satan Met a Lady,1936-07-22,6,tt0028219,Y
Romeo and Juliet,1936-08-20,6.5,tt0028203,Y
"65, 66 och jag",1936-11-23,5.6,tt0027248,Y
Reefer Madness,1936-12-01,3.8,tt0028346,Y
Sabotage,1936-12-02,7,tt0028212,
After the Thin Man,1936-12-25,7.7,tt0027260,Y
A Star Is Born,1937-04-20,7.3,tt0029606,Y
The Prince and the Pauper,1937-05-08,7.2,tt0029440,Y
Make Way for Tomorrow,1937-05-09,8.2,tt0029192,Y
Academy Award Review of Walt Disney Cartoons,1937-05-19,7.1,tt0263027,YT
Young and Innocent,1937-11-01,6.8,tt0029811,
Sh! The Octopus,1937-12-11,5.3,tt0029541,YT
Snow White and the Seven Dwarfs,1937-12-21,7.6,tt0029583,Y
The Adventures of Robin Hood,1938-05-14,7.9,tt0029843,Y
The Lady Vanishes,1938-10-07,7.8,tt0030341,
The Terror of Tiny Town,1938-12-01,3.9,tt0030845,Y
Love Affair,1939-04-07,7.3,tt0031593,Y
Jamaica Inn,1939-05-15,6.3,tt0031505,
The Wizard of Oz,1939-08-25,8,tt0032138,Y
Mr. Smith Goes to Washington,1939-10-17,8.1,tt0031679,Y
Gone with the Wind,1939-12-15,8.1,tt0031381,Y
Of Mice and Men,1939-12-30,7.9,tt0031742,Y
Experiments in the Revival of Organisms,1940-01-01,6.8,tt0496948,YT
Pinocchio,1940-02-07,7.4,tt0032910,Y
Rebecca,1940-03-21,8.1,tt0032976,Y
Foreign Correspondent,1940-08-16,7.5,tt0032484,
Jud Süß,1940-09-08,5.2,tt0032653,Y
The Great Dictator,1940-10-15,8.4,tt0032553,Y
Fantasia,1940-11-13,7.7,tt0032455,Y
The Thief of Bagdad,1940-12-05,7.5,tt0033152,Y
Mr. & Mrs. Smith,1941-01-31,6.3,tt0033922,
The Reluctant Dragon,1941-06-27,6.9,tt0034091,Y
Citizen Kane,1941-09-05,8.3,tt0033467,Y
The Maltese Falcon,1941-10-03,8,tt0033870,Y
Dumbo,1941-10-23,7.2,tt0033563,Y
Suspicion,1941-11-14,7.3,tt0034248,
Casablanca,1942-01-23,8.5,tt0034583,Y
Saboteur,1942-04-22,7.1,tt0035279,
Bambi,1942-08-09,7.3,tt0034492,Y
Saludos Amigos,1942-08-24,6.1,tt0036326,Y
Doktor Glas,1942-11-30,5.9,tt0034659,Y
Shadow of a Doubt,1943-01-12,7.8,tt0036342,
Education for Death: the Making of the Nazi,1943-01-15,7.1,tt0035836,Y
The Outlaw,1943-02-05,5.5,tt0036241,YT
Frankenstein Meets the Wolf Man,1943-03-05,6.5,tt0035899,Y
Don't Be a Sucker,1943-07-04,7.6,tt0275310,YT
Victory Through Air Power,1943-07-17,6.6,tt0036497,YT
Lifeboat,1944-01-28,7.6,tt0037017,
Captain America,1944-02-05,5.5,tt0036697,Y
Bon Voyage,1944-06-01,6.1,tt0036659,
Aventure malgache,1944-06-01,5.4,tt0036621,
The Fighting Generation,1944-10-01,5.6,tt1375299,
To Have and Have Not,1944-10-11,7.8,tt0037382,Y
The Three Caballeros,1944-12-21,6.4,tt0038166,Y
Roma città aperta,1945-09-27,8.1,tt0038890,YT
Spellbound,1945-10-31,7.5,tt0038109,
Brief Encounter,1945-11-13,8,tt0037558,Y
Make Mine Music,1946-04-20,6.3,tt0038718,Y
Notorious,1946-08-15,7.9,tt0038787,
Song of the South,1946-11-12,7.1,tt0038969,Y
It's a Wonderful Life,1946-12-20,8.6,tt0038650,Y
Fun & Fancy Free,1947-09-27,6.5,tt0039404,Y
The Paradine Case,1947-12-29,6.5,tt0039694,
The Treasure of the Sierra Madre,1948-01-06,8.2,tt0040897,Y
Hamlet,1948-05-04,7.6,tt0040416,Y
Melody Time,1948-05-27,6.3,tt0040580,Y
Rope,1948-08-26,7.9,tt0040746,
The Three Musketeers,1948-10-20,7.2,tt0040876,Y
Ladri di biciclette,1948-11-24,8.3,tt0040522,Y
So Dear to My Heart,1948-11-29,6.8,tt0041890,Y
The Third Man,1949-09-01,8.1,tt0041959,Y
Under Capricorn,1949-09-08,6.1,tt0042004,
The Adventures of Ichabod and Mr. Toad,1949-10-05,7,tt0041094,Y
Cinderella,1950-02-15,7.3,tt0042332,Y
Stage Fright,1950-02-23,7,tt0042994,
Sunset Blvd.,1950-08-10,8.4,tt0043014,Y
All About Eve,1950-10-13,8.2,tt0042192,Y
The Thing from Another World,1951-04-27,7.1,tt0044121,Y
Strangers on a Train,1951-06-30,7.9,tt0044079,
Alice in Wonderland,1951-07-26,7.4,tt0043274,Y
A Streetcar Named Desire,1951-09-19,8,tt0044081,Y
The Tragedy of Othello: The Moor of Venice,1951-11-29,7.6,tt0045251,Y
Singin' in the Rain,1952-03-27,8.3,tt0045152,Y
Thief of Damascus,1952-04-01,5.2,tt0045229,YT
High Noon,1952-07-24,8,tt0044706,Y
Peter Pan,1953-02-05,7.3,tt0046183,Y
I Confess,1953-02-12,7.2,tt0045897,
Shane,1953-04-23,7.6,tt0046303,Y
Robot Monster,1953-06-24,3,tt0046248,Y
Gentlemen Prefer Blondes,1953-07-01,7.2,tt0045810,Y
From Here to Eternity,1953-08-05,7.6,tt0045793,Y
Shichinin no samurai,1954-04-26,8.6,tt0047478,Y
Dial M for Murder,1954-05-18,8.2,tt0046912,
Them!,1954-06-16,7.2,tt0047573,Y
Rear Window,1954-09-01,8.4,tt0047396,Y
Gojira,1954-10-27,7.6,tt0047034,Y
Destry,1954-12-01,6.7,tt0046906,Y
Animal Farm,1954-12-29,7.2,tt0047834,Y
The Seven Year Itch,1955-06-01,7.1,tt0048605,Y
Lady and the Tramp,1955-06-22,7.3,tt0048280,Y
The Night of the Hunter,1955-07-26,8,tt0048424,Y
To Catch a Thief,1955-08-03,7.4,tt0048728,
The Trouble with Harry,1955-09-30,7,tt0048750,
Rebel Without a Cause,1955-10-27,7.7,tt0048545,Y
Nogiku no gotoki kimi nariki,1955-11-29,7.6,tt0048429,L
1984,1956-03-06,7,tt0048918,Y
The Searchers,1956-05-16,7.9,tt0049730,Y
The Man Who Knew Too Much,1956-05-16,7.4,tt0049470,
The Ten Commandments,1956-11-08,7.9,tt0049833,Y
The Wrong Man,1956-12-22,7.4,tt0051207,
12 Angry Men,1957-04-10,9,tt0050083,Y
Tôkyô boshoku,1957-04-30,8.1,tt0051093,Y
An Affair to Remember,1957-07-19,7.5,tt0050105,Y
The Bridge on the River Kwai,1957-10-02,8.1,tt0050212,Y
Det sjunde inseglet,1957-11-16,8.2,tt0050976,Y
Wittnes for the Prosecution,1957-12-17,8.4,tt0051201,Y
Paths of Glory,1957-12-25,8.4,tt0050825,Y
